quid	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
d397bb23-94c7-4c16-92b0-378b550f7f83	I could say (a/an) acaridae is dangerous, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	4	1	https://piasommerauer.github.io/annotation	creative-dangerous-acaridae	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
98c6feee-fc19-4cfa-8ffe-cd710cd020ce	I know that (a/an) acaridae is dangerous as most or all other things similar to (a/an) acaridae are dangerous. 	I know that (a/an) merlot is alcoholic as most or all other things similar to (a/an) merlot are alcoholic. 	I know that (a/an) lemonade is alcoholic as most or all other things similar to (a/an) lemonade are alcoholic. 	4	1	https://piasommerauer.github.io/annotation	implied_category-dangerous-acaridae	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
89a2e619-2613-4335-a7ac-64a4c3ba0357	``Acaridae'' is one of the first things which come to mind when I hear ``dangerous' because (a/an) acaridae is a typical example of things which are dangerous'. 	``Bee'' is one of the first things which come to mind when I hear ``busy' because (a/an) bee is a typical example of things which are busy'. 	``Diamond'' is one of the first things which come to mind when I hear ``cheap' because (a/an) diamond is a typical example of things which are cheap'. 	4	1	https://piasommerauer.github.io/annotation	typical_of_property-dangerous-acaridae	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
dc1db6ab-a496-4bfc-9ca3-642dc24a5273	``Dangerous'' is one for the first things which come to mind when I hear ``acaridae' because dangerous is one of the typical propertys of (a/an) acaridae'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical weights of (a/an) rock'.	``White'' is one for the first things which come to mind when I hear ``raspberry' because white is one of the typical colors of (a/an) raspberry'.	4	1	https://piasommerauer.github.io/annotation	typical_of_concept-dangerous-acaridae	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
6c2497cd-3863-4183-aeef-7fb1b7a3d423	I know that being dangerous is necessary for many things (a/an) acaridae does or is used for. 	I know that being pointy is necessary for many things (a/an) needle does or is used for. 	I know that being white is necessary for many things (a/an) t-shirt does or is used for. 	4	1	https://piasommerauer.github.io/annotation	affording_activity-dangerous-acaridae	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
2a90ac92-7b06-4b27-bc36-d3ad8d678e2c	You can find (a/an) acaridae which is dangerous. (A/an) acaridae is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.	You can find (a/an) substance which is solid. (A/an) substance is usually either solid or not solid. It cannot be a bit more or less solid.	You can find (a/an) cushion which is soft. (A/an) cushion is usually either soft or not soft. It cannot be a bit more or less soft.	4	1	https://piasommerauer.github.io/annotation	variability_limited-dangerous-acaridae	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
86d566c7-69ef-4086-b734-f4ba8f57ccc3	You can find (a/an) acaridae which is dangerous. (A/an) acaridae is usually either dangerous, a bit more or less dangerous or the opposite of dangerous.	You can find (a/an) chocolate which is bitter. (A/an) chocolate is usually either bitter, a bit more or less bitter or the opposite of bitter.	You can find (a/an) diamond which is soft. (A/an) diamond is usually either soft, a bit more or less soft or the opposite of soft.	4	1	https://piasommerauer.github.io/annotation	variability_open-dangerous-acaridae	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
a0f78c79-3b75-497c-b0e8-494ce0f3bbdb	I think (a/an) acaridae can be dangerous, but this is rare or uncommon.	I think (a/an) pizza can be sweet, but this is rare or uncommon.	I think (a/an) pizza can be savory, but this is rare or uncommon.	4	1	https://piasommerauer.github.io/annotation	rare-dangerous-acaridae	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
4a1c93b7-fb49-4362-8c53-acaf8e5e7882	Usually, (a/an) acaridae is not dangerous, but there could be a highly unusual situation in which (a/an) acaridae is dangerous.	Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.	Usually, (a/an) chocolate is not white, but there could be a highly unusual situation in which (a/an) chocolate is white.	4	1	https://piasommerauer.github.io/annotation	unusual-dangerous-acaridae	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
8065f351-e248-4603-adc7-a214e06a08f5	I think it is impossible for (a/an) acaridae to be dangerous.	I think it is impossible for (a/an) flame to be frozen.	I think it is impossible for (a/an) book to be light.	4	1	https://piasommerauer.github.io/annotation	impossible-dangerous-acaridae	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
93baec26-467e-44b3-880d-f46f7011fb51	I could say (a/an) stock flies/is used for flying, but I would most certainly not mean it literally.	"I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally."	"I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally."	4	1	https://piasommerauer.github.io/annotation	creative-fly-stock	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
282e37fb-05c9-4c09-aed3-a497c0996db6	I know that (a/an) stock can fly/be used for flying as most or all other things similar to (a/an) stock fly. 	I know that (a/an) dog can breathe/be used for breathing as most or all other things similar to (a/an) dog breathe. 	I know that (a/an) cat can meow/be used for meowing as most or all other things similar to (a/an) cat meow. 	4	1	https://piasommerauer.github.io/annotation	implied_category-fly-stock	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
c84bfd9e-c823-4d47-91e3-11fd0d28590d	``Stock'' is one of the first things which come to mind when I hear ``fly' because (a/an) stock is a typical example of things which fly/are used for flying'. 	``Cat'' is one of the first things which come to mind when I hear ``purr' because (a/an) cat is a typical example of things which purr/are used for purring'. 	``Dog'' is one of the first things which come to mind when I hear ``run' because (a/an) dog is a typical example of things which run/are used for runing'. 	4	1	https://piasommerauer.github.io/annotation	typical_of_property-fly-stock	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
8da71df9-17ce-4e5a-b940-487efa2527e9	``Fly'' is one for the first things which come to mind when I hear ``stock' because flying is one of the typical movements of (a/an) stock'.	``Cut'' is one for the first things which come to mind when I hear ``knife' because cuting is one of the typical activities of (a/an) knife'.	``Float'' is one for the first things which come to mind when I hear ``needle' because floating is one of the typical activities of (a/an) needle'.	4	1	https://piasommerauer.github.io/annotation	typical_of_concept-fly-stock	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
67953d27-6698-4fe9-85a1-132a0b1a8754	All or most  stock(s) can fly/be used for flying. This is not what they normally do or are used for. 	All or most  T-shirt(s) can clean/be used for cleaning. This is not what they normally do or are used for. 	All or most  sponge(s) can clean/be used for cleaning. This is not what they normally do or are used for. 	4	1	https://piasommerauer.github.io/annotation	afforded_unusual-fly-stock	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
b8ea249e-1871-49e3-88a9-d6bff2220cd3	I know that all or most stock(s) fly regularly or are used for flying regularly. 	I know that all or most student(s) study regularly or are used for studying regularly. 	I know that all or most jeans(s) clean regularly or are used for cleaning regularly. 	4	1	https://piasommerauer.github.io/annotation	afforded_usual-fly-stock	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
77d8c5f2-daed-4929-83b8-d7f45e6257a3	You can find (a/an) stock which can fly/be used for flying. This distinguishes a certain type of stock from others. 	You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. 	You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. 	4	1	https://piasommerauer.github.io/annotation	variability_limited-fly-stock	Agree or disagree (run4-group_reason_agreement_expert_inspection4-batch1-44-44)
