property,lemma,decision,
warm,soup,include,
warm,water,include,
warm,argument,exclude,"odd argument can be heated, but not warm"
warm,bikini,include,
warm,idea,include,
warm,ice,include,
warm,basement,include,
warm,nose,include,
warm,icicle,include,
warm,dad,include,
warm,telephone,include,
warm,winter,include,
warm,fun,exclude,bit odd not sure what it would contribute
warm,space,include,
warm,dragon,include,
warm,lemonade,include,
warm,toe,include,
warm,forest,include,
warm,people,include,
warm,river,include,
warm,tea,include,
warm,moon,exclude,"does not make sense (moonlight would metaforically, but the moon itself)"
warm,sword,include,
warm,fridge,include,
warm,vinyl,include,
warm,surfboard,include,
warm,tile,include,
warm,beer,include,
warm,feeling,include,
warm,coat,include,
warm,atmosphere,include,
warm,sun,include,
warm,shawl,include,
warm,bed,include,
warm,glove,include,
warm,jacket,include,
warm,boot,include,
warm,earmuff,include,
warm,cloak,include,
warm,heat,exclude,degrees on the same axis where heat is stronger then warm
warm,coffee,include,
warm,head,include,
warm,robe,include,
warm,pound,include,
warm,parka,include,
warm,comforter,include,
warm,pyjama,include,
warm,cape,include,
warm,sweater,include,
warm,mitten,include,
warm,scarf,include,
warm,sock,include,
warm,slipper,include,
warm,stocking,include,
warm,dress,include,
warm,wearer,include,
warm,leotard,include,
warm,cummerbund,include,
warm,neckline,exclude,confusing: the line itself cannot have temperature
warm,greatcoat,include,
warm,brogue,include,
warm,outerwear,include,
warm,kerchief,include,
warm,skirt,include,
warm,frock,include,
warm,necklace,include,
warm,blouse,include,
warm,garment,include,
warm,lace,include,
warm,wool,include,
warm,forelock,include,
warm,tunic,include,
warm,mask,include,
warm,cheesecloth,include,
warm,helmet,include,
warm,poncho,include,
warm,pant,include,"should be pants? (pant works too, though)"
warm,hairstyle,exclude,odd
warm,footwear,include,
warm,shoelace,include,
warm,chiffon,include,
warm,costume,include,
warm,wig,include,
warm,bag,include,
warm,towel,include,
warm,garter,include,
warm,cuff,include,
warm,hat,include,
warm,anklet,include,
warm,vest,include,
warm,sealskin,include,
warm,linen,include,
warm,shirt,include,
warm,sporran,include,
warm,lapel,include,
warm,topcoat,include,
warm,handkerchief,include,
warm,waistband,include,
warm,overcoat,include,
warm,loincloth,include,
warm,underwear,include,
warm,undergarment,include,
warm,ankle,include,
warm,calfskin,include,
warm,waist,include,
warm,cassock,include,
warm,sheepskin,include,
warm,deerskin,include,
warm,nightgown,include,
warm,undershirt,include,
warm,flannel,include,
warm,neckerchief,include,
warm,waistcoat,include,
warm,miniskirt,include,
warm,suit,include,
warm,uniform,include,
warm,sandal,include,
warm,hair,include,
warm,blanket,include,
warm,cincture,include,
warm,trouser,include,
warm,tailcoat,include,
warm,bootie,include,
warm,headgear,include,
warm,shoe,include,
warm,gown,include,
warm,epaulet,include,
warm,bodice,include,
warm,clothing,include,
warm,attire,include,
warm,cloth,include,
warm,bathrobe,include,
warm,jean,include,should be jeans?
warm,pullover,include,
warm,leather,include,
warm,feather,include,
warm,coverall,include,
warm,shalwar,include,
warm,turban,include,
warm,collar,include,
warm,galosh,include,
warm,earring,include,
warm,necktie,include,
warm,spandex,include,
warm,shoulder,include,
warm,headdress,include,
warm,sleeve,include,
warm,pantie,include,
warm,mortarboard,include,
warm,salwar,include,shalwar? (could not find salwar in dictionary)
warm,corset,include,
warm,denim,include,
warm,legging,include,
warm,outfit,include,
warm,turtleneck,include,
warm,kimono,include,
warm,breech,include,
warm,overall,include,
warm,surcoat,include,
warm,grosgrain,include,
warm,sunglass,include,
warm,pajama,include,
warm,jumpsuit,include,
warm,strap,include,
warm,taffeta,include,
warm,bandana,include,
