property,lemma,decision,
juicy,emotion,include,
juicy,cookie,include,
juicy,dessert,include,
juicy,pork,include,
juicy,wine,include,weird for liquid
juicy,cake,include,
juicy,donut,include,
juicy,burger,include,
juicy,pineapple,include,
juicy,steak,include,
juicy,report,include,
juicy,shrimp,include,
juicy,rumor,include,
juicy,story,include,
juicy,meat,include,
juicy,lime,include,
juicy,pear,include,
juicy,tangerine,include,
juicy,strawberry,include,
juicy,tomato,include,
juicy,satsuma,include,"if too many fruits, maybe exclude this one?"
juicy,melon,include,
juicy,nectarine,include,
juicy,peach,include,
juicy,beet,include,
juicy,mango,include,
juicy,blueberry,include,
juicy,grape,include,
juicy,cantaloupe,include,
juicy,cherry,include,
juicy,watermelon,include,
juicy,raspberry,include,
juicy,lemon,include,
juicy,grapefruit,include,
juicy,currant,include,
juicy,banana,include,
juicy,potato,include,
juicy,honey,include,maybe somewhat odd
juicy,almond,include,
juicy,saskatoon,include,had to look up
juicy,yam,include,
juicy,oregano,include,
juicy,okra,include,
juicy,spike,include,
juicy,rutabaga,include,
juicy,calabash,include,
juicy,ham,include,
juicy,lingonberry,include,
juicy,maize,include,
juicy,mast,include,
juicy,coffee,include,
juicy,gooseberry,include,
juicy,legume,include,
juicy,fruit,include,
juicy,cultivar,exclude,maybe exclude: odd and difficult category
juicy,kale,include,
juicy,apple,include,
juicy,hazelnut,include,
juicy,mangold,include,
juicy,oyster,include,
juicy,broccoli,include,
juicy,date,include,
juicy,chocolate,include,
juicy,spinach,include,
juicy,mandarin,include,
juicy,onion,include,
juicy,pepperoni,include,
juicy,olive,include,
juicy,berry,include,
juicy,pomegranate,include,
juicy,barleycorn,include,
juicy,jack,include,
juicy,colocasia,exclude,not in dictionary
juicy,wintergreen,include,
juicy,corn,include,
juicy,veggie,include,
juicy,pudding,include,
juicy,cauliflower,include,
juicy,truffle,include,
juicy,ginger,include,
juicy,guava,include,
juicy,pepper,include,
juicy,cilantro,include,
juicy,bulgur,include,
juicy,fennel,include,
juicy,hip,include,
juicy,cabbage,include,
juicy,pumpkin,include,
juicy,custard,include,
juicy,kernel,include,
juicy,eggplant,include,
juicy,sardine,include,
juicy,chicken,include,
juicy,leucaena,exclude,odd and difficult group
juicy,green,include,
juicy,freestone,include,
juicy,tamarind,include,
juicy,asparagus,include,
juicy,veg,include,
juicy,pulse,include,
juicy,cocoanut,include,
juicy,papaya,include,
juicy,salad,include,
juicy,chickpea,include,
juicy,butter,include,
juicy,maraschino,include,
juicy,apricot,include,
juicy,pistachio,include,
juicy,oilseed,include,
juicy,tabasco,include,
juicy,grain,include,
juicy,puree,include,
juicy,kumquat,include,
juicy,rye,include,
juicy,linseed,include,
juicy,emperor,include,
juicy,aubergine,include,
juicy,crab,include,
juicy,cinnamon,include,
juicy,doughnut,include,
juicy,clementine,include,
juicy,mulberry,include,
juicy,citrus,exclude,"group name, not sure it can be used as a noun"
juicy,scallion,include,
juicy,squash,include,
juicy,bacca,include,
juicy,bacon,include,
juicy,rice,include,
juicy,artichoke,include,
juicy,yogurt,include,
juicy,damson,include,
juicy,sugar,include,
juicy,flageolet,include,
juicy,cumin,include,
juicy,groundnut,include,
juicy,plantain,include,
juicy,tater,include,Maybe not necessary: should be the same as potato
juicy,mangosteen,include,
juicy,fenugreek,include,
juicy,blackberry,include,
juicy,cocoa,include,
juicy,conker,include,
juicy,marrow,include,
juicy,nut,include,
juicy,carrot,include,
juicy,pip,include,
juicy,tamarindo,include,
juicy,cheese,include,
juicy,mussel,include,
juicy,cucurbit,include,
juicy,sapodilla,include,
juicy,pyxis,include,
juicy,orange,include,
juicy,scallop,include,
juicy,gumbo,include,
juicy,citron,include,
juicy,biscuit,include,
juicy,sauce,include,
juicy,buckeye,include,
juicy,bread,include,
juicy,spud,include,maybe not necessary: same as potato?
juicy,windfall,include,
juicy,seed,include,
juicy,bean,include,
juicy,cottonseed,include,
juicy,pie,include,
juicy,iceberg,include,
juicy,peanut,include,
juicy,candy,include,
juicy,hackberry,include,
juicy,actinidia,exclude,not in dictionary
juicy,elderberry,include,
juicy,cashews,include,
juicy,coconut,include,
