property,lemma,decision,
blue,thought,include,
blue,pond,include,
blue,problem,include,
blue,daisy,include,
blue,dandelion,include,
blue,strawberry,include,
blue,frog,include,
blue,cabbage,include,
blue,miner,include,
blue,sandpaper,include,
blue,jade,include,
blue,onion,include,
blue,zebra,include,
blue,peach,include,
blue,lime,include,
blue,avocado,include,
blue,night,include,
blue,moss,include,
blue,orchid,include,
blue,clothing,include,
blue,elm,include,
blue,broccoli,include,
blue,cherry,include,
blue,coal,include,
blue,crypt,include,
blue,pyramid,include,
blue,rooster,include,
blue,blackboard,include,
blue,truffle,include,
blue,dog,include,
blue,football,include,
blue,nectarine,include,
blue,fox,include,
blue,beetle,include,
blue,cheetah,include,
blue,barn,include,
blue,giraffe,include,
blue,beer,include,
blue,herring,include,
blue,car,include,
blue,cockroach,include,
blue,jaguar,include,
blue,goldfish,include,
blue,locust,include,
blue,ambulance,include,
blue,crow,include,
blue,leopard,include,
blue,fir,include,
blue,flower,include,
blue,buttercup,include,
blue,olive,include,
blue,bottle,include,
blue,currant,include,
blue,beet,include,
blue,raisin,include,
blue,gorilla,include,
blue,tarantula,include,
blue,cricket,include,
blue,marigold,include,
blue,balloon,include,
blue,glass,include,
blue,paint,include,
blue,bellflower,include,
blue,blueberry,include,
blue,sky,include,
blue,feeling,include,
blue,world,include,
blue,eye,include,
blue,lark,include,
blue,iceberg,include,
blue,diamond,include,
blue,budgie,include,
blue,dress,include,
blue,chameleon,include,
blue,sapphire,include,
blue,egg,include,
blue,water,include,
blue,umbrella,include,
blue,violet,include,
blue,ring,include,
blue,peacock,include,
blue,lagoon,include,
blue,whale,include,
blue,kingfisher,include,
blue,dolphin,include,
blue,jean,exclude,should be `jeans'?
blue,avocet,include,did not know this one
blue,snake,include,
blue,pleuronectidae,exclude,Not in dictionary
blue,feather,include,
blue,yellowthroat,include,
blue,shark,include,
blue,flamingo,include,
blue,anhinga,include,did not know this one
blue,trogon,include,did not know this one
blue,beak,include,
blue,gorgonian,include,
blue,quail,include,
blue,lizard,include,
blue,turtle,include,
blue,nuthatch,include,did not know this one
blue,bluebird,include,
blue,plumage,include,
blue,fringillidae,exclude,difficult to find definition
blue,blossom,include,
blue,parrot,include,
blue,bird,include,
blue,grackle,include,did not know this one
blue,crab,include,
blue,wagtail,include,
blue,platanthera,exclude,Not in dictionary
blue,monkey,include,
blue,thornbill,include,
blue,pipefish,include,
blue,paridae,exclude,Not in dictionary
blue,mentzelia,exclude,Not in dictionary
blue,frogmouth,include,
blue,lorikeet,include,
blue,scaup,include,
blue,bowerbird,include,
blue,fish,include,
blue,pratincole,include,
blue,spathe,include,
blue,toucanet,include,
blue,bushbaby,include,
blue,tropicbird,include,
blue,frogfish,include,
blue,turaco,include,
blue,grosbeak,include,
blue,dogwood,include,
blue,coucal,include,
blue,sapsucker,include,
blue,dogbane,include,
blue,snailfish,include,
blue,scorpionfish,include,
blue,charadrius,exclude,Not in dictionary
blue,seedpod,include,
blue,merganser,include,
blue,crossbill,include,
blue,chickadee,include,
blue,cardamine,exclude,Not in dictionary
blue,parrotfish,include,
blue,currawong,include,
