property,lemma,decision,
juicy,emotion,include,
juicy,cookie,include,
juicy,dessert,include,
juicy,pork,include,
juicy,wine,exclude,can a liquid be juicy?
juicy,cake,include,
juicy,donut,include,
juicy,burger,include,
juicy,pineapple,include,
juicy,steak,include,
juicy,report,include,
juicy,shrimp,include,
juicy,rumor,include,
juicy,story,include,
juicy,meat,include,
juicy,lime,include,
juicy,pear,include,
juicy,tangerine,include,
juicy,strawberry,include,
juicy,tomato,include,
juicy,satsuma,include,
juicy,melon,include,
juicy,nectarine,include,
juicy,peach,include,
juicy,beet,include,
juicy,mango,include,
juicy,blueberry,include,
juicy,grape,include,
juicy,cantaloupe,include,
juicy,cherry,include,
juicy,watermelon,include,
juicy,raspberry,include,
juicy,lemon,include,
juicy,grapefruit,include,
juicy,currant,include,
juicy,banana,include,
juicy,potato,include,
juicy,honey,exclude,
juicy,almond,include,
juicy,saskatoon,exclude,ambiguous - dominant meaning refers to Canadian city - not really relevant for us
juicy,yam,exclude,
juicy,oregano,include,
juicy,okra,include,
juicy,spike,include,
juicy,rutabaga,include,
juicy,calabash,include,
juicy,ham,include,
juicy,lingonberry,include,
juicy,maize,include,
juicy,mast,include,
juicy,coffee,exclude,liquid
juicy,gooseberry,include,
juicy,legume,include,
juicy,fruit,include,
juicy,cultivar,exclude,confusing
juicy,kale,include,
juicy,apple,include,
juicy,hazelnut,include,
juicy,mangold,include,
juicy,oyster,include,
juicy,broccoli,include,
juicy,date,include,
juicy,chocolate,include,
juicy,spinach,include,
juicy,mandarin,include,
juicy,onion,include,
juicy,pepperoni,include,
juicy,olive,include,
juicy,berry,include,
juicy,pomegranate,include,
juicy,barleycorn,include,
juicy,jack,include,
juicy,colocasia,exclude,"confusing, not informative"
juicy,wintergreen,include,
juicy,corn,include,
juicy,veggie,include,
juicy,pudding,exclude,liquid
juicy,cauliflower,include,
juicy,truffle,include,
juicy,ginger,include,
juicy,guava,include,
juicy,pepper,include,
juicy,cilantro,include,
juicy,bulgur,include,
juicy,fennel,include,
juicy,hip,exclude,rose hip? hip meat?
juicy,cabbage,include,
juicy,pumpkin,include,
juicy,custard,include,
juicy,kernel,include,
juicy,eggplant,include,
juicy,sardine,include,
juicy,chicken,include,
juicy,leucaena,exclude,confusing
juicy,green,exclude,confusing
juicy,freestone,exclude,confusing
juicy,tamarind,include,
juicy,asparagus,include,
juicy,veg,include,
juicy,pulse,exclude,confusing
juicy,cocoanut,exclude,we already have coconut
juicy,papaya,include,
juicy,salad,include,
juicy,chickpea,include,
juicy,butter,include,
juicy,maraschino,include,
juicy,apricot,include,
juicy,pistachio,include,
juicy,oilseed,exclude,confusing
juicy,tabasco,include,
juicy,grain,include,
juicy,puree,exclude,general and already liquid
juicy,kumquat,include,
juicy,rye,include,
juicy,linseed,include,
juicy,emperor,include,
juicy,aubergine,include,
juicy,crab,include,
juicy,cinnamon,include,
juicy,doughnut,include,
juicy,clementine,include,
juicy,mulberry,include,
juicy,citrus,include,
juicy,scallion,include,
juicy,squash,include,
juicy,bacca,exclude,confusing
juicy,bacon,include,
juicy,rice,include,
juicy,artichoke,include,
juicy,yogurt,exclude,liquid
juicy,damson,include,
juicy,sugar,include,
juicy,flageolet,include,
juicy,cumin,include,
juicy,groundnut,include,
juicy,plantain,include,
juicy,tater,exclude,informal expression
juicy,mangosteen,include,
juicy,fenugreek,include,
juicy,blackberry,include,
juicy,cocoa,include,
juicy,conker,exclude,"not edible, confusing"
juicy,marrow,exclude,general term
juicy,nut,include,
juicy,carrot,include,
juicy,pip,exclude,confusing and ambiguous
juicy,tamarindo,include,
juicy,cheese,include,
juicy,mussel,include,
juicy,cucurbit,exclude,plant family
juicy,sapodilla,exclude,not that well known
juicy,pyxis,exclude,confusing
juicy,orange,include,
juicy,scallop,include,
juicy,gumbo,exclude,already liquid
juicy,citron,include,
juicy,biscuit,include,
juicy,sauce,exclude,already liquid
juicy,buckeye,exclude,confusing
juicy,bread,include,
juicy,spud,include,
juicy,windfall,include,
juicy,seed,include,
juicy,bean,include,
juicy,cottonseed,include,
juicy,pie,include,
juicy,iceberg,include,
juicy,peanut,include,
juicy,candy,include,
juicy,hackberry,exclude,
juicy,actinidia,exclude,
juicy,elderberry,include,
juicy,cashews,include,
juicy,coconut,include,
