property,lemma,decision,
used_in_cooking,sparrow,include,
used_in_cooking,canary,include,
used_in_cooking,violin,include,
used_in_cooking,hammer,include,
used_in_cooking,shovel,include,
used_in_cooking,jack,exclude,jackfruit? person? too confusing
used_in_cooking,plier,include,
used_in_cooking,blade,include,
used_in_cooking,trowel,include,
used_in_cooking,rake,include,
used_in_cooking,chainsaw,include,
used_in_cooking,ripsaw,include,
used_in_cooking,auger,include,
used_in_cooking,pestle,include,
used_in_cooking,screwdriver,include,
used_in_cooking,stamper,include,
used_in_cooking,bit,exclude,confusing
used_in_cooking,drill,include,
used_in_cooking,style,exclude,confusing
used_in_cooking,tap,exclude,confusing
used_in_cooking,opener,include,
used_in_cooking,jigsaw,include,
used_in_cooking,pincer,include,
used_in_cooking,hacksaw,include,
used_in_cooking,toothpick,include,
used_in_cooking,spade,include,
used_in_cooking,pounder,include,
used_in_cooking,gimlet,exclude,cocktail and tool - confusing
used_in_cooking,hack,include,
used_in_cooking,gutter,include,
used_in_cooking,scraper,include,
used_in_cooking,tool,include,
used_in_cooking,gavel,include,
used_in_cooking,file,include,
used_in_cooking,pallet,include,
used_in_cooking,planer,include,
used_in_cooking,rasp,include,
used_in_cooking,comb,include,
used_in_cooking,slice,exclude,confusing
used_in_cooking,sawmill,exclude,not relevant
used_in_cooking,mallet,include,
used_in_cooking,scoop,include,
used_in_cooking,starter,include,
used_in_cooking,clincher,include,
used_in_cooking,burr,include,
used_in_cooking,borer,include,
used_in_cooking,reamer,include,
used_in_cooking,corkscrew,include,
used_in_cooking,stamp,include,
used_in_cooking,grappler,include,
used_in_cooking,hayfork,include,
used_in_cooking,mower,include,
used_in_cooking,bevel,include,
used_in_cooking,spanner,include,
used_in_cooking,beetle,include,
used_in_cooking,polisher,include,
used_in_cooking,wrench,include,
used_in_cooking,pitchfork,include,
used_in_cooking,gang,exclude,dominant meaning and tool meaning not really relevant
used_in_cooking,stylus,include,
used_in_cooking,router,include,
used_in_cooking,chicken,include,
used_in_cooking,shrimp,include,
used_in_cooking,bass,include,
used_in_cooking,chisel,include,
used_in_cooking,lancet,include,
used_in_cooking,broccoli,include,
used_in_cooking,cauliflower,include,
used_in_cooking,lime,include,
used_in_cooking,pickaxe,include,
used_in_cooking,pimento,include,
used_in_cooking,barong,include,
used_in_cooking,carrot,include,
used_in_cooking,microwave,include,
used_in_cooking,shear,include,
used_in_cooking,adze,exclude,(already included adz)
used_in_cooking,blender,include,
used_in_cooking,mussel,include,
used_in_cooking,scalpel,include,
used_in_cooking,cleaver,include,
used_in_cooking,fork,include,
used_in_cooking,sickle,include,
used_in_cooking,hatchet,include,
used_in_cooking,oven,include,
used_in_cooking,corn,include,
used_in_cooking,mattock,include,
used_in_cooking,mayonnaise,include,
used_in_cooking,snip,exclude,too vague
used_in_cooking,clipper,include,
used_in_cooking,butter,include,
used_in_cooking,turnip,include,
used_in_cooking,plane,include,
used_in_cooking,bacon,include,
used_in_cooking,coconut,include,
used_in_cooking,ax,include,
used_in_cooking,cutter,include,
used_in_cooking,pea,include,
used_in_cooking,aubergine,include,
used_in_cooking,tablespoon,include,
used_in_cooking,spatula,include,
used_in_cooking,shaver,include,
used_in_cooking,burrito,include,
used_in_cooking,asparagus,include,
used_in_cooking,cutlery,include,
used_in_cooking,switchblade,include,
used_in_cooking,stove,include,
used_in_cooking,tomato,include,
used_in_cooking,taco,include,
used_in_cooking,slicer,include,
used_in_cooking,artichoke,include,
used_in_cooking,axe,include,
used_in_cooking,potato,include,
used_in_cooking,lobster,include,
used_in_cooking,adz,include,
used_in_cooking,rice,include,
used_in_cooking,prawn,include,
used_in_cooking,apron,include,
used_in_cooking,lance,include,
used_in_cooking,jackknife,include,
used_in_cooking,knife,include,
used_in_cooking,mushroom,include,
used_in_cooking,penknife,include,
used_in_cooking,cutlet,include,
used_in_cooking,cheese,include,
used_in_cooking,flannel,include,
used_in_cooking,gravy,include,
used_in_cooking,dish,include,
used_in_cooking,onion,include,
used_in_cooking,tortilla,include,
used_in_cooking,beef,include,
used_in_cooking,marinade,include,
used_in_cooking,sauce,include,
used_in_cooking,radish,include,
used_in_cooking,cake,include,
used_in_cooking,steak,include,
used_in_cooking,chutney,include,
used_in_cooking,salad,include,
used_in_cooking,congee,include,
used_in_cooking,vegetable,include,
used_in_cooking,pigweed,include,
used_in_cooking,stew,include,
used_in_cooking,vinegar,include,
used_in_cooking,pasta,include,
used_in_cooking,cream,include,
used_in_cooking,soup,include,
used_in_cooking,fritter,include,
used_in_cooking,confit,include,
used_in_cooking,dough,include,
used_in_cooking,casserole,include,
used_in_cooking,pastry,include,
used_in_cooking,enchiladas,include,
used_in_cooking,condiment,include,
used_in_cooking,bread,include,
used_in_cooking,lentil,include,
used_in_cooking,chorizo,include,
used_in_cooking,sausage,include,
used_in_cooking,oregano,include,
used_in_cooking,galangal,include,
used_in_cooking,mustard,include,
used_in_cooking,flatbread,include,
used_in_cooking,cucumber,include,
used_in_cooking,acaridae,include,
used_in_cooking,almond,include,
used_in_cooking,breadcrumb,include,
used_in_cooking,lettuce,include,
used_in_cooking,meat,include,
used_in_cooking,soursop,include,
used_in_cooking,vinaigrette,include,
used_in_cooking,sapodilla,include,
used_in_cooking,dessert,include,
used_in_cooking,slaw,include,
used_in_cooking,omelette,include,
used_in_cooking,chickpea,include,
used_in_cooking,pudding,include,
used_in_cooking,sundae,include,
used_in_cooking,pepperoni,include,
used_in_cooking,cornmeal,include,
used_in_cooking,celery,include,
used_in_cooking,noodle,include,
