label,categories_str,sources_str,certainty,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,word_noun_spacy?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,filter,conc,fam,aoa,word_id,lemma_id
neg,tool,wn_hypernym,not_certain,0.0947879187,3,False,-,upset,upset,28691,True,True,False,6,13,17,0.10526315789473684,0.2918794125837469,homonyms_only_different_pos,met non-met,abs-conc,False,282,536,329,82024d24-a88f-11e9-9677-acde48001122,ac736160-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1025655004,3,False,-,saw,see,274678,True,True,False,8,12,25,0.13333333333333333,0.2758717731543824,homonyms_only_different_pos,met non-met,conc,False,532,552,269,82024d4c-a88f-11e9-87db-acde48001122,ac70bc26-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1025974321,3,False,-,scribe,scribe,3960,True,True,True,2,0,5,0.36363636363636365,0.46608946608946605,homonyms_only_different_pos,,conc-n,False,,,,82024d74-a88f-11e9-8807-acde48001122,ac70a6be-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1164859059,3,False,-,muller,muller,5350,True,True,True,1,0,9,0.38095238095238093,0.5162757024313088,,,conc-n,False,,,,82024d92-a88f-11e9-8980-acde48001122,82024286-a88f-11e9-8d52-acde48001122
pos,tool cutlery,wn_hypernym,not_certain,0.1285579123,3,False,-,drove,drive,36794,True,True,False,14,20,34,0.09090909090909091,0.2524986201829008,homonyms_only_different_pos,met non-met,abs-conc,False,447,432,406,82024dba-a88f-11e9-a9f2-acde48001122,ac64670a-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1326197044,3,False,-,buffer,buffer,10410,True,True,True,6,0,10,0.2222222222222222,0.4936016511867905,homonyms_also_same_pos,,abs-conc,False,509,402,553,82024de2-a88f-11e9-9ce6-acde48001122,ac61a268-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1462746608,3,False,-,graver,graver,499,True,True,False,0,0,4,None,,,,conc,False,,,,82024e0a-a88f-11e9-a111-acde48001122,820220ec-a88f-11e9-99de-acde48001122
neg,tool,wn_hypernym,not_certain,0.1529608047,3,False,-,grapple,grapple,1333,True,True,True,3,0,5,0.09090909090909091,0.26915584415584415,,,abs-conc,False,,,,82024e28-a88f-11e9-815b-acde48001122,82024770-a88f-11e9-942f-acde48001122
neg,tool,wn_hypernym,not_certain,0.1556708683,3,False,-,tamper,tamper,1037,True,True,False,1,0,3,0.2,0.2,,,conc,False,,,,82024ec8-a88f-11e9-9607-acde48001122,82022428-a88f-11e9-9e56-acde48001122
neg,tool,wn_hypernym,not_certain,0.1618322565,3,False,-,bender,bender,4669,True,True,True,3,0,3,0.1,0.23703703703703705,,,abs-conc,False,,,,82024ef0-a88f-11e9-8575-acde48001122,82022efa-a88f-11e9-9e7a-acde48001122
neg,tool,wn_hypernym,not_certain,0.1659736918,3,False,-,square,square,247171,True,True,False,14,8,25,0.1,0.24782075524971345,homonyms_only_different_pos,met non-met,abs-conc,False,516,576,250,82024f0c-a88f-11e9-96b3-acde48001122,ac71b086-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1670350726,3,False,-,sander,sander,1904,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,,82024f36-a88f-11e9-91ba-acde48001122,ac707c0c-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1690135398,3,False,-,scuffle,scuffle,1653,True,True,True,4,0,5,0.10526315789473684,0.2644110275689223,homonyms_only_different_pos,met,abs-conc,False,,,,82024f5e-a88f-11e9-9c8b-acde48001122,ac70aab0-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1713344036,3,False,-,bill,bill,227294,True,True,True,9,13,13,0.08333333333333333,0.22337986940894453,homonyms_also_same_pos,met non-met,abs-conc,False,528,552,406,82024f7a-a88f-11e9-909a-acde48001122,ac612978-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1714674599,3,False,-,ram,ram,30336,True,True,True,3,7,9,0.18181818181818182,0.355567089644102,homonyms_only_different_pos,met,conc-n,False,541,468,,82024fa4-a88f-11e9-94cc-acde48001122,ac6f9f8a-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1774983195,2,True,-,opener,opener,12611,True,True,True,1,0,3,0.1111111111111111,0.23646723646723644,poly,,abs-conc,True,,,,82024fcc-a88f-11e9-82f7-acde48001122,ac6dcdf4-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1787114239,3,True,-,file,file,62165,True,True,True,5,10,9,0.11764705882352941,0.2379254732195909,homonyms_also_same_pos,non-met,abs-conc,True,480,504,,82024fe8-a88f-11e9-ace5-acde48001122,ac656060-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1809790916,3,True,-,stamp,stamp,19804,True,True,True,6,7,18,0.1111111111111111,0.23489320563623947,homonyms_only_different_pos,met non-met,abs-conc,True,,,,82025012-a88f-11e9-b0bc-acde48001122,ac71bcb6-ce46-11e9-8a6e-acde48001122
neg,tool,wn_hypernym,not_certain,0.1837809982,-,True,-,lister,lister,4997,True,True,True,1,0,3,0.32,0.36592592592592593,,,conc-n,True,,,,8202503a-a88f-11e9-bbe0-acde48001122,820225ba-a88f-11e9-b863-acde48001122
neg,tool,wn_hypernym,not_certain,0.1856420544,-,True,-,dibble,dibble,716,True,True,False,1,0,3,0.18181818181818182,0.18181818181818182,homonyms_only_different_pos,,conc,False,,,,82025058-a88f-11e9-9b9a-acde48001122,ac63c1d8-ce46-11e9-8a6e-acde48001122
