quid	listNr	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
aa3b431e-dcb8-4d86-8f18-07cd49ede92e	1	I know that being blue is necessary for many things (a/an) blossom does or is used for. 	I know that being bright is necessary for many things (a/an) flashlight does or is used for. 	I know that being grey is necessary for many things (a/an) car does or is used for. 	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	affording_activity-blue-blossom	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
4e67ade2-72b5-453c-b5be-5362fbbc55eb	1	You can find (a/an) blossom which is blue. Blue is one of many possible colors (a/an) blossom usually has. The range of colors is almost unlimited. 	You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt usually has. The range of colors is almost unlimited. 	You can find (a/an) pepper which is green. Green is one of many possible colors (a/an) pepper usually has. The range of colors is almost unlimited. 	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	variability_open-blue-blossom	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
c409d53d-35cf-43ae-97b9-2b26c35ebfed	1	I think it is impossible for (a/an) blossom to be blue.	I think it is impossible for (a/an) water to be dry.	I think it is impossible for (a/an) rose to be white.	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	impossible-blue-blossom	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
e6f1331d-ceae-4140-b017-3ad113f40e4b	1	``Blue'' is one for the first things which come to mind when I hear ``blossom' because blue is one of the typical colors of (a/an) blossom'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical qualities of (a/an) rock'.	``Green'' is one for the first things which come to mind when I hear ``raspberry' because green is one of the typical colors of (a/an) raspberry'.	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	typical_of_concept-blue-blossom	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
a65e58af-52ab-4a70-8723-b04662f6e30f	1	I think (a/an) blossom can be blue, but this is rare or uncommon.	I think (a/an) tomato can be yellow, but this is rare or uncommon.	I think (a/an) grizzly bear can be grey, but this is rare or uncommon.	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	rare-blue-blossom	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
b083f771-7d3c-4c72-ae06-60681539c955	1	Usually, (a/an) blossom is not blue, but there could be a highly unusual situation in which (a/an) blossom is blue.	Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	unusual-blue-blossom	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
7a360815-326c-4390-8c98-de7b9b932385	1	You can find (a/an) blossom which is blue. Blue is one of a few possible colors (a/an) blossom usually has. There is only a limited range of possible colors.	You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper usually has. There is only a limited range of possible colors.	You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt usually has. There is only a limited range of possible colors.	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	variability_limited-blue-blossom	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
79d15857-44da-412f-9267-c075cd4e8de4	1	I could say (a/an) blossom is blue, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	creative-blue-blossom	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
08b18c43-2d4a-4911-a216-6c7cd5ced2b7	1	I know that (a/an) blossom is blue as most or all other things similar to (a/an) blossom are blue. 	I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. 	I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. 	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	implied_category-blue-blossom	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
ec2f0806-622a-42df-9d6e-d9c2da6757de	1	``Blossom'' is one of the first things which come to mind when I hear ``blue' because (a/an) blossom is a typical example of things which are blue'. 	``Mouse'' is one of the first things which come to mind when I hear ``small' because (a/an) mouse is a typical example of things which are small'. 	``Dog'' is one of the first things which come to mind when I hear ``small' because (a/an) dog is a typical example of things which are small'. 	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	typical_of_property-blue-blossom	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
8ef0420e-cc15-4ab9-bb9a-e940e1ba3f77	1	I think (a/an) cabbage can be used_in_cooking, but this is rare or uncommon.	I think (a/an) snail can be purple, but this is rare or uncommon.	I think (a/an) bell_pepper can be green, but this is rare or uncommon.	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	rare-used_in_cooking-cabbage	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
a9ed6161-2fb1-4337-a61b-768f92d0c693	1	You can find (a/an) cabbage which is used_in_cooking. Used_in_cooking is one of many possible uses (a/an) cabbage usually has. The range of uses is almost unlimited. 	You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress usually has. The range of colors is almost unlimited. 	You can find (a/an) apple which is green. Green is one of many possible colors (a/an) apple usually has. The range of colors is almost unlimited. 	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	variability_open-used_in_cooking-cabbage	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
07541109-6bfb-4d94-b130-981321905cb4	1	``Used_in_cooking'' is one for the first things which come to mind when I hear ``cabbage' because used_in_cooking is one of the typical uses of (a/an) cabbage'.	``Expensive'' is one for the first things which come to mind when I hear ``cigar' because expensive is one of the typical prices of (a/an) cigar'.	``Expensive'' is one for the first things which come to mind when I hear ``cigarette' because expensive is one of the typical prices of (a/an) cigarette'.	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	typical_of_concept-used_in_cooking-cabbage	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
21c87c69-a3b0-4d4a-b407-984cf6de5281	1	I could say (a/an) cabbage is used_in_cooking, but I would most certainly not mean it literally.	"I could say (a/an) computer is dying, but I would most certainly not mean it literally.
I could say (a/an) idea is alive, but I would most certainly not mean it literally.
I could say (a/an) thought is toxic, but I would most certainly not mean it literally."	"I could say (a/an) pet is dying, but I would most certainly not mean it literally.
I could say (a/an) dog is alive, but I would most certainly not mean it literally.
I could say (a/an) substance is toxic, but I would most certainly not mean it literally."	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	creative-used_in_cooking-cabbage	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
c95297a9-7823-4338-9cec-6cbca834c3fc	1	I know that being used_in_cooking is necessary for many things (a/an) cabbage does or is used for. 	I know that being waterproof is necessary for many things (a/an) raincoat does or is used for. 	I know that being pink is necessary for many things (a/an) bikini does or is used for. 	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	affording_activity-used_in_cooking-cabbage	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
197f3ebe-f2e9-4aaf-a1d3-89e13f272f3b	1	I think it is impossible for (a/an) cabbage to be used_in_cooking.	I think it is impossible for (a/an) stone to be intelligent.	I think it is impossible for (a/an) doctor to be sick.	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	impossible-used_in_cooking-cabbage	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
2da86632-12df-4cb3-afc6-96dae056c326	1	I know that (a/an) cabbage is used_in_cooking as most or all other things similar to (a/an) cabbage are used_in_cooking. 	I know that (a/an) ruby is valuable as most or all other things similar to (a/an) ruby are valuable. 	I know that (a/an) hammer is valuable as most or all other things similar to (a/an) hammer are valuable. 	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	implied_category-used_in_cooking-cabbage	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
23175027-cc04-4352-bdcc-a78bb7616200	1	You can find (a/an) cabbage which is used_in_cooking. Used_in_cooking is one of a few possible uses (a/an) cabbage usually has. There is only a limited range of possible uses.	You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple usually has. There is only a limited range of possible colors.	You can find (a/an) car which is white. White is one of a few possible colors (a/an) car usually has. There is only a limited range of possible colors.	5_pilot	1	https://app.prolific.co/submissions/complete?cc=117BFCA6	variability_limited-used_in_cooking-cabbage	Agree or disagree (run5_pilot-experiment3-batch6-70-70)
