quid	listNr	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
8fd44d5e-27a0-4a92-8f23-373444ce1727	1	You can find (a/an) mustard which is used_in_cooking. Used_in_cooking is one of a few possible uses (a/an) mustard usually has. There is only a limited range of possible uses.	You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple usually has. There is only a limited range of possible colors.	You can find (a/an) car which is white. White is one of a few possible colors (a/an) car usually has. There is only a limited range of possible colors.	5_pilot	1	https://piasommerauer.github.io/annotation	variability_limited-used_in_cooking-mustard	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
e9eda8c9-36a1-494b-9272-2daac470ea7d	1	I know that being used_in_cooking is necessary for many things (a/an) mustard does or is used for. 	I know that being waterproof is necessary for many things (a/an) raincoat does or is used for. 	I know that being pink is necessary for many things (a/an) bikini does or is used for. 	5_pilot	1	https://piasommerauer.github.io/annotation	affording_activity-used_in_cooking-mustard	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
7a643e6f-bd52-4aca-ad3b-5151ffdf0c9b	1	I think (a/an) mustard can be used_in_cooking, but this is rare or uncommon.	I think (a/an) squirrel can be white, but this is rare or uncommon.	I think (a/an) dog can be brown, but this is rare or uncommon.	5_pilot	1	https://piasommerauer.github.io/annotation	rare-used_in_cooking-mustard	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
300380e1-f71a-4bba-989b-ea8cd7a37a09	1	I could say (a/an) mustard is used_in_cooking, but I would most certainly not mean it literally.	"I could say (a/an) computer is dying, but I would most certainly not mean it literally.
I could say (a/an) idea is alive, but I would most certainly not mean it literally.
I could say (a/an) thought is toxic, but I would most certainly not mean it literally."	"I could say (a/an) pet is dying, but I would most certainly not mean it literally.
I could say (a/an) dog is alive, but I would most certainly not mean it literally.
I could say (a/an) substance is toxic, but I would most certainly not mean it literally."	5_pilot	1	https://piasommerauer.github.io/annotation	creative-used_in_cooking-mustard	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
4cc4b5cf-d356-4d1d-ad07-d202cea5eb74	1	``Mustard'' is one of the first things which come to mind when I hear ``used_in_cooking' because (a/an) mustard is a typical example of things which are used_in_cooking'. 	``Movie_star'' is one of the first things which come to mind when I hear ``famous' because (a/an) movie_star is a typical example of things which are famous'. 	``Mug'' is one of the first things which come to mind when I hear ``expensive' because (a/an) mug is a typical example of things which are expensive'. 	5_pilot	1	https://piasommerauer.github.io/annotation	typical_of_property-used_in_cooking-mustard	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
588793a4-c6d1-4c92-8620-63f45dda83ad	1	``Used_in_cooking'' is one for the first things which come to mind when I hear ``mustard' because used_in_cooking is one of the typical uses of (a/an) mustard'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical qualities of (a/an) rock'.	``Green'' is one for the first things which come to mind when I hear ``raspberry' because green is one of the typical colors of (a/an) raspberry'.	5_pilot	1	https://piasommerauer.github.io/annotation	typical_of_concept-used_in_cooking-mustard	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
53f5b45b-18df-454b-87be-b35cbf640f14	1	You can find (a/an) mustard which is used_in_cooking. Used_in_cooking is one of many possible uses (a/an) mustard usually has. The range of uses is almost unlimited. 	You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt usually has. The range of colors is almost unlimited. 	You can find (a/an) pepper which is green. Green is one of many possible colors (a/an) pepper usually has. The range of colors is almost unlimited. 	5_pilot	1	https://piasommerauer.github.io/annotation	variability_open-used_in_cooking-mustard	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
f8869560-4c57-4a67-b3ac-a81d02b0878f	1	Usually, (a/an) mustard is not used_in_cooking, but there could be a highly unusual situation in which (a/an) mustard is used_in_cooking.	Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.	Usually, (a/an) chocolate is not white, but there could be a highly unusual situation in which (a/an) chocolate is white.	5_pilot	1	https://piasommerauer.github.io/annotation	unusual-used_in_cooking-mustard	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
677d6592-1198-4464-9de3-d591244be72a	1	I know that (a/an) mustard is used_in_cooking as most or all other things similar to (a/an) mustard are used_in_cooking. 	I know that (a/an) ruby is valuable as most or all other things similar to (a/an) ruby are valuable. 	I know that (a/an) hammer is valuable as most or all other things similar to (a/an) hammer are valuable. 	5_pilot	1	https://piasommerauer.github.io/annotation	implied_category-used_in_cooking-mustard	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
3328bf51-bdfa-4bfe-ad7c-27291ed634b3	1	I think it is impossible for (a/an) mustard to be used_in_cooking.	I think it is impossible for (a/an) bee to be human.	I think it is impossible for (a/an) prisoner to be innocent.	5_pilot	1	https://piasommerauer.github.io/annotation	impossible-used_in_cooking-mustard	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
75063f49-23d3-4a59-a3d4-1e17b239f1f5	1	I think (a/an) lark can be blue, but this is rare or uncommon.	I think (a/an) snail can be purple, but this is rare or uncommon.	I think (a/an) bell pepper can be green, but this is rare or uncommon.	5_pilot	1	https://piasommerauer.github.io/annotation	rare-blue-lark	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
4f223b81-8277-4cb7-9544-0851401556eb	1	I know that being blue is necessary for many things (a/an) lark does or is used for. 	I know that being bright is necessary for many things (a/an) flashlight does or is used for. 	I know that being grey is necessary for many things (a/an) car does or is used for. 	5_pilot	1	https://piasommerauer.github.io/annotation	affording_activity-blue-lark	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
6d230053-9b34-4c1e-b48e-bccf422a8d26	1	I could say (a/an) lark is blue, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	5_pilot	1	https://piasommerauer.github.io/annotation	creative-blue-lark	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
8351aa53-ea88-4dad-88bd-177c1f4897af	1	Usually, (a/an) lark is not blue, but there could be a highly unusual situation in which (a/an) lark is blue.	Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.	Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.	5_pilot	1	https://piasommerauer.github.io/annotation	unusual-blue-lark	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
a984a016-8a67-4978-8d92-70947c15479a	1	``Blue'' is one for the first things which come to mind when I hear ``lark' because blue is one of the typical colors of (a/an) lark'.	``Bitter'' is one for the first things which come to mind when I hear ``coffee' because bitter is one of the typical tastes of (a/an) coffee'.	``Salty'' is one for the first things which come to mind when I hear ``beer' because salty is one of the typical tastes of (a/an) beer'.	5_pilot	1	https://piasommerauer.github.io/annotation	typical_of_concept-blue-lark	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
9971fe55-58b0-4c8a-8389-06cbc051e25b	1	I think it is impossible for (a/an) lark to be blue.	I think it is impossible for (a/an) flame to be frozen.	I think it is impossible for (a/an) book to be light.	5_pilot	1	https://piasommerauer.github.io/annotation	impossible-blue-lark	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
e8cce449-55e1-48d1-8393-25c6a8a9de34	1	``Lark'' is one of the first things which come to mind when I hear ``blue' because (a/an) lark is a typical example of things which are blue'. 	``Mouse'' is one of the first things which come to mind when I hear ``small' because (a/an) mouse is a typical example of things which are small'. 	``Dog'' is one of the first things which come to mind when I hear ``small' because (a/an) dog is a typical example of things which are small'. 	5_pilot	1	https://piasommerauer.github.io/annotation	typical_of_property-blue-lark	Agree or disagree (run5_pilot-experiment3-batchTEST-20-20)
