property	lemma
green	carrot
green	problem
green	daisy
green	argument
green	world
green	herring
green	tyre
green	spider
green	grapefruit
green	recorder
green	leopard
green	corn
green	bloodstone
green	currant
green	flame
green	housefly
green	newspaper
green	pyramid
green	diamond
green	crypt
green	oven
green	berry
green	calf
green	tongue
green	pepper
green	night
green	champagne
green	crab
green	sun
green	blueberry
green	sand
green	ketchup
green	nightmare
green	cider
green	water
green	buttercup
green	limousine
green	wasp
green	strawberry
green	raven
green	ink
green	boot
green	piano
green	jaguar
green	cheese
green	squirrel
green	rice
green	fox
green	iceberg
green	dress
green	dog
green	beet
green	stocking
green	nectarine
green	pit
green	human
green	slug
green	cherry
green	peony
green	robin
green	radish
green	grass
green	tomato
green	paint
green	party
green	spinach
green	policy
green	agenda
green	idea
green	broccoli
green	celery
green	jeep
green	parakeet
green	seaweed
green	lime
green	watermelon
green	olive
green	weed
green	fir
green	frog
green	bottle
green	tortoise
green	hose
green	jade
green	salad
green	apple
green	elm
green	eye
green	melon
green	asparagus
green	sycamore
green	vegetable
green	eucalyptus
green	toad
green	crocodile
green	grape
green	iguana
green	avocado
green	pear
green	insect
green	aubergine
green	moss
green	cabbage
green	parka
green	turtle
green	cricket
green	glass
green	budgie
green	kingfisher
green	caterpillar
green	fern
green	leafs
green	pineapple
green	rhubarb
green	willow
green	lawn
green	mango
green	banana
green	lettuce
green	emerald
green	tank
green	pumpkin
green	potato
green	ageratina
green	shrub
green	shrimp
green	plantain
green	dogbane
green	maize
green	hibbertia
green	huckleberry
green	chicken
green	pignut
green	actinidia
green	dogwood
green	fenugreek
green	sauce
green	gaultheria
green	umbellifer
green	fruit
green	walnut
green	garlic
green	chutney
green	cilantro
green	lavandula
green	sterculia
green	herb
green	cucurbit
green	vinaigrette
green	lolium
green	shallot
green	coconut
green	plumeria
green	lewisia
green	mangifera
green	chive
green	cucumber
green	bulgur
green	palaquium
green	oregano
green	pecan
green	galangal
green	eggplant
green	cassava
green	manilkara
green	platanthera
green	blackberry
green	phaseolus
green	mushroom
green	quesadilla
green	colocasia
green	peanut
green	teucrium
green	serviceberry
green	guava
