property	lemma
used_in_cooking	sparrow
used_in_cooking	canary
used_in_cooking	violin
used_in_cooking	hammer
used_in_cooking	shovel
used_in_cooking	jack
used_in_cooking	plier
used_in_cooking	blade
used_in_cooking	trowel
used_in_cooking	rake
used_in_cooking	chainsaw
used_in_cooking	ripsaw
used_in_cooking	auger
used_in_cooking	pestle
used_in_cooking	screwdriver
used_in_cooking	stamper
used_in_cooking	bit
used_in_cooking	drill
used_in_cooking	style
used_in_cooking	tap
used_in_cooking	opener
used_in_cooking	jigsaw
used_in_cooking	pincer
used_in_cooking	hacksaw
used_in_cooking	toothpick
used_in_cooking	spade
used_in_cooking	pounder
used_in_cooking	gimlet
used_in_cooking	hack
used_in_cooking	gutter
used_in_cooking	scraper
used_in_cooking	tool
used_in_cooking	gavel
used_in_cooking	file
used_in_cooking	pallet
used_in_cooking	planer
used_in_cooking	rasp
used_in_cooking	comb
used_in_cooking	slice
used_in_cooking	sawmill
used_in_cooking	mallet
used_in_cooking	scoop
used_in_cooking	starter
used_in_cooking	clincher
used_in_cooking	burr
used_in_cooking	borer
used_in_cooking	reamer
used_in_cooking	corkscrew
used_in_cooking	stamp
used_in_cooking	grappler
used_in_cooking	hayfork
used_in_cooking	mower
used_in_cooking	bevel
used_in_cooking	spanner
used_in_cooking	beetle
used_in_cooking	polisher
used_in_cooking	wrench
used_in_cooking	pitchfork
used_in_cooking	gang
used_in_cooking	stylus
used_in_cooking	router
used_in_cooking	chicken
used_in_cooking	shrimp
used_in_cooking	bass
used_in_cooking	chisel
used_in_cooking	lancet
used_in_cooking	broccoli
used_in_cooking	cauliflower
used_in_cooking	lime
used_in_cooking	pickaxe
used_in_cooking	pimento
used_in_cooking	barong
used_in_cooking	carrot
used_in_cooking	microwave
used_in_cooking	shear
used_in_cooking	adze
used_in_cooking	blender
used_in_cooking	mussel
used_in_cooking	scalpel
used_in_cooking	cleaver
used_in_cooking	fork
used_in_cooking	sickle
used_in_cooking	hatchet
used_in_cooking	oven
used_in_cooking	corn
used_in_cooking	mattock
used_in_cooking	mayonnaise
used_in_cooking	snip
used_in_cooking	clipper
used_in_cooking	butter
used_in_cooking	turnip
used_in_cooking	plane
used_in_cooking	bacon
used_in_cooking	coconut
used_in_cooking	ax
used_in_cooking	cutter
used_in_cooking	pea
used_in_cooking	aubergine
used_in_cooking	tablespoon
used_in_cooking	spatula
used_in_cooking	shaver
used_in_cooking	burrito
used_in_cooking	asparagus
used_in_cooking	cutlery
used_in_cooking	switchblade
used_in_cooking	stove
used_in_cooking	tomato
used_in_cooking	taco
used_in_cooking	slicer
used_in_cooking	artichoke
used_in_cooking	axe
used_in_cooking	potato
used_in_cooking	lobster
used_in_cooking	adz
used_in_cooking	rice
used_in_cooking	prawn
used_in_cooking	apron
used_in_cooking	lance
used_in_cooking	jackknife
used_in_cooking	knife
used_in_cooking	mushroom
used_in_cooking	penknife
used_in_cooking	cutlet
used_in_cooking	cheese
used_in_cooking	flannel
used_in_cooking	gravy
used_in_cooking	dish
used_in_cooking	onion
used_in_cooking	tortilla
used_in_cooking	beef
used_in_cooking	marinade
used_in_cooking	sauce
used_in_cooking	radish
used_in_cooking	cake
used_in_cooking	steak
used_in_cooking	chutney
used_in_cooking	salad
used_in_cooking	congee
used_in_cooking	vegetable
used_in_cooking	pigweed
used_in_cooking	stew
used_in_cooking	vinegar
used_in_cooking	pasta
used_in_cooking	cream
used_in_cooking	soup
used_in_cooking	fritter
used_in_cooking	confit
used_in_cooking	dough
used_in_cooking	casserole
used_in_cooking	pastry
used_in_cooking	enchiladas
used_in_cooking	condiment
used_in_cooking	bread
used_in_cooking	lentil
used_in_cooking	chorizo
used_in_cooking	sausage
used_in_cooking	oregano
used_in_cooking	galangal
used_in_cooking	mustard
used_in_cooking	flatbread
used_in_cooking	cucumber
used_in_cooking	acaridae
used_in_cooking	almond
used_in_cooking	breadcrumb
used_in_cooking	lettuce
used_in_cooking	meat
used_in_cooking	soursop
used_in_cooking	vinaigrette
used_in_cooking	sapodilla
used_in_cooking	dessert
used_in_cooking	slaw
used_in_cooking	omelette
used_in_cooking	chickpea
used_in_cooking	pudding
used_in_cooking	sundae
used_in_cooking	pepperoni
used_in_cooking	cornmeal
used_in_cooking	celery
used_in_cooking	noodle
