property	lemma
warm	soup
warm	water
warm	argument
warm	bikini
warm	idea
warm	ice
warm	basement
warm	nose
warm	icicle
warm	dad
warm	telephone
warm	winter
warm	fun
warm	space
warm	dragon
warm	lemonade
warm	toe
warm	forest
warm	people
warm	river
warm	tea
warm	moon
warm	sword
warm	fridge
warm	vinyl
warm	surfboard
warm	tile
warm	beer
warm	feeling
warm	coat
warm	atmosphere
warm	sun
warm	shawl
warm	bed
warm	glove
warm	jacket
warm	boot
warm	earmuff
warm	cloak
warm	heat
warm	coffee
warm	head
warm	robe
warm	pound
warm	parka
warm	comforter
warm	pyjama
warm	cape
warm	sweater
warm	mitten
warm	scarf
warm	sock
warm	slipper
warm	stocking
warm	dress
warm	wearer
warm	leotard
warm	cummerbund
warm	neckline
warm	greatcoat
warm	brogue
warm	outerwear
warm	kerchief
warm	skirt
warm	frock
warm	necklace
warm	blouse
warm	garment
warm	lace
warm	wool
warm	forelock
warm	tunic
warm	mask
warm	cheesecloth
warm	helmet
warm	poncho
warm	pant
warm	hairstyle
warm	footwear
warm	shoelace
warm	chiffon
warm	costume
warm	wig
warm	bag
warm	towel
warm	garter
warm	cuff
warm	hat
warm	anklet
warm	vest
warm	sealskin
warm	linen
warm	shirt
warm	sporran
warm	lapel
warm	topcoat
warm	handkerchief
warm	waistband
warm	overcoat
warm	loincloth
warm	underwear
warm	undergarment
warm	ankle
warm	calfskin
warm	waist
warm	cassock
warm	sheepskin
warm	deerskin
warm	nightgown
warm	undershirt
warm	flannel
warm	neckerchief
warm	waistcoat
warm	miniskirt
warm	suit
warm	uniform
warm	sandal
warm	hair
warm	blanket
warm	cincture
warm	trouser
warm	tailcoat
warm	bootie
warm	headgear
warm	shoe
warm	gown
warm	epaulet
warm	bodice
warm	clothing
warm	attire
warm	cloth
warm	bathrobe
warm	jean
warm	pullover
warm	leather
warm	feather
warm	coverall
warm	shalwar
warm	turban
warm	collar
warm	galosh
warm	earring
warm	necktie
warm	spandex
warm	shoulder
warm	headdress
warm	sleeve
warm	pantie
warm	mortarboard
warm	salwar
warm	corset
warm	denim
warm	legging
warm	outfit
warm	turtleneck
warm	kimono
warm	breech
warm	overall
warm	surcoat
warm	grosgrain
warm	sunglass
warm	pajama
warm	jumpsuit
warm	strap
warm	taffeta
warm	bandana
