property	lemma
swim	crane
swim	antbird
swim	poultry
swim	osprey
swim	scoter
swim	goldeneye
swim	goldfinch
swim	lark
swim	partridge
swim	hobby
swim	pewee
swim	skylark
swim	ibis
swim	chicken
swim	plover
swim	owl
swim	albatross
swim	rail
swim	emu
swim	willet
swim	kittiwake
swim	darter
swim	barbet
swim	courser
swim	loon
swim	eagle
swim	accentor
swim	nightingale
swim	canary
swim	titmouse
swim	flicker
swim	buzzard
swim	quail
swim	lory
swim	lapwing
swim	scaup
swim	griffon
swim	redhead
swim	tit
swim	cockatoo
swim	poll
swim	stint
swim	parakeet
swim	curassow
swim	crow
swim	stork
swim	falcon
swim	grayback
swim	roaster
swim	duckling
swim	diver
swim	wheatear
swim	robin
swim	nester
swim	cock
swim	roller
swim	sheldrake
swim	thornbill
swim	meadowlark
swim	pen
swim	dipper
swim	bass
swim	turtle
swim	whale
swim	ship
swim	torpedo
swim	stickleback
swim	drum
swim	gunnel
swim	croaker
swim	fish
swim	sawfish
swim	shrimp
swim	shad
swim	roach
swim	hind
swim	mademoiselle
swim	plaice
swim	beaver
swim	rockfish
swim	herring
swim	otter
swim	grenadier
swim	permit
swim	smallmouth
swim	jack
swim	hake
swim	burbot
swim	sturgeon
swim	shark
swim	sunfish
swim	duck
swim	albacore
swim	cobia
swim	frog
swim	grindle
swim	coho
swim	perch
swim	halfbeak
swim	bluefish
swim	ray
swim	thresher
swim	catfish
swim	goatfish
swim	octopus
swim	silverfish
swim	trout
swim	char
swim	schoolmaster
swim	guppy
swim	rattail
swim	cyprinid
swim	seahorse
swim	sucker
swim	sleeper
swim	sardine
swim	bullhead
swim	silverside
swim	hippo
swim	loach
swim	capelin
swim	cod
swim	tortoise
swim	dog
swim	cat
swim	mouse
swim	world
swim	vervet
swim	bloodhound
swim	lechwe
swim	scyliorhinidae
swim	ram
swim	tortoiseshell
swim	retriever
swim	drill
swim	humankind
swim	puppy
swim	bonobo
swim	bunny
swim	jade
swim	killer
swim	armadillo
swim	fawn
swim	tapir
swim	chow
swim	monitor
swim	pacemaker
swim	carnosaur
swim	blenny
swim	gaur
swim	panther
swim	springbok
swim	ass
swim	howler
swim	bear
swim	plesiosaurus
swim	zebra
swim	chameleon
swim	mouser
swim	bulldog
swim	lynx
swim	snake
swim	elephant
swim	pony
swim	humanity
swim	quagga
swim	bycatch
swim	gorgonian
swim	serpent
swim	steed
swim	boa
swim	queen
swim	clupeidae
swim	rattlesnake
swim	boar
swim	basset
swim	basilisk
swim	grade
swim	leopard
swim	lion
