property	lemma
blue	thought
blue	pond
blue	problem
blue	daisy
blue	dandelion
blue	strawberry
blue	frog
blue	cabbage
blue	miner
blue	sandpaper
blue	jade
blue	onion
blue	zebra
blue	peach
blue	lime
blue	avocado
blue	night
blue	moss
blue	orchid
blue	clothing
blue	elm
blue	broccoli
blue	cherry
blue	coal
blue	crypt
blue	pyramid
blue	rooster
blue	blackboard
blue	truffle
blue	dog
blue	football
blue	nectarine
blue	fox
blue	beetle
blue	cheetah
blue	barn
blue	giraffe
blue	beer
blue	herring
blue	car
blue	cockroach
blue	jaguar
blue	goldfish
blue	locust
blue	ambulance
blue	crow
blue	leopard
blue	fir
blue	flower
blue	buttercup
blue	olive
blue	bottle
blue	currant
blue	beet
blue	raisin
blue	gorilla
blue	tarantula
blue	cricket
blue	marigold
blue	balloon
blue	glass
blue	paint
blue	bellflower
blue	blueberry
blue	sky
blue	feeling
blue	world
blue	eye
blue	lark
blue	iceberg
blue	diamond
blue	budgie
blue	dress
blue	chameleon
blue	sapphire
blue	egg
blue	water
blue	umbrella
blue	violet
blue	ring
blue	peacock
blue	lagoon
blue	whale
blue	kingfisher
blue	dolphin
blue	jean
blue	avocet
blue	snake
blue	pleuronectidae
blue	feather
blue	yellowthroat
blue	shark
blue	flamingo
blue	anhinga
blue	trogon
blue	beak
blue	gorgonian
blue	quail
blue	lizard
blue	turtle
blue	nuthatch
blue	bluebird
blue	plumage
blue	fringillidae
blue	blossom
blue	parrot
blue	bird
blue	grackle
blue	crab
blue	wagtail
blue	platanthera
blue	monkey
blue	thornbill
blue	pipefish
blue	paridae
blue	mentzelia
blue	frogmouth
blue	lorikeet
blue	scaup
blue	bowerbird
blue	fish
blue	pratincole
blue	spathe
blue	toucanet
blue	bushbaby
blue	tropicbird
blue	frogfish
blue	turaco
blue	grosbeak
blue	dogwood
blue	coucal
blue	sapsucker
blue	dogbane
blue	snailfish
blue	scorpionfish
blue	charadrius
blue	seedpod
blue	merganser
blue	crossbill
blue	chickadee
blue	cardamine
blue	parrotfish
blue	currawong
