property	lemma
wings	helicopter
wings	boxcar
wings	machine
wings	lorry
wings	cat
wings	snowplow
wings	truck
wings	bike
wings	saloon
wings	tramcar
wings	diner
wings	heap
wings	subcompact
wings	car
wings	bandwagon
wings	phaeton
wings	pushcart
wings	trap
wings	cruiser
wings	racer
wings	cart
wings	rig
wings	flatcar
wings	camper
wings	limo
wings	tipper
wings	wheel
wings	gondola
wings	wrecker
wings	van
wings	carriage
wings	trolley
wings	motorcycle
wings	hack
wings	hearse
wings	waggon
wings	jalopy
wings	automobile
wings	scrambler
wings	minicab
wings	tourer
wings	skateboard
wings	caravan
wings	sleeper
wings	engine
wings	wagon
wings	carrier
wings	dumper
wings	bus
wings	clarence
wings	cabriolet
wings	smoker
wings	tractor
wings	locomotive
wings	sedan
wings	surrey
wings	cab
wings	stroller
wings	pickup
wings	oxcart
wings	chicken
wings	crane
wings	kite
wings	airplane
wings	skimmer
wings	monarch
wings	queen
wings	thrasher
wings	accentor
wings	dragonfly
wings	loon
wings	grackle
wings	hen
wings	egret
wings	eagle
wings	poll
wings	swiftlet
wings	crab
wings	gadfly
wings	scoter
wings	skylark
wings	albatross
wings	hydroplane
wings	owl
wings	sheldrake
wings	oriole
wings	vireo
wings	whitethroat
wings	bunting
wings	eider
wings	harpy
wings	hoopoe
wings	jet
wings	peregrine
wings	duck
wings	barnacle
wings	creeper
wings	quail
wings	courser
wings	hawk
wings	marabout
wings	crow
wings	catbird
wings	viceroy
wings	pintail
wings	merle
wings	emperor
wings	flicker
wings	weka
wings	pigeon
wings	stilt
wings	robin
wings	wren
wings	kea
wings	cricket
wings	diver
wings	airliner
wings	crake
wings	rooster
wings	rail
wings	spoonbill
wings	procellariidae
wings	bird
wings	strigidae
wings	cotingidae
wings	pipit
wings	timaliidae
wings	grosbeak
wings	alaudidae
wings	apodidae
wings	laridae
wings	fringillidae
wings	muscicapa
wings	caprimulgus
wings	phalacrocorax
wings	tropicbird
wings	puffinus
wings	calidris
wings	motacilla
wings	emberizidae
wings	trogon
wings	haliaeetus
wings	charadrius
wings	currawong
wings	paridae
wings	merganser
wings	icteridae
