property,lemma,label,certainty,sources_str
wheels,sleigh,neg,certain,manually_included
wheels,boat,neg,certain,cslb_crowd_neg manually_included
wheels,ship,neg,certain,cslb_crowd_neg manually_included
wheels,tugboat,neg,certain,cslb_crowd_neg
wheels,frigate,neg,certain,cslb_crowd_neg
wheels,vessel,neg,certain,cslb_crowd_neg
wheels,winch,neg,certain,cslb_crowd_neg
wheels,piton,neg,certain,cslb_crowd_neg
wheels,toboggan,neg,certain,cslb_crowd_neg
wheels,battleship,neg,certain,cslb_crowd_neg
wheels,yacht,neg,certain,cslb_crowd_neg
wheels,packhorse,neg,certain,cslb_crowd_neg
wheels,freighter,neg,certain,cslb_crowd_neg
wheels,schooner,neg,certain,cslb_crowd_neg
wheels,trawler,neg,certain,cslb_crowd_neg
wheels,warship,neg,certain,cslb_crowd_neg
wheels,train,pos,certain,cslb manually_included
wheels,sedan,neg,certain,wikipedia_sgns_model wn_parts manually_included
wheels,unicycle,pos,certain,wn_parts cslb manually_included
wheels,carriage,pos,certain,wn_parts cslb manually_included
wheels,car,pos,certain,wikipedia_sgns_model wn_parts mcrae cslb manually_included
wheels,trap,pos,not_certain,wn_parts
wheels,coupe,pos,not_certain,wn_parts
wheels,stage,pos,not_certain,wn_parts
wheels,hearse,pos,not_certain,wn_parts
wheels,stanhope,pos,not_certain,wn_parts
wheels,hackney,pos,not_certain,wn_parts
wheels,handcart,pos,not_certain,wn_parts
wheels,van,neg/pos/pos,uncertain,wn_parts cslb wikipedia_sgns_model wn_parts cslb wikipedia_sgns_model
wheels,bike,pos,certain,wikipedia_sgns_model wn_parts mcrae cslb_crowd_pos
wheels,phaeton,pos,not_certain,wn_parts
wheels,trolley,pos,not_certain,wn_parts cslb
wheels,racer,pos,not_certain,wn_parts
wheels,cat,pos,not_certain,wn_parts
wheels,saloon,pos,not_certain,wn_parts
wheels,lorry,neg/pos/pos,uncertain,wikipedia_sgns_model wn_parts cslb wikipedia_sgns_model wn_parts cslb
wheels,runabout,pos,not_certain,wn_parts
wheels,automobile,neg/pos/pos,uncertain,wikipedia_sgns_model wn_parts wikipedia_sgns_model wn_parts
wheels,cart,pos,not_certain,wn_parts cslb
wheels,gondola,pos,not_certain,wn_parts
wheels,rim,pos,not_certain,wn_parts
wheels,chaise,pos,not_certain,wn_parts
wheels,cruiser,pos,not_certain,wn_parts
wheels,jeep,neg/pos/pos,uncertain,wikipedia_sgns_model wn_parts cslb wikipedia_sgns_model wn_parts cslb
wheels,engine,pos,not_certain,wn_parts
wheels,ambulance,pos,not_certain,wn_parts cslb
wheels,rig,pos,not_certain,wn_parts
wheels,oxcart,pos,not_certain,wn_parts
wheels,snowmobile,pos,not_certain,wn_parts
wheels,tank,pos,not_certain,wn_parts
wheels,wagon,pos,certain,wikipedia_sgns_model wn_parts cslb_crowd_pos
wheels,motorcar,pos,not_certain,wn_parts
wheels,carrier,pos,not_certain,wn_parts
wheels,stagecoach,pos,not_certain,wn_parts
wheels,taxicab,pos,not_certain,wn_parts
wheels,motorbike,pos,certain,wikipedia_sgns_model wn_parts cslb_crowd_pos
wheels,dray,pos,not_certain,wn_parts
wheels,truck,neg/pos/pos,uncertain,wikipedia_sgns_model wn_parts cslb wikipedia_sgns_model wn_parts cslb
wheels,rickshaw,pos,certain,wn_parts cslb_crowd_pos
wheels,heap,pos,not_certain,wn_parts
wheels,pedicab,neg/pos/pos,uncertain,wn_parts wikipedia_sgns_model wn_parts wikipedia_sgns_model
wheels,wheel,neg/pos/pos,uncertain,wikipedia_sgns_model wn_parts wikipedia_sgns_model wikipedia_sgns_model wn_parts wikipedia_sgns_model
wheels,equipage,pos,not_certain,wn_parts
wheels,snowplow,pos,not_certain,wn_parts
wheels,limousine,pos,not_certain,wn_parts cslb
wheels,locomotive,neg/pos/pos,uncertain,wikipedia_sgns_model wn_parts wikipedia_sgns_model wn_parts
wheels,caravan,pos,not_certain,wn_parts cslb
wheels,hack,pos,not_certain,wn_parts
wheels,motorcycle,neg/pos/pos,uncertain,wn_parts cslb wikipedia_sgns_model wn_parts cslb wikipedia_sgns_model
wheels,dumper,pos,not_certain,wn_parts
wheels,diner,pos,not_certain,wn_parts
wheels,coach,pos,not_certain,wn_parts
wheels,pram,pos,not_certain,wn_parts cslb
wheels,buggy,pos,certain,wikipedia_sgns_model wn_parts mcrae cslb
wheels,cabriolet,neg/pos/pos,uncertain,wikipedia_sgns_model wn_parts wikipedia_sgns_model wn_parts
wheels,auto,pos,not_certain,wn_parts
wheels,machine,pos,not_certain,wn_parts
wheels,sidecar,neg/pos,not_certain,wikipedia_sgns_model
wheels,axle,neg/pos,not_certain,wikipedia_sgns_model wikipedia_sgns_model
wheels,brake,neg/pos,not_certain,wikipedia_sgns_model
wheels,chassis,neg/pos,not_certain,wikipedia_sgns_model
wheels,underframe,neg/pos,not_certain,wikipedia_sgns_model
wheels,luggage,neg/pos,not_certain,wikipedia_sgns_model
