label,categories_str,sources_str,certainty,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,word_noun_spacy?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,filter,conc,fam,aoa,word_id,lemma_id
neg,neg_met,manually_included,certain,0.1554301048,3,False,-,problem,problem,137495,True,True,True,2,3,3,0.2857142857142857,0.2857142857142857,poly,non-met,abs,False,360,596,367,81ef0de2-a88f-11e9-9990-acde48001122,ac6f2b0e-ce46-11e9-8a6e-acde48001122
neg,neg_met,manually_included,certain,0.1767626705,3,False,-,idea,idea,159752,True,True,True,3,7,5,0.23529411764705882,0.45187800761330177,poly,non-met,abs,False,259,585,,81ef0e30-a88f-11e9-a466-acde48001122,ac674984-ce46-11e9-8a6e-acde48001122
neg,hot,conceptnet,not_certain,0.1831316795,3,False,-,cindy,cindy,7206,False,False,True,0,0,0,None,,,,-,False,,,,81ef0e6c-a88f-11e9-8c19-acde48001122,81eefcba-a88f-11e9-b1a3-acde48001122
pos,cold,conceptnet,not_certain,0.1877839263,2,True,-,people,people,1124171,True,True,True,3,7,6,0.2222222222222222,0.550976800976801,homonyms_only_different_pos,non-met,abs,True,540,628,281,81ef0eb4-a88f-11e9-885e-acde48001122,ac6e5aa8-ce46-11e9-8a6e-acde48001122
neg,hot,conceptnet,not_certain,0.2075270073,3,True,-,jungles,jungle,2128,True,True,True,1,0,3,0.16666666666666666,0.25396825396825395,poly,non-met,abs-conc,True,,,,81ef0eda-a88f-11e9-b927-acde48001122,ac6802fc-ce46-11e9-8a6e-acde48001122
pos,pos_met,manually_included,certain,0.219289386,2,True,-,hatred,hatred,11277,True,True,True,0,0,1,1.0,1.0,mon,,abs,True,239,544,,81ef0f18-a88f-11e9-a84b-acde48001122,ac66b96a-ce46-11e9-8a6e-acde48001122
neg,hot,conceptnet,not_certain,0.2295074379,-,True,-,lightning,lightning,25437,True,True,True,1,0,2,0.625,0.625,poly,non-met,abs,True,525,465,331,81ef0f5c-a88f-11e9-b973-acde48001122,ac6c22ec-ce46-11e9-8a6e-acde48001122
pos,cold,conceptnet,not_certain,0.2308551502,-,True,-,canada,canada,371010,True,True,False,0,0,1,1.0,1.0,,non-met,n,False,,638,,81ef0f86-a88f-11e9-8572-acde48001122,ac61d38c-ce46-11e9-8a6e-acde48001122
neg,is_hot,cslb,not_certain,0.2313401047,-,True,-,pie,pie,11835,True,True,True,1,0,2,0.13333333333333333,0.13333333333333333,poly,non-met,abs-conc,True,613,576,,81ef0fb6-a88f-11e9-a44c-acde48001122,ac6e9590-ce46-11e9-8a6e-acde48001122
neg,hot hot,conceptnet manually_included,certain,0.2342492379,-,True,-,fire,fire,324750,True,True,True,8,18,18,0.1,0.26704184976243783,homonyms_only_different_pos,met non-met,abs-conc,True,595,580,,81ef0fe8-a88f-11e9-ad82-acde48001122,ac656b32-ce46-11e9-8a6e-acde48001122
neg,hot,conceptnet,not_certain,0.2427340305,-,True,-,venus,venus,17226,True,True,False,0,0,3,0.10526315789473684,0.14837747964682949,,non-met,abs-n,False,,,,81ef1006-a88f-11e9-af28-acde48001122,ac738500-ce46-11e9-8a6e-acde48001122
neg,is_hot,cslb,not_certain,0.2427522467,-,True,-,bath,bath,34659,True,True,True,2,0,7,0.1,0.2699621603027176,homonyms_only_different_pos,non-met,abs-conc-n,True,600,599,172,81ef1042-a88f-11e9-bfb8-acde48001122,ac60f2be-ce46-11e9-8a6e-acde48001122
neg,neg_met,manually_included,certain,0.24832409,-,True,-,love,love,358782,True,True,True,4,13,10,0.13333333333333333,0.2595325309611023,homonyms_only_different_pos,non-met,abs-conc,True,311,619,303,81ef1068-a88f-11e9-87de-acde48001122,ac6c59ce-ce46-11e9-8a6e-acde48001122
