lemma	antske	pia	decision
emotion	include	include	include
cookie	include	include	include
dessert	include	include	include
pork	include	include	include
wine	include	exclude	exclude1
cake	include	include	include
donut	include	include	include
burger	include	include	include
pineapple	include	include	include
steak	include	include	include
report	include	include	include
shrimp	include	include	include
rumor	include	include	include
story	include	include	include
meat	include	include	include
lime	include	include	include
pear	include	include	include
tangerine	include	include	include
strawberry	include	include	include
tomato	include	include	include
satsuma	include	include	include
melon	include	include	include
nectarine	include	include	include
peach	include	include	include
beet	include	include	include
mango	include	include	include
blueberry	include	include	include
grape	include	include	include
cantaloupe	include	include	include
cherry	include	include	include
watermelon	include	include	include
raspberry	include	include	include
lemon	include	include	include
grapefruit	include	include	include
currant	include	include	include
banana	include	include	include
potato	include	include	include
honey	include	exclude	exclude1
almond	include	include	include
saskatoon	include	exclude	exclude1
yam	include	exclude	exclude1
oregano	include	include	include
okra	include	include	include
spike	include	include	include
rutabaga	include	include	include
calabash	include	include	include
ham	include	include	include
lingonberry	include	include	include
maize	include	include	include
mast	include	include	include
coffee	include	exclude	exclude1
gooseberry	include	include	include
legume	include	include	include
fruit	include	include	include
cultivar	exclude	exclude	exclude2
kale	include	include	include
apple	include	include	include
hazelnut	include	include	include
mangold	include	include	include
oyster	include	include	include
broccoli	include	include	include
date	include	include	include
chocolate	include	include	include
spinach	include	include	include
mandarin	include	include	include
onion	include	include	include
pepperoni	include	include	include
olive	include	include	include
berry	include	include	include
pomegranate	include	include	include
barleycorn	include	include	include
jack	include	include	include
colocasia	exclude	exclude	exclude2
wintergreen	include	include	include
corn	include	include	include
veggie	include	include	include
pudding	include	exclude	exclude1
cauliflower	include	include	include
truffle	include	include	include
ginger	include	include	include
guava	include	include	include
pepper	include	include	include
cilantro	include	include	include
bulgur	include	include	include
fennel	include	include	include
hip	include	exclude	exclude1
cabbage	include	include	include
pumpkin	include	include	include
custard	include	include	include
kernel	include	include	include
eggplant	include	include	include
sardine	include	include	include
chicken	include	include	include
leucaena	exclude	exclude	exclude2
green	include	exclude	exclude1
freestone	include	exclude	exclude1
tamarind	include	include	include
asparagus	include	include	include
veg	include	include	include
pulse	include	exclude	exclude1
cocoanut	include	exclude	exclude1
papaya	include	include	include
salad	include	include	include
chickpea	include	include	include
butter	include	include	include
maraschino	include	include	include
apricot	include	include	include
pistachio	include	include	include
oilseed	include	exclude	exclude1
tabasco	include	include	include
grain	include	include	include
puree	include	exclude	exclude1
kumquat	include	include	include
rye	include	include	include
linseed	include	include	include
emperor	include	include	include
aubergine	include	include	include
crab	include	include	include
cinnamon	include	include	include
doughnut	include	include	include
clementine	include	include	include
mulberry	include	include	include
citrus	exclude	include	exclude1
scallion	include	include	include
squash	include	include	include
bacca	include	exclude	exclude1
bacon	include	include	include
rice	include	include	include
artichoke	include	include	include
yogurt	include	exclude	exclude1
damson	include	include	include
sugar	include	include	include
flageolet	include	include	include
cumin	include	include	include
groundnut	include	include	include
plantain	include	include	include
tater	include	exclude	exclude
mangosteen	include	include	include
fenugreek	include	include	include
blackberry	include	include	include
cocoa	include	include	include
conker	include	exclude	exclude1
marrow	include	exclude	exclude1
nut	include	include	include
carrot	include	include	include
pip	include	exclude	exclude1
tamarindo	include	include	include
cheese	include	include	include
mussel	include	include	include
cucurbit	include	exclude	exclude1
sapodilla	include	exclude	exclude1
pyxis	include	exclude	exclude1
orange	include	include	include
scallop	include	include	include
gumbo	include	exclude	exclude1
citron	include	include	include
biscuit	include	include	include
sauce	include	exclude	exclude1
buckeye	include	exclude	exclude1
bread	include	include	include
spud	include	include	exclude
windfall	include	include	include
seed	include	include	include
bean	include	include	include
cottonseed	include	include	include
pie	include	include	include
iceberg	include	include	include
peanut	include	include	include
candy	include	include	include
hackberry	include	exclude	exclude1
actinidia	exclude	exclude	exclude2
elderberry	include	include	include
cashews	include	include	include
coconut	include	include	include
