lemma	antske	pia	decision
sparrow	include	include	include
canary	include	include	include
violin	include	include	include
hammer	include	include	include
shovel	include	include	include
jack	include	exclude	exclude1
plier	include	include	include
blade	include	include	include
trowel	include	include	include
rake	include	include	include
chainsaw	include	include	include
ripsaw	include	include	include
auger	include	include	include
pestle	include	include	include
screwdriver	include	include	include
stamper	include	include	include
bit	include	exclude	exclude1
drill	include	include	include
style	include	exclude	exclude1
tap	include	exclude	exclude1
opener	include	include	include
jigsaw	include	include	include
pincer	include	include	include
hacksaw	include	include	include
toothpick	include	include	include
spade	include	include	include
pounder	include	include	include
gimlet	include	exclude	exclude1
hack	include	include	include
gutter	include	include	include
scraper	include	include	include
tool	exclude	include	exclude1
gavel	include	include	include
file	include	include	include
pallet	include	include	include
planer	include	include	include
rasp	include	include	include
comb	include	include	include
slice	include	exclude	exclude1
sawmill	include	exclude	exclude1
mallet	include	include	include
scoop	include	include	include
starter	exclude	include	exclude1
clincher	include	include	include
burr	include	include	include
borer	include	include	include
reamer	include	include	include
corkscrew	include	include	include
stamp	include	include	include
grappler	include	include	include
hayfork	include	include	include
mower	include	include	include
bevel	include	include	include
spanner	include	include	include
beetle	include	include	include
polisher	include	include	include
wrench	exclude	include	exclude1
pitchfork	include	include	include
gang	exclude	exclude	include
stylus	include	include	include
router	include	include	include
chicken	include	include	include
shrimp	include	include	include
bass	include	include	include
chisel	include	include	include
lancet	include	include	include
broccoli	include	include	include
cauliflower	include	include	include
lime	include	include	include
pickaxe	include	include	include
pimento	include	include	include
barong	not annotated	include	exclude1
carrot	include	include	include
microwave	include	include	include
shear	include	include	include
adze	include	exclude	exclude1
blender	include	include	include
mussel	include	include	include
scalpel	include	include	include
cleaver	include	include	include
fork	include	include	include
sickle	include	include	include
hatchet	include	include	include
oven	include	include	include
corn	include	include	include
mattock	include	include	include
mayonnaise	include	include	include
snip	exclude	exclude	include
clipper	include	include	include
butter	include	include	include
turnip	include	include	include
plane	include	include	include
bacon	include	include	include
coconut	include	include	include
ax	include	include	include
cutter	include	include	include
pea	include	include	include
aubergine	include	include	include
tablespoon	include	include	include
spatula	include	include	include
shaver	include	include	include
burrito	exclude	include	exclude1
asparagus	include	include	include
cutlery	include	include	include
switchblade	include	include	include
stove	include	include	include
tomato	include	include	include
taco	include	include	include
slicer	include	include	include
artichoke	include	include	include
axe	include	include	include
potato	include	include	include
lobster	include	include	include
adz	include	include	include
rice	include	include	include
prawn	include	include	include
apron	include	include	include
lance	include	include	include
jackknife	include	include	include
knife	include	include	include
mushroom	include	include	include
penknife	include	include	include
cutlet	include	include	include
cheese	include	include	include
flannel	include	include	include
gravy	include	include	include
dish	exclude	include	exclude1
onion	include	include	include
tortilla	include	include	include
beef	include	include	include
marinade	include	include	include
sauce	include	include	include
radish	include	include	include
cake	include	include	include
steak	include	include	include
chutney	include	include	include
salad	exclude	include	exclude1
congee	exclude	include	exclude1
vegetable	include	include	include
pigweed	include	include	include
stew	include	include	include
vinegar	include	include	include
pasta	include	include	include
cream	include	include	include
soup	include	include	include
fritter	exclude	include	exclude1
confit	include	include	include
dough	include	include	include
casserole	include	include	include
pastry	include	include	include
enchiladas	exclude	include	exclude1
condiment	include	include	include
bread	include	include	include
lentil	include	include	include
chorizo	include	include	include
sausage	include	include	include
oregano	include	include	include
galangal	include	include	include
mustard	include	include	include
flatbread	include	include	include
cucumber	include	include	include
acaridae	include	include	include
almond	include	include	include
breadcrumb	include	include	include
lettuce	include	include	include
meat	include	include	include
soursop	include	include	include
vinaigrette	include	include	include
sapodilla	include	include	include
dessert	exclude	include	exclude1
slaw	include	include	include
omelette	exclude	include	exclude1
chickpea	include	include	include
pudding	exclude	include	exclude1
sundae	exclude	include	exclude1
pepperoni	include	include	include
cornmeal	include	include	include
celery	include	include	include
noodle	include	include	include
