lemma	antske	pia	decision
soup	include	include	include
water	include	include	include
argument	exclude	include	exclude1
bikini	include	include	include
idea	include	include	include
ice	include	include	include
basement	include	include	include
nose	include	include	include
icicle	include	include	include
dad	include	include	include
telephone	include	include	include
winter	include	include	include
fun	exclude	include	exclude1
space	include	include	include
dragon	include	include	include
lemonade	include	include	include
toe	include	include	include
forest	include	include	include
people	include	include	include
river	include	include	include
tea	include	include	include
moon	exclude	include	exclude1
sword	include	include	include
fridge	include	include	include
vinyl	include	include	include
surfboard	include	include	include
tile	include	include	include
beer	include	include	include
feeling	include	include	include
coat	include	include	include
atmosphere	include	include	include
sun	include	include	include
shawl	include	include	include
bed	include	include	include
glove	include	include	include
jacket	include	include	include
boot	include	include	include
earmuff	include	include	include
cloak	include	include	include
heat	exclude	exclude	include
coffee	include	include	include
head	include	include	include
robe	include	include	include
pound	include	exclude	exclude1
parka	include	include	include
comforter	include	include	include
pyjama	include	include	include
cape	include	include	include
sweater	include	include	include
mitten	include	include	include
scarf	include	include	include
sock	include	include	include
slipper	include	include	include
stocking	include	include	include
dress	include	include	include
wearer	include	exclude	exclude1
leotard	include	include	include
cummerbund	include	include	include
neckline	exclude	include	exclude1
greatcoat	include	include	include
brogue	include	include	include
outerwear	include	include	include
kerchief	include	exclude	exclude1
skirt	include	include	include
frock	include	include	include
necklace	include	include	include
blouse	include	include	include
garment	include	include	include
lace	include	include	include
wool	include	include	include
forelock	include	exclude	exclude1
tunic	include	include	include
mask	include	include	include
cheesecloth	include	include	include
helmet	include	include	include
poncho	include	include	include
pant	include	include	include
hairstyle	exclude	exclude	include
footwear	include	include	include
shoelace	include	include	include
chiffon	include	include	include
costume	include	include	include
wig	include	include	include
bag	include	include	include
towel	include	include	include
garter	include	include	include
cuff	include	include	include
hat	include	include	include
anklet	include	include	include
vest	include	include	include
sealskin	include	include	include
linen	include	include	include
shirt	include	include	include
sporran	include	include	include
lapel	include	include	include
topcoat	include	include	include
handkerchief	include	include	include
waistband	include	include	include
overcoat	include	include	include
loincloth	include	include	include
underwear	include	include	include
undergarment	include	include	include
ankle	include	exclude	exclude1
calfskin	include	include	include
waist	include	include	include
cassock	include	include	include
sheepskin	include	include	include
deerskin	include	include	include
nightgown	include	include	include
undershirt	include	include	include
flannel	include	include	include
neckerchief	include	include	include
waistcoat	include	include	include
miniskirt	include	include	include
suit	include	include	include
uniform	include	include	include
sandal	include	include	include
hair	include	include	include
blanket	include	include	include
cincture	include	include	include
trouser	include	include	include
tailcoat	include	include	include
bootie	include	include	include
headgear	include	include	include
shoe	include	include	include
gown	include	include	include
epaulet	include	include	include
bodice	include	include	include
clothing	include	include	include
attire	include	include	include
cloth	include	include	include
bathrobe	include	include	include
jean	include	include	include
pullover	include	include	include
leather	include	include	include
feather	include	include	include
coverall	include	include	include
shalwar	include	include	include
turban	include	include	include
collar	include	include	include
galosh	include	include	include
earring	include	include	include
necktie	include	include	include
spandex	include	include	include
shoulder	include	include	include
headdress	include	include	include
sleeve	include	include	include
pantie	include	include	include
mortarboard	include	include	include
salwar	include	include	include
corset	include	include	include
denim	include	include	include
legging	include	include	include
outfit	include	include	include
turtleneck	include	include	include
kimono	include	include	include
breech	include	exclude	exclude1
overall	include	include	include
surcoat	include	include	include
grosgrain	include	include	include
sunglass	include	include	include
pajama	include	exclude	exclude1
jumpsuit	include	include	include
strap	include	include	include
taffeta	include	include	include
bandana	include	include	include
