property	label	certainty	concept	collection	sources	quid	relation	question	prop_pos	concept_pos	prop_neg	concept_neg	example_pos	example_neg
warm	pos	certain	soup	perceptual	cslb manually_included	b1b1ab52-4588-483e-86ad-99defe7269b8	implied_category	I know that (a/an) soup is warm as most or all other things similar to (a/an) soup are warm. 	liquid	wine	liquid	bread	I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. 	I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. 
warm	pos	certain	soup	perceptual	cslb manually_included	ef666d65-47ce-475c-84c6-3583af3b34bf	typical_of_property	``Soup'' is one of the first things which come to mind when I hear ``warm' because (a/an) soup is a typical example of things which are warm'. 	colorful	rainbow	white	dress	``Rainbow'' is one of the first things which come to mind when I hear ``colorful' because (a/an) rainbow is a typical example of things which are colorful'. 	``Dress'' is one of the first things which come to mind when I hear ``white' because (a/an) dress is a typical example of things which are white'. 
warm	pos	certain	soup	perceptual	cslb manually_included	75ecc9ce-a8ce-49ea-9559-95ab8bf24303	affording_activity	I know that being warm is necessary for many things (a/an) soup does or is used for. 	pointy	needle	white	t-shirt	I know that being pointy is necessary for many things (a/an) needle does or is used for. 	I know that being white is necessary for many things (a/an) t-shirt does or is used for. 
warm	pos	certain	soup	perceptual	cslb manually_included	3093c2bc-1b16-4543-afba-2a23f3800d73	typical_of_concept	``Warm'' is one for the first things which come to mind when I hear ``soup' because warm is one of the typical qualities of (a/an) soup'.	heavy	rock	bright	mug	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical qualities of (a/an) rock'.	``Bright'' is one for the first things which come to mind when I hear ``mug' because bright is one of the typical appearances of (a/an) mug'.
warm	pos	certain	soup	perceptual	cslb manually_included	c19d8bbc-8fad-4c84-8d4c-e5d8afb1a119	variability_limited	You can find (a/an) soup which is warm. (A/an) soup is usually either warm or not warm. It cannot be a bit more or less warm.	frozen	pea	salty	soup	You can find (a/an) pea which is frozen. (A/an) pea is usually either frozen or not frozen. It cannot be a bit more or less frozen.	You can find (a/an) soup which is salty. (A/an) soup is usually either salty or not salty. It cannot be a bit more or less salty.
warm	pos	certain	soup	perceptual	cslb manually_included	9b1c0d2a-d718-4c94-a363-08e055052db0	variability_open	You can find (a/an) soup which is warm. (A/an) soup is usually either warm, a bit more or less warm or the opposite of warm.	salty	soup	salty	strawberry	You can find (a/an) soup which is salty. (A/an) soup is usually either salty, a bit more or less salty or the opposite of salty.	You can find (a/an) strawberry which is salty. (A/an) strawberry is usually either salty, a bit more or less salty or the opposite of salty.
warm	pos	certain	water	perceptual	conceptnet manually_included	322f4d79-cf76-42fc-88ac-ca0c7573ed2b	implied_category	I know that (a/an) water is warm as most or all other things similar to (a/an) water are warm. 	liquid	wine	liquid	bread	I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. 	I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. 
warm	pos	certain	water	perceptual	conceptnet manually_included	1d10e201-9e37-456f-bf74-dc4510ae9be4	typical_of_property	``Water'' is one of the first things which come to mind when I hear ``warm' because (a/an) water is a typical example of things which are warm'. 	light	feather	bright	mug	``Feather'' is one of the first things which come to mind when I hear ``light' because (a/an) feather is a typical example of things which are light'. 	``Mug'' is one of the first things which come to mind when I hear ``bright' because (a/an) mug is a typical example of things which are bright'. 
warm	pos	certain	water	perceptual	conceptnet manually_included	c6249bf5-ef76-48a1-b131-f59335740574	affording_activity	I know that being warm is necessary for many things (a/an) water does or is used for. 	bright	flashlight	grey	car	I know that being bright is necessary for many things (a/an) flashlight does or is used for. 	I know that being grey is necessary for many things (a/an) car does or is used for. 
warm	pos	certain	water	perceptual	conceptnet manually_included	da83da5c-cab7-480c-b4ae-260699900253	typical_of_concept	``Warm'' is one for the first things which come to mind when I hear ``water' because warm is one of the typical qualities of (a/an) water'.	spicy	chili_pepper	sweet	spinach	``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper' because spicy is one of the typical tastes of (a/an) chili_pepper'.	``Sweet'' is one for the first things which come to mind when I hear ``spinach' because sweet is one of the typical tastes of (a/an) spinach'.
