property	label	certainty	concept	collection	sources	quid	relation	question	prop_pos	concept_pos	prop_neg	concept_neg	example_pos	example_neg
warm	pos	certain	soup	perceptual	cslb manually_included	599bc5d8-2782-4935-95e1-ab7ca54433e9	implied_category	I know that (a/an) soup is warm as most or all other things similar to (a/an) soup are warm. 	sweet	chocoloate_bar	white	dress	I know that (a/an) chocoloate_bar is sweet as most or all other things similar to (a/an) chocoloate_bar are sweet. 	I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. 
warm	pos	certain	soup	perceptual	cslb manually_included	f24043e8-19be-4e81-9228-b70fa55b5ed2	affording_activity	I know that being warm is necessary for many things (a/an) soup does or is used for. 	bright	flashlight	grey	car	I know that being bright is necessary for many things (a/an) flashlight does or is used for. 	I know that being grey is necessary for many things (a/an) car does or is used for. 
warm	pos	certain	soup	perceptual	cslb manually_included	c72d257c-362f-4c2e-bc97-f321b7f92ee5	typical_of_concept	``Warm'' is one for the first things which come to mind when I hear ``soup' because warm is one of the typical temperatures of (a/an) soup'.	spicy	chili_pepper	sweet	spinach	``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper' because spicy is one of the typical tastes of (a/an) chili_pepper'.	``Sweet'' is one for the first things which come to mind when I hear ``spinach' because sweet is one of the typical tastes of (a/an) spinach'.
warm	pos	certain	soup	perceptual	cslb manually_included	0f1ec965-3c1f-4e91-9370-cd3f6eb62b85	typical_of_property	``Soup'' is one of the first things which come to mind when I hear ``warm' because (a/an) soup is a typical example of things which are warm'. 	colorful	rainbow	white	dress	``Rainbow'' is one of the first things which come to mind when I hear ``colorful' because (a/an) rainbow is a typical example of things which are colorful'. 	``Dress'' is one of the first things which come to mind when I hear ``white' because (a/an) dress is a typical example of things which are white'. 
warm	pos	certain	soup	perceptual	cslb manually_included	61c73d66-43ab-4687-a655-4dcc44a5443d	variability_open	You can find (a/an) soup which is warm. (A/an) soup is usually either warm, a bit more or less warm or the opposite of warm.	bitter	chocolate	soft	diamond	You can find (a/an) chocolate which is bitter. (A/an) chocolate is usually either bitter, a bit more or less bitter or the opposite of bitter.	You can find (a/an) diamond which is soft. (A/an) diamond is usually either soft, a bit more or less soft or the opposite of soft.
warm	pos	certain	soup	perceptual	cslb manually_included	8992c46c-1fa1-4a90-8422-e56f4bd8f5a9	variability_limited	You can find (a/an) soup which is warm. (A/an) soup is usually either warm or not warm. It cannot be a bit more or less warm.	liquid	substance	sharp	knife	You can find (a/an) substance which is liquid. (A/an) substance is usually either liquid or not liquid. It cannot be a bit more or less liquid.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp or not sharp. It cannot be a bit more or less sharp.
warm	pos	certain	water	perceptual	conceptnet manually_included	9116e131-4cf8-4c3b-8463-38bfc3f38b53	implied_category	I know that (a/an) water is warm as most or all other things similar to (a/an) water are warm. 	sweet	chocoloate_cake	transparent	table	I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. 	I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. 
warm	pos	certain	water	perceptual	conceptnet manually_included	bd465eb5-fd2f-41ad-a05d-f3f2c15d7e09	affording_activity	I know that being warm is necessary for many things (a/an) water does or is used for. 	sharp	razor	colorful	dress	I know that being sharp is necessary for many things (a/an) razor does or is used for. 	I know that being colorful is necessary for many things (a/an) dress does or is used for. 
warm	pos	certain	water	perceptual	conceptnet manually_included	65b414d6-3c35-4d1e-b0b4-d631ac40690d	typical_of_concept	``Warm'' is one for the first things which come to mind when I hear ``water' because warm is one of the typical temperatures of (a/an) water'.	heavy	rock	bright	mug	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical qualities of (a/an) rock'.	``Bright'' is one for the first things which come to mind when I hear ``mug' because bright is one of the typical appearances of (a/an) mug'.
warm	pos	certain	water	perceptual	conceptnet manually_included	e47ab98c-96d3-42d4-9e39-0e96e26280d5	typical_of_property	``Water'' is one of the first things which come to mind when I hear ``warm' because (a/an) water is a typical example of things which are warm'. 	light	feather	bright	mug	``Feather'' is one of the first things which come to mind when I hear ``light' because (a/an) feather is a typical example of things which are light'. 	``Mug'' is one of the first things which come to mind when I hear ``bright' because (a/an) mug is a typical example of things which are bright'. 
warm	pos	certain	water	perceptual	conceptnet manually_included	b80ad149-6c7e-490e-8914-c3beb5ff7d83	variability_open	You can find (a/an) water which is warm. (A/an) water is usually either warm, a bit more or less warm or the opposite of warm.	bitter	chocolate	soft	diamond	You can find (a/an) chocolate which is bitter. (A/an) chocolate is usually either bitter, a bit more or less bitter or the opposite of bitter.	You can find (a/an) diamond which is soft. (A/an) diamond is usually either soft, a bit more or less soft or the opposite of soft.
warm	pos	certain	water	perceptual	conceptnet manually_included	09e4e4dc-c9a7-404b-99eb-34af946630c6	variability_limited	You can find (a/an) water which is warm. (A/an) water is usually either warm or not warm. It cannot be a bit more or less warm.	liquid	substance	sharp	knife	You can find (a/an) substance which is liquid. (A/an) substance is usually either liquid or not liquid. It cannot be a bit more or less liquid.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp or not sharp. It cannot be a bit more or less sharp.
