b86d4e68-651d-11ea-824c-acde48001122,"I think (a/an) breadcrumb can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66b9214-651d-11ea-824c-acde48001122,"I think (a/an) crow can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-crow,https://app.prolific.co/submissions/complete?cc=3A43AF05
b65da5be-651d-11ea-824c-acde48001122,"Usually, (a/an) blueberry is not red, but there could be a highly unusual situation in which (a/an) blueberry is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-blueberry,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6809f10-651d-11ea-824c-acde48001122,You can find (a/an) beet which is red. Red is one of a few possible colors (a/an) beet can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-beet,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86c07a6-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``puree''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-puree,https://app.prolific.co/submissions/complete?cc=3A43AF05
b685c512-651d-11ea-824c-acde48001122,I know that (a/an) lewisia is red as most or all other things similar to (a/an) lewisia are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-lewisia,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86d468e-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``breadcrumb''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86b5e46-651d-11ea-824c-acde48001122,"I think (a/an) chive can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-chive,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86b5c3e-651d-11ea-824c-acde48001122,You can find (a/an) chive which is round. Round is one of many possible shapes (a/an) chive can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-chive,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66b8c92-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) crow does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-crow,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86b6206-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) chive to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-chive,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86d4c60-651d-11ea-824c-acde48001122,You can find (a/an) breadcrumb which is round. Round is one of many possible shapes (a/an) breadcrumb can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6630676-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) crypt does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-crypt,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86c02ba-651d-11ea-824c-acde48001122,``Puree'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-puree,https://app.prolific.co/submissions/complete?cc=3A43AF05
b6809e0c-651d-11ea-824c-acde48001122,I know that (a/an) beet is red as most or all other things similar to (a/an) beet are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-beet,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86b53f6-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) chive does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-chive,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86c0dc8-651d-11ea-824c-acde48001122,You can find (a/an) puree which is round. Round is one of many possible shapes (a/an) puree can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-puree,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66b94f8-651d-11ea-824c-acde48001122,"I could say (a/an) crow is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-crow,https://app.prolific.co/submissions/complete?cc=3A43AF05
b86d486e-651d-11ea-824c-acde48001122,I know that (a/an) breadcrumb is round as most or all other things similar to (a/an) breadcrumb are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-breadcrumb,https://app.prolific.co/submissions/complete?cc=3A43AF05
b66b8eae-651d-11ea-824c-acde48001122,I know that (a/an) crow is red as most or all other things similar to (a/an) crow are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-crow,https://app.prolific.co/submissions/complete?cc=3A43AF05
