b663af9a-651d-11ea-824c-acde48001122,"I think (a/an) cat can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b65fc772-651d-11ea-824c-acde48001122,"I could say (a/an) aubergine is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-aubergine,https://app.prolific.co/submissions/complete?cc=16567E1F
b854a084-651d-11ea-824c-acde48001122,You can find (a/an) salad which is round. Round is one of a few possible shapes (a/an) salad can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-salad,https://app.prolific.co/submissions/complete?cc=16567E1F
b680eac4-651d-11ea-824c-acde48001122,I know that (a/an) rhubarb is red as most or all other things similar to (a/an) rhubarb are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-rhubarb,https://app.prolific.co/submissions/complete?cc=16567E1F
b8457ed8-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) plunger does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-plunger,https://app.prolific.co/submissions/complete?cc=16567E1F
b680f032-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) rhubarb to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-rhubarb,https://app.prolific.co/submissions/complete?cc=16567E1F
b854a5b6-651d-11ea-824c-acde48001122,You can find (a/an) salad which is round. Round is one of many possible shapes (a/an) salad can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-salad,https://app.prolific.co/submissions/complete?cc=16567E1F
b680e740-651d-11ea-824c-acde48001122,``Rhubarb'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-rhubarb,https://app.prolific.co/submissions/complete?cc=16567E1F
b65fbf0c-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) aubergine does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-aubergine,https://app.prolific.co/submissions/complete?cc=16567E1F
b8549cd8-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``salad''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-salad,https://app.prolific.co/submissions/complete?cc=16567E1F
b663ab30-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``cat''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b680ee34-651d-11ea-824c-acde48001122,"I think (a/an) rhubarb can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-rhubarb,https://app.prolific.co/submissions/complete?cc=16567E1F
b66f4bfc-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``gorilla''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-gorilla,https://app.prolific.co/submissions/complete?cc=16567E1F
b663b288-651d-11ea-824c-acde48001122,"I could say (a/an) cat is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-cat,https://app.prolific.co/submissions/complete?cc=16567E1F
b65fc68c-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) aubergine to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-aubergine,https://app.prolific.co/submissions/complete?cc=16567E1F
b854a7c8-651d-11ea-824c-acde48001122,"I think (a/an) salad can be round, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-salad,https://app.prolific.co/submissions/complete?cc=16567E1F
b680f122-651d-11ea-824c-acde48001122,"I could say (a/an) rhubarb is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-rhubarb,https://app.prolific.co/submissions/complete?cc=16567E1F
b66f4d00-651d-11ea-824c-acde48001122,I know that (a/an) gorilla is red as most or all other things similar to (a/an) gorilla are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-gorilla,https://app.prolific.co/submissions/complete?cc=16567E1F
b65fc588-651d-11ea-824c-acde48001122,"Usually, (a/an) aubergine is not red, but there could be a highly unusual situation in which (a/an) aubergine is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-aubergine,https://app.prolific.co/submissions/complete?cc=16567E1F
