b65f6f70-651d-11ea-824c-acde48001122,"I think (a/an) artichoke can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b66e51c0-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) pineapple does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-pineapple,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b68b33bc-651d-11ea-824c-acde48001122,You can find (a/an) garlic which is red. Red is one of many possible colors (a/an) garlic can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-garlic,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8529d34-651d-11ea-824c-acde48001122,I know that (a/an) butter is round as most or all other things similar to (a/an) butter are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-butter,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b86809b2-651d-11ea-824c-acde48001122,``Curd'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-curd,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b68b35ec-651d-11ea-824c-acde48001122,"Usually, (a/an) garlic is not red, but there could be a highly unusual situation in which (a/an) garlic is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-garlic,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b68b3178-651d-11ea-824c-acde48001122,I know that (a/an) garlic is red as most or all other things similar to (a/an) garlic are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-garlic,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8529b54-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``butter''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-butter,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b82810e6-651d-11ea-824c-acde48001122,You can find (a/an) ball which is round. Round is one of many possible shapes (a/an) ball can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-ball,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b81c3686-651d-11ea-824c-acde48001122,You can find (a/an) lemon which is round. Round is one of a few possible shapes (a/an) lemon can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-lemon,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b81c3104-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) lemon does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-lemon,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b68b3074-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``garlic''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-garlic,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b852b562-651d-11ea-824c-acde48001122,"I could say (a/an) butter is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-butter,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8529938-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) butter does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-butter,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b66e5742-651d-11ea-824c-acde48001122,"I think (a/an) pineapple can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-pineapple,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b65f6d0e-651d-11ea-824c-acde48001122,You can find (a/an) artichoke which is red. Red is one of a few possible colors (a/an) artichoke can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b868189e-651d-11ea-824c-acde48001122,"Usually, (a/an) curd is not round, but there could be a highly unusual situation in which (a/an) curd is round.","Usually, (a/an) orange is not black, but there could be a highly unusual situation in which (a/an) orange is black.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-round-curd,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b65f69da-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) artichoke does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b66e5a30-651d-11ea-824c-acde48001122,"I could say (a/an) pineapple is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-pineapple,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b66e5616-651d-11ea-824c-acde48001122,You can find (a/an) pineapple which is red. Red is one of many possible colors (a/an) pineapple can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-pineapple,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b6732484-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) squirrel does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-squirrel,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b6732cf4-651d-11ea-824c-acde48001122,"I could say (a/an) squirrel is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-squirrel,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b68b3286-651d-11ea-824c-acde48001122,You can find (a/an) garlic which is red. Red is one of a few possible colors (a/an) garlic can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-garlic,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b67328ee-651d-11ea-824c-acde48001122,You can find (a/an) squirrel which is red. Red is one of many possible colors (a/an) squirrel can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-squirrel,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b6732312-651d-11ea-824c-acde48001122,``Squirrel'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-squirrel,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8680c82-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) curd does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-curd,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b65f725e-651d-11ea-824c-acde48001122,"I could say (a/an) artichoke is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-artichoke,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b8280eac-651d-11ea-824c-acde48001122,You can find (a/an) ball which is round. Round is one of a few possible shapes (a/an) ball can have. There is only a limited range of possible shapes.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-round-ball,https://app.prolific.co/submissions/complete?cc=20E7DDCC
b6732a1a-651d-11ea-824c-acde48001122,"I think (a/an) squirrel can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-squirrel,https://app.prolific.co/submissions/complete?cc=20E7DDCC
