b886514c-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) sausage to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b88328aa-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) soursop does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-soursop,https://app.prolific.co/submissions/complete?cc=46F8278C
b68cf490-651d-11ea-824c-acde48001122,``Mango'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-mango,https://app.prolific.co/submissions/complete?cc=46F8278C
b68c3e1a-651d-11ea-824c-acde48001122,I know that (a/an) chocolate is red as most or all other things similar to (a/an) chocolate are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-chocolate,https://app.prolific.co/submissions/complete?cc=46F8278C
b8833598-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) soursop to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-round-soursop,https://app.prolific.co/submissions/complete?cc=46F8278C
b6824d38-651d-11ea-824c-acde48001122,"I think (a/an) mamey can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-mamey,https://app.prolific.co/submissions/complete?cc=46F8278C
b68cfce2-651d-11ea-824c-acde48001122,"Usually, (a/an) mango is not red, but there could be a highly unusual situation in which (a/an) mango is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-mango,https://app.prolific.co/submissions/complete?cc=46F8278C
b82ce8e6-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``banana''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-banana,https://app.prolific.co/submissions/complete?cc=46F8278C
b88652d2-651d-11ea-824c-acde48001122,"I could say (a/an) sausage is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-sausage,https://app.prolific.co/submissions/complete?cc=46F8278C
b82ceec2-651d-11ea-824c-acde48001122,You can find (a/an) banana which is round. Round is one of many possible shapes (a/an) banana can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-banana,https://app.prolific.co/submissions/complete?cc=46F8278C
b66efad0-651d-11ea-824c-acde48001122,I know that (a/an) eye is red as most or all other things similar to (a/an) eye are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-eye,https://app.prolific.co/submissions/complete?cc=46F8278C
