b858ccae-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``gourd''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
b691bbb0-651d-11ea-824c-acde48001122,You can find (a/an) milk which is red. Red is one of a few possible colors (a/an) milk can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-milk,https://app.prolific.co/submissions/complete?cc=2A629CED
b83a76be-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``wheel''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-wheel,https://app.prolific.co/submissions/complete?cc=2A629CED
b67284de-651d-11ea-824c-acde48001122,"Usually, (a/an) wine is not red, but there could be a highly unusual situation in which (a/an) wine is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-wine,https://app.prolific.co/submissions/complete?cc=2A629CED
b684673a-651d-11ea-824c-acde48001122,"I could say (a/an) vine is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-vine,https://app.prolific.co/submissions/complete?cc=2A629CED
b691be12-651d-11ea-824c-acde48001122,"I think (a/an) milk can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-milk,https://app.prolific.co/submissions/complete?cc=2A629CED
b86ac3dc-651d-11ea-824c-acde48001122,"Usually, (a/an) fondant is not round, but there could be a highly unusual situation in which (a/an) fondant is round.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-round-fondant,https://app.prolific.co/submissions/complete?cc=2A629CED
b6727f2a-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``wine''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-wine,https://app.prolific.co/submissions/complete?cc=2A629CED
b67283ee-651d-11ea-824c-acde48001122,"I think (a/an) wine can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-wine,https://app.prolific.co/submissions/complete?cc=2A629CED
b86ab630-651d-11ea-824c-acde48001122,``Fondant'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-fondant,https://app.prolific.co/submissions/complete?cc=2A629CED
b858d654-651d-11ea-824c-acde48001122,"I think (a/an) gourd can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-gourd,https://app.prolific.co/submissions/complete?cc=2A629CED
