b690fe8c-651d-11ea-824c-acde48001122,``Marinade'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-marinade,https://app.prolific.co/submissions/complete?cc=3D8B8251
b819f2cc-651d-11ea-824c-acde48001122,``Bedroom'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-bedroom,https://app.prolific.co/submissions/complete?cc=3D8B8251
b65f18b8-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``spinach''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-spinach,https://app.prolific.co/submissions/complete?cc=3D8B8251
b82a8998-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) tortilla to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-tortilla,https://app.prolific.co/submissions/complete?cc=3D8B8251
b65f162e-651d-11ea-824c-acde48001122,``Spinach'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-spinach,https://app.prolific.co/submissions/complete?cc=3D8B8251
be427cfa-651d-11ea-824c-acde48001122,"Usually, (a/an) hose cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) hose can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-hose,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6737808-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``jam''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-jam,https://app.prolific.co/submissions/complete?cc=3D8B8251
b65f1e08-651d-11ea-824c-acde48001122,"Usually, (a/an) spinach is not red, but there could be a highly unusual situation in which (a/an) spinach is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-spinach,https://app.prolific.co/submissions/complete?cc=3D8B8251
b68e53b2-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) fruit does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-fruit,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81fb2f2-651d-11ea-824c-acde48001122,You can find (a/an) tart which is round. Round is one of many possible shapes (a/an) tart can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-tart,https://app.prolific.co/submissions/complete?cc=3D8B8251
b819fca4-651d-11ea-824c-acde48001122,You can find (a/an) bedroom which is round. Round is one of many possible shapes (a/an) bedroom can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-bedroom,https://app.prolific.co/submissions/complete?cc=3D8B8251
b81a03a2-651d-11ea-824c-acde48001122,"I could say (a/an) bedroom is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-bedroom,https://app.prolific.co/submissions/complete?cc=3D8B8251
b6737f7e-651d-11ea-824c-acde48001122,"I could say (a/an) jam is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-jam,https://app.prolific.co/submissions/complete?cc=3D8B8251
b68e524a-651d-11ea-824c-acde48001122,``Fruit'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-fruit,https://app.prolific.co/submissions/complete?cc=3D8B8251
