089faedc-33e9-47a7-ac3c-ea87a421df5e,I know that all or most grindstone(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,afforded_usual-roll-grindstone
bd361c0b-9ef4-41d1-995f-10475141039b,I think it is impossible for (a/an) radiator to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,impossible-roll-radiator
e19bd0cf-7c1b-421c-b1bb-abbbc87bb4f0,I know that (a/an) hubcap can roll/be used for rolling as most or all other things similar to (a/an) hubcap roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,implied_category-roll-hubcap
6ede6dcf-5f9c-4a9b-9e39-63a1e5420af1,"Usually, (a/an) radiator cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) radiator can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,unusual-roll-radiator
be64a80c-651d-11ea-824c-acde48001122,"Usually, (a/an) grindstone cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) grindstone can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,unusual-roll-grindstone
1d583880-1bc9-4657-a7fa-e9038bf1a998,You can find (a/an) hubcap which can roll/be used for rolling. This distinguishes a certain type of hubcap from others. ,You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. ,You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,variability_limited-roll-hubcap
0b00c89e-f5eb-48c3-84bf-7cbcc5d59f6b,I know that (a/an) apple is red as most or all other things similar to (a/an) apple are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,implied_category-red-apple
4caf5f42-ee6f-424c-8500-9af1d1757a88,``Apple'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,typical_of_property-red-apple
41fcf387-3498-4ac8-be07-74f2a3fcea0b,"Usually, (a/an) hubcap cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) hubcap can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,unusual-roll-hubcap
ffb3cbcb-b31e-4043-9dcf-09a182c2ba2a,"Usually, (a/an) chimney cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) chimney can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,unusual-roll-chimney
091c6d86-f83c-4fde-9027-821e0c071022,I know that all or most chimney(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,afforded_usual-roll-chimney
2b5c91fb-dc79-46a1-9db4-34e6c381812d,"I think there is a radiator  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,rare-roll-radiator
0fa4b00e-d3eb-4cb0-a0e0-83e2b691a7cb,``Roll'' is one for the first things which come to mind when I hear ``chimney''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,typical_of_concept-roll-chimney
c8f732c6-5e51-4945-a3bc-5d56815fce92,I know that all or most radiator(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,afforded_usual-roll-radiator
68b512a0-141c-4112-ac7d-a24276edb875,"I think there is a grindstone  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a car  which can swim/be used for swiming, but this is rare or uncommon.","I think there is a rock  which can swim/be used for swiming, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3974E814,rare-roll-grindstone
216a209e-670e-4c90-9422-538036f6975e,I know that (a/an) grindstone can roll/be used for rolling as most or all other things similar to (a/an) grindstone roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,implied_category-roll-grindstone
40304fdb-8903-49c2-b019-e90a756c3d61,You can find (a/an) apple which is red. Red is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=3974E814,variability_limited-red-apple
