80845866-253c-474a-bec9-b4e741099e0a,``Saw'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_property-roll-saw
67a5e86a-a378-4710-9f33-c8531e3392a0,"I could say (a/an) saw rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,creative-roll-saw
a66f7e38-692f-44a7-9172-62cd80b78289,I know that (a/an) saw can roll/be used for rolling as most or all other things similar to (a/an) saw roll. ,I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. ,I know that (a/an) goldfish can speak/be used for speaking as most or all other things similar to (a/an) goldfish speak. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,implied_category-roll-saw
be2b9ada-651d-11ea-824c-acde48001122,"Usually, (a/an) saw cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) saw can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,unusual-roll-saw
09765740-34e4-4b22-a316-441655944266,I know that all or most saw(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,afforded_usual-roll-saw
ec1a276a-c326-45f4-ad99-8d832c3c6703,You can find (a/an) saw which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,afforded_unusual-roll-saw
ea7eaaae-60fd-4b7d-a356-3a1466e9e0dd,"I think there is a saw  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a grandmother  which can party/be used for partying, but this is rare or uncommon.","I think there is a student  which can party/be used for partying, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,rare-roll-saw
eb8cbc73-862b-4b07-95d1-1b4acb2fdfda,I think it is impossible for (a/an) saw to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,impossible-roll-saw
fd51764c-c7b2-484c-be91-16a12cd6ec96,You can find (a/an) saw which can roll/be used for rolling. This distinguishes a certain type of saw from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,variability_limited-roll-saw
23d16364-b80f-4565-afdd-8183aa5aff5e,``Roll'' is one for the first things which come to mind when I hear ``saw''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_concept-roll-saw
8ed67bf1-45d4-49d0-ba94-02a480f74a3c,I think it is impossible for (a/an) weed to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,impossible-red-weed
72e904a4-48dd-4455-b891-102101582bb2,I know that being red is necessary for many things (a/an) weed does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,affording_activity-red-weed
070928ea-1761-4884-9d05-2938978294b1,``Weed'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_property-red-weed
65524043-2c29-464a-9b99-7cba717f5dbc,"I think (a/an) weed can be red, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,rare-red-weed
09f66c13-3747-4304-8470-2d4da53f8171,You can find (a/an) weed which is red. Red is one of a few possible colors (a/an) weed can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,variability_limited-red-weed
22b342f9-3256-4eb1-8a1a-8cb9ab3eb87e,I know that (a/an) weed is red as most or all other things similar to (a/an) weed are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,implied_category-red-weed
976602ec-44ed-44e6-a35b-5898b20191e7,"I could say (a/an) weed is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,creative-red-weed
433fae0a-3958-4e22-b47f-23bb3cf2e7d7,"Usually, (a/an) weed is not red, but there could be a highly unusual situation in which (a/an) weed is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,unusual-red-weed
d812c92c-5991-482f-a0fd-b96f19c27e63,You can find (a/an) weed which is red. Red is one of many possible colors (a/an) weed can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,variability_open-red-weed
84bf292e-94bb-4160-a2a5-39636acb11a9,``Red'' is one for the first things which come to mind when I hear ``weed''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_concept-red-weed
9ea58172-c925-46a1-b0b4-10b1b0383220,I know that (a/an) box is round as most or all other things similar to (a/an) box are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,implied_category-round-box
4d6f586c-6987-4c73-957b-f96384e0a23b,You can find (a/an) box which is round. Round is one of many possible shapes (a/an) box can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,variability_open-round-box
024b6899-2a86-438a-9838-be4f25604aae,"I could say (a/an) box is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,creative-round-box
239ded7e-e651-43c5-bfa3-254b19e446b5,``Round'' is one for the first things which come to mind when I hear ``box''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_concept-round-box
5c0784ef-bc6b-443d-aa28-517a45665b3e,"Usually, (a/an) box is not round, but there could be a highly unusual situation in which (a/an) box is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,unusual-round-box
b898ced6-6506-4a45-9a95-dbc391ee7fb2,You can find (a/an) box which is round. Round is one of a few possible shapes (a/an) box can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,variability_limited-round-box
a717e0a0-d519-4a78-93f2-ccd0e5c8cc70,"I think (a/an) box can be round, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,rare-round-box
0077a15d-16e9-4b49-829f-6d62c35a5a1a,``Box'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_property-round-box
89b6fe6b-e473-4869-9d73-ceef7f69fdf7,I know that being round is necessary for many things (a/an) box does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,affording_activity-round-box
5141f9e7-6537-4d4a-887d-fd070bac93f4,I think it is impossible for (a/an) box to be round.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,impossible-round-box
1ca0308c-f079-40d5-bc82-c73aaaed8c33,``Breechblock'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_property-roll-breechblock
d5ec680e-938d-4a10-b30e-43c9b5b77d83,I think it is impossible for (a/an) breechblock to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,impossible-roll-breechblock
2bf9233d-67a6-4c75-9e03-a7b9076c5454,``Roll'' is one for the first things which come to mind when I hear ``breechblock''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_concept-roll-breechblock
c981f257-f425-438d-a9a4-b9db9626f7a0,You can find (a/an) breechblock which can roll/be used for rolling. This distinguishes a certain type of breechblock from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,variability_limited-roll-breechblock
5ab71b9b-322d-4785-8572-0d1c4303381f,"I think there is a breechblock  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a grandmother  which can party/be used for partying, but this is rare or uncommon.","I think there is a student  which can party/be used for partying, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,rare-roll-breechblock
be50d390-651d-11ea-824c-acde48001122,"Usually, (a/an) breechblock cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) breechblock can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,unusual-roll-breechblock
3611b0e1-a5e4-4950-9976-c2cce9b1bc19,You can find (a/an) breechblock which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,afforded_unusual-roll-breechblock
8b7d9dad-c845-49cb-bdcf-ec03fd82a867,"I could say (a/an) breechblock rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,creative-roll-breechblock
07670444-5e34-4e2c-8139-bf85973684ce,I know that all or most breechblock(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,afforded_usual-roll-breechblock
9e77e8fa-564d-4fe0-b4a2-e3bc0422ed2b,I know that (a/an) breechblock can roll/be used for rolling as most or all other things similar to (a/an) breechblock roll. ,I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. ,I know that (a/an) goldfish can speak/be used for speaking as most or all other things similar to (a/an) goldfish speak. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,implied_category-roll-breechblock
8ef2cd83-3970-4e71-8fe4-a179524baa89,You can find (a/an) pipe which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,afforded_unusual-roll-pipe
260ced07-a7d3-4adb-ab96-c6ca7ced163e,``Pipe'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_property-roll-pipe
43172825-726e-4ccd-b007-7c6ecef07887,I know that all or most pipe(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,afforded_usual-roll-pipe
677d3467-a185-4d5e-80d7-fa703839a845,I know that (a/an) pipe can roll/be used for rolling as most or all other things similar to (a/an) pipe roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,implied_category-roll-pipe
a1bc74b8-3f76-49ed-bf2c-ddc4f2823930,"I think there is a pipe  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,rare-roll-pipe
be60caca-651d-11ea-824c-acde48001122,"Usually, (a/an) pipe cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) pipe can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,unusual-roll-pipe
c32608ec-ed1f-4bee-baf6-73c985e50ea4,"I could say (a/an) pipe rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,creative-roll-pipe
d35529cd-0213-41f7-bd7d-1134e7bdb340,``Roll'' is one for the first things which come to mind when I hear ``pipe''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_concept-roll-pipe
c8299e03-3d56-4da9-ac00-295905aac94f,You can find (a/an) pipe which can roll/be used for rolling. This distinguishes a certain type of pipe from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,variability_limited-roll-pipe
72ba6002-ca90-4e86-ad26-68ff0a8b448c,I think it is impossible for (a/an) pipe to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,impossible-roll-pipe
83ef7ad9-0804-4313-be5f-b827449d7adc,I think it is impossible for (a/an) shiitake to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,impossible-red-shiitake
1437df9d-095a-4929-9f13-f8be760ee497,"Usually, (a/an) shiitake is not red, but there could be a highly unusual situation in which (a/an) shiitake is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,unusual-red-shiitake
1e40c781-c8b2-431f-845d-1fab6fecf1c6,You can find (a/an) shiitake which is red. Red is one of many possible colors (a/an) shiitake can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,variability_open-red-shiitake
1d27de52-1e4e-467b-9597-bd8cc3818290,``Shiitake'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_property-red-shiitake
8830f729-9fbb-496a-af0f-ddacfdff3012,"I could say (a/an) shiitake is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,creative-red-shiitake
38ddb4c8-8fd9-4901-ac64-8cb3d6951e37,"I think (a/an) shiitake can be red, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,rare-red-shiitake
2e480811-32a2-4934-b88e-144981be7dc7,I know that (a/an) shiitake is red as most or all other things similar to (a/an) shiitake are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,implied_category-red-shiitake
9377ff56-ee67-46f8-a198-f9479977b695,I know that being red is necessary for many things (a/an) shiitake does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,affording_activity-red-shiitake
669a9540-4587-4a59-b758-88761ca2dcdf,You can find (a/an) shiitake which is red. Red is one of a few possible colors (a/an) shiitake can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,variability_limited-red-shiitake
e2794c9c-ef33-4f19-9dce-657f549bc638,``Red'' is one for the first things which come to mind when I hear ``shiitake''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_concept-red-shiitake
55cb9b01-b83f-42f8-a418-3d22c4929f77,I know that all or most millstone(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,afforded_usual-roll-millstone
a2f4d24e-dec6-42a8-b4f4-c5cfc08172fe,You can find (a/an) millstone which can roll/be used for rolling. This distinguishes a certain type of millstone from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,variability_limited-roll-millstone
e116a3a2-24e7-4ce6-babc-36a2d11bee0f,``Millstone'' is one of the first things which come to mind when I hear ``roll''. ,``Baby'' is one of the first things which come to mind when I hear ``cry''. ,``Teacher'' is one of the first things which come to mind when I hear ``walk''. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_property-roll-millstone
bd47ed0a-6ea6-4c12-8427-63950f2df368,You can find (a/an) millstone which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,afforded_unusual-roll-millstone
6d0a2861-d5f0-40e0-88d9-e74afb386774,``Roll'' is one for the first things which come to mind when I hear ``millstone''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,typical_of_concept-roll-millstone
3d2d79b2-b247-48aa-9577-450405a618b1,I know that (a/an) millstone can roll/be used for rolling as most or all other things similar to (a/an) millstone roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,implied_category-roll-millstone
114ba45d-3e43-4a61-9ff4-497f6b7b0738,I think it is impossible for (a/an) millstone to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=8C4CEDA6,impossible-roll-millstone
