b67ef49e-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) carnation does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b854099e-651d-11ea-824c-acde48001122,You can find (a/an) onion which is round. Round is one of a few possible shapes (a/an) onion can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-onion,https://app.prolific.co/submissions/complete?cc=4119571E
b84ac00a-651d-11ea-824c-acde48001122,You can find (a/an) juice which is round. Round is one of a few possible shapes (a/an) juice can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-juice,https://app.prolific.co/submissions/complete?cc=4119571E
b6921740-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) cinnamon to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-cinnamon,https://app.prolific.co/submissions/complete?cc=4119571E
b81c952c-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``candle''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-candle,https://app.prolific.co/submissions/complete?cc=4119571E
b84ac60e-651d-11ea-824c-acde48001122,"Usually, (a/an) juice is not round, but there could be a highly unusual situation in which (a/an) juice is round.","Usually, (a/an) orange is not black, but there could be a highly unusual situation in which (a/an) orange is black.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-juice,https://app.prolific.co/submissions/complete?cc=4119571E
b66065b0-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) ring does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-ring,https://app.prolific.co/submissions/complete?cc=4119571E
b6606d3a-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) ring to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-ring,https://app.prolific.co/submissions/complete?cc=4119571E
b6920f8e-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) cinnamon does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-cinnamon,https://app.prolific.co/submissions/complete?cc=4119571E
b81c9d4c-651d-11ea-824c-acde48001122,You can find (a/an) candle which is round. Round is one of many possible shapes (a/an) candle can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-candle,https://app.prolific.co/submissions/complete?cc=4119571E
b69212b8-651d-11ea-824c-acde48001122,You can find (a/an) cinnamon which is red. Red is one of a few possible colors (a/an) cinnamon can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-cinnamon,https://app.prolific.co/submissions/complete?cc=4119571E
b69213ee-651d-11ea-824c-acde48001122,You can find (a/an) cinnamon which is red. Red is one of many possible colors (a/an) cinnamon can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-cinnamon,https://app.prolific.co/submissions/complete?cc=4119571E
b66068e4-651d-11ea-824c-acde48001122,You can find (a/an) ring which is red. Red is one of a few possible colors (a/an) ring can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-ring,https://app.prolific.co/submissions/complete?cc=4119571E
b853fe36-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``onion''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-onion,https://app.prolific.co/submissions/complete?cc=4119571E
b66ffaac-651d-11ea-824c-acde48001122,"Usually, (a/an) olive is not red, but there could be a highly unusual situation in which (a/an) olive is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-olive,https://app.prolific.co/submissions/complete?cc=4119571E
b85407be-651d-11ea-824c-acde48001122,I know that (a/an) onion is round as most or all other things similar to (a/an) onion are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-onion,https://app.prolific.co/submissions/complete?cc=4119571E
b66d2ee4-651d-11ea-824c-acde48001122,You can find (a/an) chameleon which is red. Red is one of many possible colors (a/an) chameleon can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-chameleon,https://app.prolific.co/submissions/complete?cc=4119571E
b84ab678-651d-11ea-824c-acde48001122,``Juice'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-juice,https://app.prolific.co/submissions/complete?cc=4119571E
b66d30ec-651d-11ea-824c-acde48001122,"Usually, (a/an) chameleon is not red, but there could be a highly unusual situation in which (a/an) chameleon is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-chameleon,https://app.prolific.co/submissions/complete?cc=4119571E
b6606b46-651d-11ea-824c-acde48001122,"I think (a/an) ring can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-ring,https://app.prolific.co/submissions/complete?cc=4119571E
b85410e2-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) onion to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-onion,https://app.prolific.co/submissions/complete?cc=4119571E
b84ab948-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) juice does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-juice,https://app.prolific.co/submissions/complete?cc=4119571E
b66d2a84-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) chameleon does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-chameleon,https://app.prolific.co/submissions/complete?cc=4119571E
b8540bb0-651d-11ea-824c-acde48001122,You can find (a/an) onion which is round. Round is one of many possible shapes (a/an) onion can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-onion,https://app.prolific.co/submissions/complete?cc=4119571E
b66ffc96-651d-11ea-824c-acde48001122,"I could say (a/an) olive is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-olive,https://app.prolific.co/submissions/complete?cc=4119571E
b69211b4-651d-11ea-824c-acde48001122,I know that (a/an) cinnamon is red as most or all other things similar to (a/an) cinnamon are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-cinnamon,https://app.prolific.co/submissions/complete?cc=4119571E
b66ff408-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) olive does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-olive,https://app.prolific.co/submissions/complete?cc=4119571E
b66ff868-651d-11ea-824c-acde48001122,You can find (a/an) olive which is red. Red is one of many possible colors (a/an) olive can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-olive,https://app.prolific.co/submissions/complete?cc=4119571E
b84ac226-651d-11ea-824c-acde48001122,You can find (a/an) juice which is round. Round is one of many possible shapes (a/an) juice can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-round-juice,https://app.prolific.co/submissions/complete?cc=4119571E
b66d32fe-651d-11ea-824c-acde48001122,"I could say (a/an) chameleon is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-chameleon,https://app.prolific.co/submissions/complete?cc=4119571E
b66066d2-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``ring''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-ring,https://app.prolific.co/submissions/complete?cc=4119571E
be261984-651d-11ea-824c-acde48001122,"Usually, (a/an) calliper cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) calliper can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-calliper,https://app.prolific.co/submissions/complete?cc=4119571E
b84ac438-651d-11ea-824c-acde48001122,"I think (a/an) juice can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-juice,https://app.prolific.co/submissions/complete?cc=4119571E
b67ef840-651d-11ea-824c-acde48001122,I know that (a/an) carnation is red as most or all other things similar to (a/an) carnation are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-carnation,https://app.prolific.co/submissions/complete?cc=4119571E
b6606a1a-651d-11ea-824c-acde48001122,You can find (a/an) ring which is red. Red is one of many possible colors (a/an) ring can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-ring,https://app.prolific.co/submissions/complete?cc=4119571E
b66d3218-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) chameleon to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-chameleon,https://app.prolific.co/submissions/complete?cc=4119571E
