6ad120b1-1beb-48ce-a40d-d010fa442d65,``Red'' is one for the first things which come to mind when I hear ``watermelon''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_concept-red-watermelon
fff07ee6-ea93-466f-a062-d8a55c53b9e6,"Usually, (a/an) watermelon is not red, but there could be a highly unusual situation in which (a/an) watermelon is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,unusual-red-watermelon
e17e0e67-a099-4346-b79b-fca235a562b4,``Watermelon'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,typical_of_property-red-watermelon
b0650b29-bb73-45b1-848c-f859fb6807ff,I think it is impossible for (a/an) watermelon to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,impossible-red-watermelon
840b539c-25d5-43c3-b969-6f7fd6fb59e6,You can find (a/an) watermelon which is red. Red is one of a few possible colors (a/an) watermelon can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,variability_limited-red-watermelon
57570762-b7cb-4479-98cd-b5db246e478e,I know that being red is necessary for many things (a/an) watermelon does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,affording_activity-red-watermelon
b5d3bc47-d93a-499e-8e1e-e8238d2c3241,You can find (a/an) watermelon which is red. Red is one of many possible colors (a/an) watermelon can have. The range of colors is almost unlimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost unlimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost unlimited. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,variability_open-red-watermelon
6784ca8f-5976-4216-8561-191ddd2ca446,I know that (a/an) watermelon is red as most or all other things similar to (a/an) watermelon are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,implied_category-red-watermelon
a0fffacf-cf61-461c-b689-a4872c82e4f1,"I could say ``(a/an) watermelon is red"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,creative-red-watermelon
3b32ad43-6288-414c-bc26-b8e59474587f,"I think (a/an) watermelon can be red, but this is rare or uncommon","I think (a/an) rose can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,rare-red-watermelon
917d54e7-1a14-4562-bbf2-6aa355752618,"I could say ``(a/an) shovel rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3ABEB326,creative-roll-shovel
