a8423b8b-0e88-4789-812b-5ef4a01a284f,"I think there is a tyre  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,rare-roll-tyre
4b0ea0ea-f25e-4170-877f-f18a89d4bc77,You can find (a/an) tyre which can roll/be used for rolling. This distinguishes a certain type of tyre from others. ,You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. ,You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,variability_limited-roll-tyre
09f3a610-7709-407f-8b1d-d0283caccad0,You can find (a/an) tyre which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,afforded_unusual-roll-tyre
b6ab9aec-a67e-48a0-b091-132ed8717247,"I could say ``(a/an) tyre rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,creative-roll-tyre
b751cc47-843d-4727-b355-3c4f17c0090e,``Tyre'' is one of the first things which come to mind when I hear ``roll''. ,``Baby'' is one of the first things which come to mind when I hear ``cry''. ,``Teacher'' is one of the first things which come to mind when I hear ``walk''. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_property-roll-tyre
77c4f86c-cbeb-40e6-865c-7b222c4499b9,I know that all or most tyre(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,afforded_usual-roll-tyre
90e9837a-34ce-4a50-af9a-83f2f566bb87,I know that (a/an) tyre can roll/be used for rolling as most or all other things similar to (a/an) tyre roll. ,I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. ,I know that (a/an) goldfish can speak/be used for speaking as most or all other things similar to (a/an) goldfish speak. ,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,implied_category-roll-tyre
a8c51f48-ecaf-4995-8a35-85898d0508f2,I think it is impossible for (a/an) tyre to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,impossible-roll-tyre
be1ec26a-651d-11ea-824c-acde48001122,"Usually, (a/an) tyre cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) tyre can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=121177B9,unusual-roll-tyre
81b15973-b31c-40b9-b935-721d7e820506,``Roll'' is one for the first things which come to mind when I hear ``tyre''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,typical_of_concept-roll-tyre
765eb453-ecf0-443c-9ee3-73b1cbb7874a,I think it is impossible for (a/an) magpie to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=121177B9,impossible-red-magpie
