7ac0a9cb-7646-49fe-bbaa-71cb263b52c8,I know that being red is necessary for many things (a/an) truffle does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,affording_activity-red-truffle
57d598c9-c1c2-4981-bb67-3ba0fdd67e1c,"Usually, (a/an) truffle is not red, but there could be a highly unusual situation in which (a/an) truffle is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=278209B1,unusual-red-truffle
fb80aa4f-7d2e-4ae4-9dd4-6a278d4400f1,You can find (a/an) truffle which is red. Red is one of many possible colors (a/an) truffle can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,variability_open-red-truffle
bb08cd6d-e91c-4f31-a14a-d159008904af,I know that (a/an) truffle is red as most or all other things similar to (a/an) truffle are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,implied_category-red-truffle
685b8c6a-4ce1-4b05-964e-ced4ef7fda52,"I think (a/an) truffle can be red, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=278209B1,rare-red-truffle
b041c43b-b19a-4b57-a3e8-ea29cf62aceb,``Truffle'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,typical_of_property-red-truffle
23b00b80-9a84-4dd3-b4a4-c28e30a7af9c,"I could say ``(a/an) truffle is red"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=278209B1,creative-red-truffle
eb706708-fd34-498e-af36-8e7777ea507d,You can find (a/an) truffle which is red. Red is one of a few possible colors (a/an) truffle can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,variability_limited-red-truffle
151019ec-683d-4829-b08f-af3000518dfe,``Red'' is one for the first things which come to mind when I hear ``truffle''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,typical_of_concept-red-truffle
6a724f56-2adc-4886-8c89-6020d5ad7d1d,I think it is impossible for (a/an) truffle to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,impossible-red-truffle
f3726898-e764-4dce-95e0-c987538c187e,"I think there is a chamfer  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=278209B1,rare-roll-chamfer
3b0bc487-5761-4406-a9f9-45213d92ca4f,I think it is impossible for (a/an) chamfer to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,impossible-roll-chamfer
eb7d3a06-72bd-446b-b6e4-6fd3a2bc7d5b,``Chamfer'' is one of the first things which come to mind when I hear ``roll''. ,``Baby'' is one of the first things which come to mind when I hear ``cry''. ,``Teacher'' is one of the first things which come to mind when I hear ``walk''. ,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,typical_of_property-roll-chamfer
32fc2370-9b68-4d60-9cfe-c3231b97a5b0,You can find (a/an) chamfer which can roll/be used for rolling. This distinguishes a certain type of chamfer from others. ,You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. ,You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. ,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,variability_limited-roll-chamfer
7114928e-78c2-42c8-bd6e-c6df21e940fe,I know that (a/an) chamfer can roll/be used for rolling as most or all other things similar to (a/an) chamfer roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,implied_category-roll-chamfer
2f7b979a-c3e3-4417-9940-63bbd3e78c4d,I know that all or most chamfer(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=278209B1,afforded_usual-roll-chamfer
ec8def33-5356-4551-93c0-e96907efe2bd,"I could say ``(a/an) chamfer rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=278209B1,creative-roll-chamfer
