b684b7e4-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) lentil to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6712274-651d-11ea-824c-acde48001122,You can find (a/an) grapefruit which is red. Red is one of many possible colors (a/an) grapefruit can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-grapefruit,https://app.prolific.co/submissions/complete?cc=5183CFDF
b67815ac-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``crab''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-crab,https://app.prolific.co/submissions/complete?cc=5183CFDF
b671213e-651d-11ea-824c-acde48001122,You can find (a/an) grapefruit which is red. Red is one of a few possible colors (a/an) grapefruit can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-grapefruit,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6950446-651d-11ea-824c-acde48001122,I know that (a/an) rhagoletis is red as most or all other things similar to (a/an) rhagoletis are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-red-rhagoletis,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6706686-651d-11ea-824c-acde48001122,You can find (a/an) paint which is red. Red is one of a few possible colors (a/an) paint can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-paint,https://app.prolific.co/submissions/complete?cc=5183CFDF
b662b392-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) coffee does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-coffee,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6712490-651d-11ea-824c-acde48001122,"Usually, (a/an) grapefruit is not red, but there could be a highly unusual situation in which (a/an) grapefruit is red.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-grapefruit,https://app.prolific.co/submissions/complete?cc=5183CFDF
b684b6e0-651d-11ea-824c-acde48001122,"Usually, (a/an) lentil is not red, but there could be a highly unusual situation in which (a/an) lentil is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-lentil,https://app.prolific.co/submissions/complete?cc=5183CFDF
b69507b6-651d-11ea-824c-acde48001122,"I think (a/an) rhagoletis can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-rhagoletis,https://app.prolific.co/submissions/complete?cc=5183CFDF
b673d230-651d-11ea-824c-acde48001122,You can find (a/an) rooster which is red. Red is one of a few possible colors (a/an) rooster can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-rooster,https://app.prolific.co/submissions/complete?cc=5183CFDF
b673d4ba-651d-11ea-824c-acde48001122,You can find (a/an) rooster which is red. Red is one of many possible colors (a/an) rooster can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-rooster,https://app.prolific.co/submissions/complete?cc=5183CFDF
b673d064-651d-11ea-824c-acde48001122,I know that (a/an) rooster is red as most or all other things similar to (a/an) rooster are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-rooster,https://app.prolific.co/submissions/complete?cc=5183CFDF
b662b82e-651d-11ea-824c-acde48001122,You can find (a/an) coffee which is red. Red is one of many possible colors (a/an) coffee can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-coffee,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6781d0e-651d-11ea-824c-acde48001122,"I could say (a/an) crab is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-crab,https://app.prolific.co/submissions/complete?cc=5183CFDF
be216cfe-651d-11ea-824c-acde48001122,"Usually, (a/an) pavement cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) pavement can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-pavement,https://app.prolific.co/submissions/complete?cc=5183CFDF
be51299e-651d-11ea-824c-acde48001122,"Usually, (a/an) paddle cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) paddle can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-paddle,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6712594-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) grapefruit to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-grapefruit,https://app.prolific.co/submissions/complete?cc=5183CFDF
b673d8fc-651d-11ea-824c-acde48001122,"I could say (a/an) rooster is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-rooster,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6711cac-651d-11ea-824c-acde48001122,``Grapefruit'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-grapefruit,https://app.prolific.co/submissions/complete?cc=5183CFDF
b673ce02-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) rooster does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-rooster,https://app.prolific.co/submissions/complete?cc=5183CFDF
b662ba4a-651d-11ea-824c-acde48001122,"Usually, (a/an) coffee is not red, but there could be a highly unusual situation in which (a/an) coffee is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-coffee,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6781322-651d-11ea-824c-acde48001122,``Crab'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-crab,https://app.prolific.co/submissions/complete?cc=5183CFDF
b69500c2-651d-11ea-824c-acde48001122,``Rhagoletis'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-red-rhagoletis,https://app.prolific.co/submissions/complete?cc=5183CFDF
b662b95a-651d-11ea-824c-acde48001122,"I think (a/an) coffee can be red, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-coffee,https://app.prolific.co/submissions/complete?cc=5183CFDF
b6781c28-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) crab to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) flame to be orange.,3,1,impossible-red-crab,https://app.prolific.co/submissions/complete?cc=5183CFDF
