8cdeea27-19c4-4022-8329-70b2c2d73a9d,I know that being red is necessary for many things (a/an) raisin does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,affording_activity-red-raisin
7b039aa2-d2ba-41c8-9e53-dec27d2472cc,``Red'' is one for the first things which come to mind when I hear ``raisin''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_concept-red-raisin
165950c9-2c3e-43b4-a738-593745c22d1f,You can find (a/an) raisin which is red. Red is one of a few possible colors (a/an) raisin can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_limited-red-raisin
ff541a2b-061c-4e54-a96d-acb90570c7b1,"Usually, (a/an) raisin is not red, but there could be a highly unusual situation in which (a/an) raisin is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,unusual-red-raisin
00c94915-63bb-40de-a7e1-e7e9ea4d08ab,"I think (a/an) raisin can be red, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,rare-red-raisin
f84cd61c-d1cf-40a7-bc63-8113da959bd2,I think it is impossible for (a/an) raisin to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,impossible-red-raisin
31817473-708a-4162-9b8c-86a9e1176f72,I know that (a/an) raisin is red as most or all other things similar to (a/an) raisin are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,implied_category-red-raisin
e87f39d5-1770-494d-8079-69587a488d00,You can find (a/an) raisin which is red. Red is one of many possible colors (a/an) raisin can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,variability_open-red-raisin
9d01d419-fa3b-4cca-8233-e42d168713cf,``Raisin'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_property-red-raisin
f19304a8-2238-4d64-a3b7-236055f53964,"I could say (a/an) raisin is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,creative-red-raisin
f11e4476-95f5-4ea3-803d-3d0ea6199898,``Wheelbarrow'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_property-roll-wheelbarrow
12dffe9b-e183-416f-ad6e-6ae0c9a6cec5,I think it is impossible for (a/an) wheelbarrow to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,impossible-roll-wheelbarrow
f87ca60a-c1c7-4b0e-8908-35051b221662,I know that (a/an) wheelbarrow can roll/be used for rolling as most or all other things similar to (a/an) wheelbarrow roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,implied_category-roll-wheelbarrow
0d0f9b51-0dd1-41c3-b553-e8122d76d792,``Roll'' is one for the first things which come to mind when I hear ``wheelbarrow''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,typical_of_concept-roll-wheelbarrow
08ce1857-b312-481f-b690-1ef9f6649fe6,You can find (a/an) wheelbarrow which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) computer which can heat/be used for heating. This is not what it usually does or is used for. ,You can find (a/an) brush which can paint/be used for painting. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=77B796DC,afforded_unusual-roll-wheelbarrow
