b8802146-651d-11ea-824c-acde48001122,"I think (a/an) donut can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b82499a2-651d-11ea-824c-acde48001122,``Baton'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-baton,https://app.prolific.co/submissions/complete?cc=7EE10382
b8802664-651d-11ea-824c-acde48001122,"I could say (a/an) donut is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b66615c8-651d-11ea-824c-acde48001122,I know that (a/an) rhino is red as most or all other things similar to (a/an) rhino are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-rhino,https://app.prolific.co/submissions/complete?cc=7EE10382
b6610b8c-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``fir''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-fir,https://app.prolific.co/submissions/complete?cc=7EE10382
b88017aa-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) donut does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-donut,https://app.prolific.co/submissions/complete?cc=7EE10382
b824ab54-651d-11ea-824c-acde48001122,You can find (a/an) baton which is round. Round is one of many possible shapes (a/an) baton can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-baton,https://app.prolific.co/submissions/complete?cc=7EE10382
b695572a-651d-11ea-824c-acde48001122,You can find (a/an) chili which is red. Red is one of a few possible colors (a/an) chili can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-red-chili,https://app.prolific.co/submissions/complete?cc=7EE10382
b828fe70-651d-11ea-824c-acde48001122,"Usually, (a/an) football is not round, but there could be a highly unusual situation in which (a/an) football is round.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-football,https://app.prolific.co/submissions/complete?cc=7EE10382
b66616cc-651d-11ea-824c-acde48001122,You can find (a/an) rhino which is red. Red is one of a few possible colors (a/an) rhino can have. There is only a limited range of possible colors.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-rhino,https://app.prolific.co/submissions/complete?cc=7EE10382
b6610ec0-651d-11ea-824c-acde48001122,You can find (a/an) fir which is red. Red is one of many possible colors (a/an) fir can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-fir,https://app.prolific.co/submissions/complete?cc=7EE10382
b66c3c32-651d-11ea-824c-acde48001122,"Usually, (a/an) sand is not red, but there could be a highly unusual situation in which (a/an) sand is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-sand,https://app.prolific.co/submissions/complete?cc=7EE10382
