81d6f789-b0e0-41d6-b82c-185ec1c24976,I know that all or most acrylic(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_usual-roll-acrylic
1816b4b1-ee7a-4690-bf7b-11be6219d02b,"I could say ``(a/an) acrylic rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,creative-roll-acrylic
0d1af9b2-be6c-46af-9540-ee2460b47e98,``Acrylic'' is one of the first things which come to mind when I hear ``roll''. ,``Baby'' is one of the first things which come to mind when I hear ``cry''. ,``Teacher'' is one of the first things which come to mind when I hear ``walk''. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_property-roll-acrylic
3e1fb951-aae1-4740-8d93-174ec758f56d,You can find (a/an) acrylic which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) fork which can stab/be used for stabing. This is not what it usually does or is used for. ,You can find (a/an) brush which can fly/be used for flying. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_unusual-roll-acrylic
77e2f33e-4bf5-404f-8518-126db7b11119,``Roll'' is one for the first things which come to mind when I hear ``acrylic''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_concept-roll-acrylic
7bc655d8-3f8e-485b-a858-0d6e06509637,I think it is impossible for (a/an) acrylic to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,impossible-roll-acrylic
be50b43c-651d-11ea-824c-acde48001122,"Usually, (a/an) acrylic cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) acrylic can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,unusual-roll-acrylic
3630a833-27be-442b-ba26-e7ef9a8becfc,I know that (a/an) acrylic can roll/be used for rolling as most or all other things similar to (a/an) acrylic roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,implied_category-roll-acrylic
4491b205-6cb1-4090-8319-c9641a930e93,You can find (a/an) acrylic which can roll/be used for rolling. This distinguishes a certain type of acrylic from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,variability_limited-roll-acrylic
5e56c5e1-c709-4da1-8e26-aa503f011044,"I think there is a acrylic  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,rare-roll-acrylic
73299a5b-9091-422e-9989-6586b4769b17,"I think (a/an) avocado can be red, but this is rare or uncommon","I think (a/an) rose can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,rare-red-avocado
368ac470-ed9c-4f3d-a39f-5a6d5e78a7fd,"Usually, (a/an) avocado is not red, but there could be a highly unusual situation in which (a/an) avocado is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,unusual-red-avocado
ef3c51d2-aad0-45d8-b271-9b7ad03d333e,I think it is impossible for (a/an) avocado to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,impossible-red-avocado
d6d3183e-fd46-4484-8588-3cae8b7cc854,"I could say ``(a/an) avocado is red"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,creative-red-avocado
a8c1cb08-2aaf-4385-977c-a5468ad21b68,I think it is impossible for (a/an) pancake to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) flame to be orange.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,impossible-round-pancake
4ac4c1d1-82f0-4c8b-983f-c059dd115593,"I could say ``(a/an) pancake is round"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,creative-round-pancake
26536170-8f0e-475e-9018-9cd8e8e33592,"Usually, (a/an) pancake is not round, but there could be a highly unusual situation in which (a/an) pancake is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,unusual-round-pancake
741194d7-230c-4f6b-aca4-df1470026d25,You can find (a/an) pancake which is round. Round is one of many possible shapes (a/an) pancake can have. The range of shapes is almost unlimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost unlimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost unlimited. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,variability_open-round-pancake
386f69c0-14e2-4dae-b823-7a50d5ebcbb2,You can find (a/an) pancake which is round. Round is one of a few possible shapes (a/an) pancake can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,variability_limited-round-pancake
012ddb5e-17bb-4564-ac91-9bcf61cd9671,"I think (a/an) pancake can be round, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,rare-round-pancake
c00608c3-f49a-448b-a2a4-810f62f6c073,I know that (a/an) pancake is round as most or all other things similar to (a/an) pancake are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,implied_category-round-pancake
bf21579e-ae22-41a1-aadf-da405432a038,I know that being round is necessary for many things (a/an) pancake does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,affording_activity-round-pancake
d8b821d1-556d-4898-a61e-c92c8c662bf3,``Pancake'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_property-round-pancake
738a7fbb-383e-4e1d-a63a-9c27095dc86c,``Round'' is one for the first things which come to mind when I hear ``pancake''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_concept-round-pancake
be50f118-651d-11ea-824c-acde48001122,"Usually, (a/an) crankshaft cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) crankshaft can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,unusual-roll-crankshaft
29c91630-b5f2-47dc-9183-d0b78371cc06,``Roll'' is one for the first things which come to mind when I hear ``crankshaft''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_concept-roll-crankshaft
93849c97-a9a0-49cc-af20-6c78d948621a,"I think there is a crankshaft  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,rare-roll-crankshaft
45ac81d6-473a-4b4b-b040-f9ca5452e3d5,I think it is impossible for (a/an) crankshaft to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,impossible-roll-crankshaft
6df34afb-229a-4dc0-9401-533c30cd4fe0,You can find (a/an) crankshaft which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_unusual-roll-crankshaft
2043d488-81c5-4e11-965e-d985db6d0358,I know that all or most crankshaft(s) roll regularly or are used for rolling regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most person(s) crawl regularly or are used for crawling regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_usual-roll-crankshaft
d2d3a3fa-7d43-490b-b7d3-c0e2a7781454,"I could say ``(a/an) crankshaft rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,creative-roll-crankshaft
ccf79dfd-df2f-4a0d-9b36-aa1de6121800,I know that (a/an) crankshaft can roll/be used for rolling as most or all other things similar to (a/an) crankshaft roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,implied_category-roll-crankshaft
855f8455-ae51-471d-b5a5-93ad62958cd0,``Crankshaft'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_property-roll-crankshaft
c2eaa192-f1ff-44c8-ba76-e4352539b204,You can find (a/an) crankshaft which can roll/be used for rolling. This distinguishes a certain type of crankshaft from others. ,You can find (a/an) knife which can cook/be used for cooking. This distinguishes a certain type of knife from others. ,You can find (a/an) book which can read/be used for reading. This distinguishes a certain type of book from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,variability_limited-roll-crankshaft
ac1f83f3-5920-4a74-94d7-ab030dda8b4c,"Usually, (a/an) fear is not red, but there could be a highly unusual situation in which (a/an) fear is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,unusual-red-fear
fb1e94ac-bfd8-4912-9925-83bfd57e3aa1,"I could say ``(a/an) fear is red"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,creative-red-fear
c2228f43-4633-4581-bd1a-faaf5804cbf4,I think it is impossible for (a/an) fear to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,impossible-red-fear
99e20443-7a9d-41c3-9647-b9346b31575f,"I think (a/an) fear can be red, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,rare-red-fear
f0f53096-104d-4d52-aa27-e32ccfef946c,You can find (a/an) ski which can roll/be used for rolling. This distinguishes a certain type of ski from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,variability_limited-roll-ski
b227be88-1af4-402b-9acc-a419334637df,I know that (a/an) ski can roll/be used for rolling as most or all other things similar to (a/an) ski roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,implied_category-roll-ski
b848fd31-f694-47af-9ba3-d792cddf44ff,``Roll'' is one for the first things which come to mind when I hear ``ski''.,``Poke'' is one for the first things which come to mind when I hear ``needle''.,``Cut'' is one for the first things which come to mind when I hear ``brush''.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_concept-roll-ski
8d308272-5ae7-4180-8ac5-1db99799072b,I know that all or most ski(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_usual-roll-ski
14c26d35-9ef1-46a3-840a-fffc36cb995f,"I think there is a ski  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a car  which can swim/be used for swiming, but this is rare or uncommon.","I think there is a rock  which can swim/be used for swiming, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,rare-roll-ski
f980a8f7-9114-4891-bf1b-8802611b7c1c,``Ski'' is one of the first things which come to mind when I hear ``roll''. ,``Baby'' is one of the first things which come to mind when I hear ``cry''. ,``Teacher'' is one of the first things which come to mind when I hear ``walk''. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,typical_of_property-roll-ski
82f76dcb-9147-4d92-98c2-b98d1ca5539b,You can find (a/an) ski which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_unusual-roll-ski
be6dc036-651d-11ea-824c-acde48001122,"Usually, (a/an) ski cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) ski can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,unusual-roll-ski
0e14b8d0-d69c-43c8-8ffd-09306e33cf44,"I could say ``(a/an) ski rolls/is used for rolling"", but I would most certainly not mean it literally.","I could say ``(a/an) idea grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) person glows/is used for glowing"", but I would most certainly not mean it literally.
I could say ``(a/an) thought burns/is used for burning"", but I would most certainly not mean it literally.","I could say ``(a/an) plant grows/is used for growing"", but I would most certainly not mean it literally.
I could say ``(a/an) situation smiles/is used for smileing"", but I would most certainly not mean it literally.
I could say ``(a/an) candle burns/is used for burning"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,creative-roll-ski
2313941d-78cc-4987-a6e4-8060e3b92c18,I think it is impossible for (a/an) ski to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,impossible-roll-ski
178a0923-2033-4046-9473-42e237bdad43,I think it is impossible for (a/an) washer to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,impossible-roll-washer
c2b505c3-d142-4dd2-a277-c5e896f25249,You can find (a/an) washer which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,afforded_unusual-roll-washer
7673fb7d-cf57-4a74-bcc3-3b5353be56ea,"Usually, (a/an) washer cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) washer can roll.","Usually, (a/an) hot_dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot_dog can walk.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,https://app.prolific.co/submissions/complete?cc=3DB4F453,unusual-roll-washer
