b366e9ff-31b9-462e-a22b-f285e4411cec,``Red'' is one for the first things which come to mind when I hear ``robin''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_concept-red-robin
47f4e732-1f12-4355-a567-c3a915856f58,You can find (a/an) robin which is red. Red is one of a few possible colors (a/an) robin can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_limited-red-robin
0b649f39-8356-419f-b024-cd2e6133f4bb,You can find (a/an) robin which is red. Red is one of many possible colors (a/an) robin can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,variability_open-red-robin
94b4e1ef-f57e-4b31-afed-18f2d85bbbb2,"I could say (a/an) robin is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,creative-red-robin
148c9b9e-ff20-4091-ba77-3ee6f1786aa5,I know that being red is necessary for many things (a/an) robin does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being colorful is necessary for many things (a/an) dress does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,affording_activity-red-robin
ac3d0d14-c675-4740-b2f9-7b91b89b6a26,"Usually, (a/an) robin is not red, but there could be a highly unusual situation in which (a/an) robin is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,unusual-red-robin
28379eb5-5efa-486d-b385-7a23b4c09102,"I think (a/an) robin can be red, but this is rare or uncommon","I think (a/an) snail can be purple, but this is rare or uncommon","I think (a/an) bell_pepper can be green, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=396189EF,rare-red-robin
343c98cf-1a61-4542-beba-93536cd406f4,``Robin'' is one of the first things which come to mind when I hear ``red''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,typical_of_property-red-robin
da47474b-2134-4413-8cb8-a4e9024d9da2,I know that (a/an) robin is red as most or all other things similar to (a/an) robin are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,implied_category-red-robin
c012c52c-e724-452b-a697-9fbaa3aec245,I think it is impossible for (a/an) robin to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,impossible-red-robin
c74c3d4a-509e-447c-b808-11d21a8eea35,I know that (a/an) calliper can roll/be used for rolling as most or all other things similar to (a/an) calliper roll. ,I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. ,I know that (a/an) goldfish can speak/be used for speaking as most or all other things similar to (a/an) goldfish speak. ,3,1,https://app.prolific.co/submissions/complete?cc=396189EF,implied_category-roll-calliper
