b692616e-651d-11ea-824c-acde48001122,``Bulgur'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
b8535044-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``bread''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-bread,https://app.prolific.co/submissions/complete?cc=E80460E3
b83c6cbc-651d-11ea-824c-acde48001122,You can find (a/an) vinaigrette which is round. Round is one of a few possible shapes (a/an) vinaigrette can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-vinaigrette,https://app.prolific.co/submissions/complete?cc=E80460E3
b68fafd2-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) peanut to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-peanut,https://app.prolific.co/submissions/complete?cc=E80460E3
b68fb0d6-651d-11ea-824c-acde48001122,"I could say (a/an) peanut is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-peanut,https://app.prolific.co/submissions/complete?cc=E80460E3
b68e05a6-651d-11ea-824c-acde48001122,"I think (a/an) cereal can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-cereal,https://app.prolific.co/submissions/complete?cc=E80460E3
b68fa852-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) peanut does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-peanut,https://app.prolific.co/submissions/complete?cc=E80460E3
b6926740-651d-11ea-824c-acde48001122,You can find (a/an) bulgur which is red. Red is one of many possible colors (a/an) bulgur can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
b68faed8-651d-11ea-824c-acde48001122,"Usually, (a/an) peanut is not red, but there could be a highly unusual situation in which (a/an) peanut is red.","Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-peanut,https://app.prolific.co/submissions/complete?cc=E80460E3
b69262e0-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) bulgur does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-bulgur,https://app.prolific.co/submissions/complete?cc=E80460E3
be2b9ada-651d-11ea-824c-acde48001122,"Usually, (a/an) saw cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) saw can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,unusual-roll-saw,https://app.prolific.co/submissions/complete?cc=E80460E3
