df42e747-e715-40d3-9ec5-8fb2d4aad270,I think it is impossible for (a/an) water to be red.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,impossible-red-water
066b74fc-8fbe-48a3-bdde-1c615fee7227,You can find (a/an) water which is red. Red is one of a few possible colors (a/an) water can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_limited-red-water
69491d29-9843-4eb2-971e-48f86dfbdd72,"I think (a/an) water can be red, but this is rare or uncommon","I think (a/an) tomato can be yellow, but this is rare or uncommon","I think (a/an) grizzly bear can be grey, but this is rare or uncommon",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,rare-red-water
20c0ee8c-412f-40c2-9021-df543b68daf2,"Usually, (a/an) water is not red, but there could be a highly unusual situation in which (a/an) water is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,unusual-red-water
52e08f0e-01f1-43ca-8fb7-31faf4d8390d,``Water'' is one of the first things which come to mind when I hear ``red''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_property-red-water
fe520f8d-c4ee-4e83-b1dc-ca5439c9f208,``Red'' is one for the first things which come to mind when I hear ``water''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_concept-red-water
bd5be6b3-7358-41bf-9946-84541cd4c00f,"I could say ``(a/an) water is red"", but I would most certainly not mean it literally.","I could say ``(a/an) anger is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) person is cold"", but I would most certainly not mean it literally.
I could say ``(a/an) story is dark"", but I would most certainly not mean it literally.","I could say ``(a/an) fire is hot"", but I would most certainly not mean it literally.
I could say ``(a/an) stone is heavy"", but I would most certainly not mean it literally.
I could say ``(a/an) argument is liquid"", but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,creative-red-water
91b0a181-042b-4326-b21d-4bde5f06a05f,You can find (a/an) water which is red. Red is one of many possible colors (a/an) water can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,variability_open-red-water
40eeb0cb-a4c8-4791-8ec4-757828ac956a,I know that (a/an) water is red as most or all other things similar to (a/an) water are red. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,implied_category-red-water
51d0cabd-11a8-4a99-8a84-7ee89db1bb21,I know that being red is necessary for many things (a/an) water does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,affording_activity-red-water
d18541ba-ab63-4a50-8afc-71125d406e33,``Brick'' is one of the first things which come to mind when I hear ``roll''. ,``Cat'' is one of the first things which come to mind when I hear ``purr''. ,``Dog'' is one of the first things which come to mind when I hear ``run''. ,3,1,https://app.prolific.co/submissions/complete?cc=50E7F156,typical_of_property-roll-brick
