0cb1a46e-a203-41bd-8f61-42ed664f8a6b,``Bumper'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_property-roll-bumper
659a3db0-ec73-4b79-9e29-1965a604a3b4,"I think there is a bumper  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.","I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,rare-roll-bumper
b2554995-e8a8-46ec-bc7f-a955b153e5ac,You can find (a/an) bumper which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) fork which can stab/be used for stabing. This is not what it usually does or is used for. ,You can find (a/an) brush which can fly/be used for flying. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,afforded_unusual-roll-bumper
ac3956bd-9271-4d4d-9d26-01c03195fd0d,You can find (a/an) bumper which can roll/be used for rolling. This distinguishes a certain type of bumper from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,variability_limited-roll-bumper
6ec9fc20-aac5-4918-a0d4-b5be1b406656,I know that (a/an) bumper can roll/be used for rolling as most or all other things similar to (a/an) bumper roll. ,I know that (a/an) dog can breathe/be used for breatheing as most or all other things similar to (a/an) dog breathe. ,I know that (a/an) rabbit can swim/be used for swimming as most or all other things similar to (a/an) rabbit swim. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,implied_category-roll-bumper
bbebbbe9-0867-479a-8c95-d243647ce9d0,I think it is impossible for (a/an) bumper to roll/be used for rolling.,I think it is impossible for (a/an) fish to speak/be used for speaking.,I think it is impossible for (a/an) metal to melt/be used for melting.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,impossible-roll-bumper
ded1dc3a-c5e9-4db5-903a-067b316810f3,I know that all or most bumper(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most baby(s) walk regularly or are used for walking regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,afforded_usual-roll-bumper
9515c40f-f11f-42e0-9eb0-59e4d0b2c75b,"I could say (a/an) bumper rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,creative-roll-bumper
37e5d284-3c05-43b9-909b-ca1536258ddd,``Roll'' is one for the first things which come to mind when I hear ``bumper''.,``Cut'' is one for the first things which come to mind when I hear ``knife''.,``Float'' is one for the first things which come to mind when I hear ``needle''.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_concept-roll-bumper
be4e63bc-651d-11ea-824c-acde48001122,"Usually, (a/an) bumper cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) bumper can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,unusual-roll-bumper
06f5e72d-fe72-4078-be09-cec901c0e907,``Round'' is one for the first things which come to mind when I hear ``marble''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,typical_of_concept-round-marble
5fc33464-a4d1-4b78-a084-7e17bd29f026,"Usually, (a/an) marble is not round, but there could be a highly unusual situation in which (a/an) marble is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,https://app.prolific.co/submissions/complete?cc=186F94D5,unusual-round-marble
