496e4790-24e6-4b30-8c20-b8960e6a3c32,``Sprocket'' is one of the first things which come to mind when I hear ``roll''. ,``Knife'' is one of the first things which come to mind when I hear ``cut''. ,``Cat'' is one of the first things which come to mind when I hear ``kill''. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_property-roll-sprocket
69a2423b-6361-4e87-8b78-7a313f84633d,I think it is impossible for (a/an) sprocket to roll/be used for rolling.,I think it is impossible for (a/an) worm to walk/be used for walking.,I think it is impossible for (a/an) child to speak/be used for speaking.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,impossible-roll-sprocket
54b543af-1e3a-48a2-8187-99153510eba8,I know that (a/an) sprocket can roll/be used for rolling as most or all other things similar to (a/an) sprocket roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,implied_category-roll-sprocket
b7ee534a-cc35-4aa2-bf60-7c965e6f6329,You can find (a/an) sprocket which can roll/be used for rolling. This is not what it usually does or is used for. ,You can find (a/an) knitting_needle which can pierce/be used for pierceing. This is not what it usually does or is used for. ,You can find (a/an) dog which can bark/be used for barking. This is not what it usually does or is used for. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,afforded_unusual-roll-sprocket
1de4ed28-bc53-464a-baea-8632744d6fce,I know that all or most sprocket(s) roll regularly or are used for rolling regularly. ,I know that all or most student(s) study regularly or are used for studying regularly. ,I know that all or most writer(s) act regularly or are used for acting regularly. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,afforded_usual-roll-sprocket
ce2f3beb-817e-4b15-8eb9-9c9294ef2720,"I think there is a sprocket  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a grandmother  which can party/be used for partying, but this is rare or uncommon.","I think there is a student  which can party/be used for partying, but this is rare or uncommon.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,rare-roll-sprocket
ad03a012-8f57-4378-9e60-35fd8ad6ddc2,You can find (a/an) sprocket which can roll/be used for rolling. This distinguishes a certain type of sprocket from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breatheing. This distinguishes a certain type of dog from others. ,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,variability_limited-roll-sprocket
be6d8332-651d-11ea-824c-acde48001122,"Usually, (a/an) sprocket cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) sprocket can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,unusual-roll-sprocket
baca417f-f79f-4f7e-bf60-bbab3f907767,"I could say (a/an) sprocket rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,creative-roll-sprocket
1e110736-775b-49be-ad2f-9f87cfab9c3b,``Roll'' is one for the first things which come to mind when I hear ``sprocket''.,``Paint'' is one for the first things which come to mind when I hear ``brush''.,``Move'' is one for the first things which come to mind when I hear ``apple''.,3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,typical_of_concept-roll-sprocket
2a118050-f39b-46ca-9250-bc7aede08365,"Usually, (a/an) vegetable is not red, but there could be a highly unusual situation in which (a/an) vegetable is red.","Usually, (a/an) dog is not green, but there could be a highly unusual situation in which (a/an) dog is green.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,https://app.prolific.co/submissions/complete?cc=9A933D77,unusual-red-vegetable
