b8700716-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) pomade does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
b6840b6e-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``sauce''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-sauce,https://app.prolific.co/submissions/complete?cc=1615F84A
b8748976-651d-11ea-824c-acde48001122,You can find (a/an) scone which is round. Round is one of a few possible shapes (a/an) scone can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-scone,https://app.prolific.co/submissions/complete?cc=1615F84A
b8556b22-651d-11ea-824c-acde48001122,"I could say (a/an) sundae is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-sundae,https://app.prolific.co/submissions/complete?cc=1615F84A
b8737a72-651d-11ea-824c-acde48001122,You can find (a/an) ketchup which is round. Round is one of many possible shapes (a/an) ketchup can have. The range of shapes is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-ketchup,https://app.prolific.co/submissions/complete?cc=1615F84A
b8556550-651d-11ea-824c-acde48001122,"I think (a/an) sundae can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-sundae,https://app.prolific.co/submissions/complete?cc=1615F84A
b670d10c-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``anger''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Salty'' is one for the first things which come to mind when I hear ``beer''.,3,1,typical_of_concept-red-anger,https://app.prolific.co/submissions/complete?cc=1615F84A
b8737676-651d-11ea-824c-acde48001122,I know that (a/an) ketchup is round as most or all other things similar to (a/an) ketchup are round. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-round-ketchup,https://app.prolific.co/submissions/complete?cc=1615F84A
b68570d0-651d-11ea-824c-acde48001122,"I think (a/an) wheat can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-red-wheat,https://app.prolific.co/submissions/complete?cc=1615F84A
b670326a-651d-11ea-824c-acde48001122,You can find (a/an) tomato which is red. Red is one of many possible colors (a/an) tomato can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-tomato,https://app.prolific.co/submissions/complete?cc=1615F84A
b8700450-651d-11ea-824c-acde48001122,``Pomade'' is one of the first things which come to mind when I hear ``round''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-pomade,https://app.prolific.co/submissions/complete?cc=1615F84A
