b6651c5e-651d-11ea-824c-acde48001122,I know that (a/an) glass is red as most or all other things similar to (a/an) glass are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-glass,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6635fea-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) lime to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-red-lime,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6635ebe-651d-11ea-824c-acde48001122,"Usually, (a/an) lime is not red, but there could be a highly unusual situation in which (a/an) lime is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-lime,https://app.prolific.co/submissions/complete?cc=2C192FC0
b87d4af2-651d-11ea-824c-acde48001122,"Usually, (a/an) coleslaw is not round, but there could be a highly unusual situation in which (a/an) coleslaw is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-round-coleslaw,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8846710-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``pie''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-pie,https://app.prolific.co/submissions/complete?cc=2C192FC0
b6635838-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) lime does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-lime,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67e00a2-651d-11ea-824c-acde48001122,You can find (a/an) nectarine which is red. Red is one of many possible colors (a/an) nectarine can have. The range of colors is almost ulimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-red-nectarine,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8847282-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) pie to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) book to be light.,3,1,impossible-round-pie,https://app.prolific.co/submissions/complete?cc=2C192FC0
b8846cec-651d-11ea-824c-acde48001122,You can find (a/an) pie which is round. Round is one of many possible shapes (a/an) pie can have. The range of shapes is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) canary which is white. White is one of many possible colors (a/an) canary can have. The range of colors is almost ulimited. ,3,1,variability_open-round-pie,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67e02b4-651d-11ea-824c-acde48001122,"Usually, (a/an) nectarine is not red, but there could be a highly unusual situation in which (a/an) nectarine is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-nectarine,https://app.prolific.co/submissions/complete?cc=2C192FC0
b67badc0-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``herring''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-herring,https://app.prolific.co/submissions/complete?cc=2C192FC0
b87d475a-651d-11ea-824c-acde48001122,You can find (a/an) coleslaw which is round. Round is one of many possible shapes (a/an) coleslaw can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-coleslaw,https://app.prolific.co/submissions/complete?cc=2C192FC0
b663595a-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``lime''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-lime,https://app.prolific.co/submissions/complete?cc=2C192FC0
