quid	listNr	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
962157c2-6d51-4669-a420-89ef666bee5c	1	``Warm'' is one for the first things which come to mind when I hear ``miniskirt' because warm is one of the typical temperatures of (a/an) miniskirt'.	``Bitter'' is one for the first things which come to mind when I hear ``coffee' because bitter is one of the typical tastes of (a/an) coffee'.	``Salty'' is one for the first things which come to mind when I hear ``beer' because salty is one of the typical tastes of (a/an) beer'.	5	1	https://piasommerauer.github.io/annotation	typical_of_concept-warm-miniskirt	Agree or disagree (run5-experiment3-batchTEST-3-3)
e5fccc33-de84-4ad5-a902-b45d425ba795	1	I know that being warm is necessary for many things (a/an) miniskirt does or is used for. 	I know that being pointy is necessary for many things (a/an) needle does or is used for. 	I know that being white is necessary for many things (a/an) t-shirt does or is used for. 	5	1	https://piasommerauer.github.io/annotation	affording_activity-warm-miniskirt	Agree or disagree (run5-experiment3-batchTEST-3-3)
38f757f9-3ded-4530-a390-75d56056af5b	1	You can find (a/an) miniskirt which is warm. (A/an) miniskirt is usually either warm or not warm. It cannot be a bit more or less warm.	You can find (a/an) substance which is liquid. (A/an) substance is usually either liquid or not liquid. It cannot be a bit more or less liquid.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp or not sharp. It cannot be a bit more or less sharp.	5	1	https://piasommerauer.github.io/annotation	variability_limited-warm-miniskirt	Agree or disagree (run5-experiment3-batchTEST-3-3)
714dda28-43f6-4133-b7f8-3e3af7af1568	1	I think (a/an) miniskirt can be warm, but this is rare or uncommon.	I think (a/an) chocolate can be salty, but this is rare or uncommon.	I think (a/an) cherry can be salty, but this is rare or uncommon.	5	1	https://piasommerauer.github.io/annotation	rare-warm-miniskirt	Agree or disagree (run5-experiment3-batchTEST-3-3)
30daba89-342c-41b4-b1d5-aa9bb0147c6c	1	I think it is impossible for (a/an) miniskirt to be warm.	I think it is impossible for (a/an) flame to be frozen.	I think it is impossible for (a/an) book to be light.	5	1	https://piasommerauer.github.io/annotation	impossible-warm-miniskirt	Agree or disagree (run5-experiment3-batchTEST-3-3)
0cfa46e6-a38c-4881-b093-770a192e8d3e	1	``Miniskirt'' is one of the first things which come to mind when I hear ``warm' because (a/an) miniskirt is a typical example of things which are warm'. 	``Mouse'' is one of the first things which come to mind when I hear ``small' because (a/an) mouse is a typical example of things which are small'. 	``Dog'' is one of the first things which come to mind when I hear ``small' because (a/an) dog is a typical example of things which are small'. 	5	1	https://piasommerauer.github.io/annotation	typical_of_property-warm-miniskirt	Agree or disagree (run5-experiment3-batchTEST-3-3)
fcf1358c-2e04-4271-b54d-6cb0f8d2fb3b	1	I could say (a/an) miniskirt is warm, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	5	1	https://piasommerauer.github.io/annotation	creative-warm-miniskirt	Agree or disagree (run5-experiment3-batchTEST-3-3)
afbbd7ec-6bc9-4850-8fff-1bb0fca003d0	1	Usually, (a/an) miniskirt is not warm, but there could be a highly unusual situation in which (a/an) miniskirt is warm.	Usually, (a/an) pony is not blue, but there could be a highly unusual situation in which (a/an) pony is blue.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.	5	1	https://piasommerauer.github.io/annotation	unusual-warm-miniskirt	Agree or disagree (run5-experiment3-batchTEST-3-3)
f625fb19-a5d1-44ea-bfdc-a84640b5c892	1	I know that (a/an) miniskirt is warm as most or all other things similar to (a/an) miniskirt are warm. 	I know that (a/an) merlot is alcoholic as most or all other things similar to (a/an) merlot are alcoholic. 	I know that (a/an) lemonade is alcoholic as most or all other things similar to (a/an) lemonade are alcoholic. 	5	1	https://piasommerauer.github.io/annotation	implied_category-warm-miniskirt	Agree or disagree (run5-experiment3-batchTEST-3-3)
7fa4d37b-6d30-4bc1-bb6f-a13b9c8217d8	1	You can find (a/an) miniskirt which is warm. (A/an) miniskirt is usually either warm, a bit more or less warm or the opposite of warm.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp, a bit more or less sharp or the opposite of sharp.	You can find (a/an) substance which is solid. (A/an) substance is usually either solid, a bit more or less solid or the opposite of solid.	5	1	https://piasommerauer.github.io/annotation	variability_open-warm-miniskirt	Agree or disagree (run5-experiment3-batchTEST-3-3)
