quid	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
3d46d73c-70e8-41f5-909c-6208765f9a94	Usually, (a/an) tandoor is not hot, but there could be a highly unusual situation in which (a/an) tandoor is hot.	Usually, (a/an) table is not furry, but there could be a highly unusual situation in which (a/an) table is furry.	Usually, (a/an) cat is not furry, but there could be a highly unusual situation in which (a/an) cat is furry.	4	1	https://app.prolific.co/submissions/complete?cc=48D01D27	unusual-hot-tandoor	Agree or disagree (run4-experiment2-batch103-70-70)
a1bff216-1ea0-465e-98cf-18a1294f3a46	I think it is impossible for (a/an) tandoor to be hot.	I think it is impossible for (a/an) steam to be solid.	I think it is impossible for (a/an) flame to be orange.	4	1	https://app.prolific.co/submissions/complete?cc=48D01D27	impossible-hot-tandoor	Agree or disagree (run4-experiment2-batch103-70-70)
c520aec3-7076-4224-ba49-b56e605c0c66	I know that being hot is necessary for many things (a/an) tandoor does or is used for. 	I know that being sharp is necessary for many things (a/an) razor does or is used for. 	I know that being colorful is necessary for many things (a/an) dress does or is used for. 	4	1	https://app.prolific.co/submissions/complete?cc=48D01D27	affording_activity-hot-tandoor	Agree or disagree (run4-experiment2-batch103-70-70)
249534bd-2cd8-4e5c-8752-0214254228f8	You can find (a/an) tandoor which is hot. (A/an) tandoor is usually either hot, a bit more or less hot or the opposite of hot.	You can find (a/an) chocolate which is bitter. (A/an) chocolate is usually either bitter, a bit more or less bitter or the opposite of bitter.	You can find (a/an) diamond which is soft. (A/an) diamond is usually either soft, a bit more or less soft or the opposite of soft.	4	1	https://app.prolific.co/submissions/complete?cc=48D01D27	variability_open-hot-tandoor	Agree or disagree (run4-experiment2-batch103-70-70)
e599f824-6a78-42ca-acf9-9100e9ba237b	You can find (a/an) tandoor which is hot. (A/an) tandoor is usually either hot or not hot. It cannot be a bit more or less hot.	You can find (a/an) substance which is solid. (A/an) substance is usually either solid or not solid. It cannot be a bit more or less solid.	You can find (a/an) cushion which is soft. (A/an) cushion is usually either soft or not soft. It cannot be a bit more or less soft.	4	1	https://app.prolific.co/submissions/complete?cc=48D01D27	variability_limited-hot-tandoor	Agree or disagree (run4-experiment2-batch103-70-70)
a053a6e5-35ce-4d73-bac1-dea679d8d8f5	``Hot'' is one for the first things which come to mind when I hear ``tandoor' because hot is one of the typical temperatures of (a/an) tandoor'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical weights of (a/an) rock'.	``Green'' is one for the first things which come to mind when I hear ``raspberry' because green is one of the typical colors of (a/an) raspberry'.	4	1	https://app.prolific.co/submissions/complete?cc=48D01D27	typical_of_concept-hot-tandoor	Agree or disagree (run4-experiment2-batch103-70-70)
d2b5dada-b6f0-4d5d-8263-20958d1a9a48	I think (a/an) tandoor can be hot, but this is rare or uncommon.	I think (a/an) chocolate can be salty, but this is rare or uncommon.	I think (a/an) cherry can be salty, but this is rare or uncommon.	4	1	https://app.prolific.co/submissions/complete?cc=48D01D27	rare-hot-tandoor	Agree or disagree (run4-experiment2-batch103-70-70)
36adc0bc-d8fb-4f9e-a735-1d60356c1d76	``Tandoor'' is one of the first things which come to mind when I hear ``hot' because (a/an) tandoor is a typical example of things which are hot'. 	``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. 	``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. 	4	1	https://app.prolific.co/submissions/complete?cc=48D01D27	typical_of_property-hot-tandoor	Agree or disagree (run4-experiment2-batch103-70-70)
14d10ccf-a1bc-4e6f-87b2-c767826fae35	I could say (a/an) tandoor is hot, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	4	1	https://app.prolific.co/submissions/complete?cc=48D01D27	creative-hot-tandoor	Agree or disagree (run4-experiment2-batch103-70-70)
c4be0508-79cd-4745-a908-418575a87b6d	I know that (a/an) tandoor is hot as most or all other things similar to (a/an) tandoor are hot. 	I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. 	I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. 	4	1	https://app.prolific.co/submissions/complete?cc=48D01D27	implied_category-hot-tandoor	Agree or disagree (run4-experiment2-batch103-70-70)
