quid	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
1f7428e0-6866-4c7e-8975-b6b68a02778f	I think there is a van  which can fly/be used for flying, but this is rare or uncommon.	I think there is a car  which can swim/be used for swimming, but this is rare or uncommon.	I think there is a rock  which can swim/be used for swimming, but this is rare or uncommon.	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	rare-fly-van	Agree or disagree (run4-experiment2-batch71-70-70)
a87ceb7b-4810-42ce-a4bd-3a2a33ad5e1b	All or most  van(s) can fly/be used for flying. This is not what they normally do or are used for. 	All or most  fork(s) can fight/be used for fighting. This is not what they normally do or are used for. 	All or most  brush(s) can fly/be used for flying. This is not what they normally do or are used for. 	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	afforded_unusual-fly-van	Agree or disagree (run4-experiment2-batch71-70-70)
5affc848-1828-4792-89c6-0049061e7cc6	I know that (a/an) van can fly/be used for flying as most or all other things similar to (a/an) van fly. 	I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. 	I know that (a/an) dog can bark/be used for barking as most or all other things similar to (a/an) dog bark. 	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	implied_category-fly-van	Agree or disagree (run4-experiment2-batch71-70-70)
fe4e25f6-044a-4298-88a6-22803b76427c	I know that all or most van(s) fly regularly or are used for flying regularly. 	I know that all or most candle(s) burn regularly or are used for burning regularly. 	I know that all or most T-shirt(s) wrap regularly or are used for wraping regularly. 	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	afforded_usual-fly-van	Agree or disagree (run4-experiment2-batch71-70-70)
ee72b705-ea84-41b7-948f-509cce159d10	You can find (a/an) van which can fly/be used for flying. This distinguishes a certain type of van from others. 	You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. 	You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. 	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	variability_limited-fly-van	Agree or disagree (run4-experiment2-batch71-70-70)
c884947e-87f4-49d0-b0d9-76c5037861bc	Usually, (a/an) van cannot fly/be used for flying, but there could be a highly unusual situation in which (a/an) van can fly.	Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.	Usually, (a/an) dog cannot bark/be used for barking, but there could be a highly unusual situation in which (a/an) dog can bark.	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	unusual-fly-van	Agree or disagree (run4-experiment2-batch71-70-70)
7d6d9263-55bf-4756-91fb-aa586acef33c	``Van'' is one of the first things which come to mind when I hear ``fly' because (a/an) van is a typical example of things which fly/are used for flying'. 	``Baby'' is one of the first things which come to mind when I hear ``cry' because (a/an) baby is a typical example of things which cry/are used for crying'. 	``Teacher'' is one of the first things which come to mind when I hear ``walk' because (a/an) teacher is a typical example of things which walk/are used for walking'. 	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	typical_of_property-fly-van	Agree or disagree (run4-experiment2-batch71-70-70)
aadb87ea-3441-4794-b0bb-333c24e2f085	``Fly'' is one for the first things which come to mind when I hear ``van' because flying is one of the typical movements of (a/an) van'.	``Poke'' is one for the first things which come to mind when I hear ``needle' because pokeing is one of the typical activities of (a/an) needle'.	``Cut'' is one for the first things which come to mind when I hear ``brush' because cuting is one of the typical activities of (a/an) brush'.	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	typical_of_concept-fly-van	Agree or disagree (run4-experiment2-batch71-70-70)
84028bc9-2e06-4492-9fdd-1c9c63e32e1f	I think it is impossible for (a/an) van to fly/be used for flying.	I think it is impossible for (a/an) rock to float/be used for floating.	I think it is impossible for (a/an) metal to melt/be used for melting.	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	impossible-fly-van	Agree or disagree (run4-experiment2-batch71-70-70)
2d8d25cf-0044-422e-8198-5f373f9901cf	I could say (a/an) van flies/is used for flying, but I would most certainly not mean it literally.	"I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally."	"I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally."	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	creative-fly-van	Agree or disagree (run4-experiment2-batch71-70-70)
d8eafad6-55ed-4362-ba60-aee448d2d02c	``Square'' is one for the first things which come to mind when I hear ``folder' because square is one of the typical shapes of (a/an) folder'.	``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper' because spicy is one of the typical tastes of (a/an) chili_pepper'.	``Sweet'' is one for the first things which come to mind when I hear ``spinach' because sweet is one of the typical tastes of (a/an) spinach'.	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	typical_of_concept-square-folder	Agree or disagree (run4-experiment2-batch71-70-70)
2fe5fe3f-5b9a-4eb2-b17d-2b0666facd29	You can find (a/an) folder which is square. Square is one of many possible shapes (a/an) folder usually has. The range of shapes is almost unlimited. 	You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt usually has. The range of colors is almost unlimited. 	You can find (a/an) pepper which is green. Green is one of many possible colors (a/an) pepper usually has. The range of colors is almost unlimited. 	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	variability_open-square-folder	Agree or disagree (run4-experiment2-batch71-70-70)
81d1d446-9417-40bb-97e2-b16490e82f7c	I think (a/an) folder can be square, but this is rare or uncommon.	I think (a/an) tomato can be yellow, but this is rare or uncommon.	I think (a/an) grizzly bear can be grey, but this is rare or uncommon.	4	1	https://app.prolific.co/submissions/complete?cc=889A127E	rare-square-folder	Agree or disagree (run4-experiment2-batch71-70-70)
