37a53bce-2fbf-4d80-a4c7-a979c9560cf7	I think it is impossible for (a/an) bogie to have wheels.	I think it is impossible for (a/an) cow to have fin.	I think it is impossible for (a/an) dolphin to have fin.	4	1	test	impossible-wheels-bogie
d3ee4a31-a879-4e55-b838-c1b6f33ea928	``Wheels'' is one for the first things which come to mind when I hear ``bogie' because wheels is one of the typical parts of (a/an) bogie'.	``Tail'' is one for the first things which come to mind when I hear ``dog' because tail is one of the typical parts of (a/an) dog'.	``Fruit_bowl'' is one for the first things which come to mind when I hear ``table' because fruit_bowl is one of the typical parts of (a/an) table'.	4	1	test	typical_of_concept-wheels-bogie
30a780e7-97af-437a-b372-c5e50c669038	I think (a/an) bogie can has wheels, but this is rare or uncommon.	I think (a/an) bicycle can has engine, but this is rare or uncommon.	I think (a/an) boat can has engine, but this is rare or uncommon.	4	1	test	rare-wheels-bogie
3755735a-f478-4044-892c-eed5b20771d6	Usually, (a/an) bogie does not have wheels, but there could be a highly unusual situation in which (a/an) bogie have wheels.	Usually, (a/an) apple does not have face, but there could be a highly unusual situation in which (a/an) apple have face.	Usually, (a/an) teddy_bear does not have face, but there could be a highly unusual situation in which (a/an) teddy_bear have face.	4	1	test	unusual-wheels-bogie
1059d342-b0ab-4a89-9b71-74a68be7a959	You can find (a/an) bogie which has (a/an) wheels.  (A/an) bogie usually either have an wheels or no wheels but this does not distinguish a certain type of bogie from others. 	You can find (a/an) dress which has (a/an) pockets.  (A/an) dress usually either have an pockets or no pockets but this does not distinguish a certain type of dress from others. 	You can find (a/an) knife which has (a/an) blade.  (A/an) knife usually either have an blade or no blade but this does not distinguish a certain type of knife from others. 	4	1	test	variability_open-wheels-bogie
ff031d15-3e76-4457-929c-2db66f0823fb	I know that having (a/an) wheels is necessary for many things (a/an) bogie does or is used for. 	I know that having (a/an) point is necessary for many things (a/an) needle does or is used for. 	I know that having (a/an) pocket is necessary for many things (a/an) dress does or is used for. 	4	1	test	affording_activity-wheels-bogie
442e05e9-b273-497d-a65a-3fe599cca7f9	You can find (a/an) bogie which has (a/an) wheels. (A/an) bogie usually either has an wheels or no wheels. This distinguishes a certain type of bogie from others.	You can find (a/an) boat which has (a/an) sail. (A/an) boat usually either has an sail or no sail. This distinguishes a certain type of boat from others.	You can find (a/an) car which has (a/an) seat. (A/an) car usually either has an seat or no seat. This distinguishes a certain type of car from others.	4	1	test	variability_limited-wheels-bogie
b59ce50e-7bcc-4627-8840-ea465a674fe8	I could say (a/an) bogie has wheels, but I would most certainly not mean it literally.	"I could say (a/an) book has voice, but I would most certainly not mean it literally.
I could say (a/an) idea has gold, but I would most certainly not mean it literally.
I could say (a/an) situation has exit, but I would most certainly not mean it literally."	"I could say (a/an) person has head, but I would most certainly not mean it literally.
I could say (a/an) bike has sattle, but I would most certainly not mean it literally.
I could say (a/an) argument has nose, but I would most certainly not mean it literally."	4	1	test	creative-wheels-bogie
0980f9ed-1b1c-46e2-a35c-ea1f3e85986a	I know that (a/an) bogie has (a/an) wheels as most or all other things similar to (a/an) bogie have (a/an) wheels. 	I know that (a/an) pony has (a/an) mane as most or all other things similar to (a/an) pony have (a/an) mane. 	I know that (a/an) pen has (a/an) ink as most or all other things similar to (a/an) pen have (a/an) ink. 	4	1	test	implied_category-wheels-bogie
945aa6df-b735-4418-b579-a3c5772a1708	``Bogie'' is one of the first things which come to mind when I hear ``wheels' because (a/an) bogie is a typical example of things which have (a/an) wheels'. 	``Lion'' is one of the first things which come to mind when I hear ``mane' because (a/an) lion is a typical example of things which have (a/an) mane'. 	``Unicycle'' is one of the first things which come to mind when I hear ``sattle' because (a/an) unicycle is a typical example of things which have (a/an) sattle'. 	4	1	test	typical_of_property-wheels-bogie
7ea2d119-01ce-4323-8464-8d8113d2d27b	I know that (a/an) blade is dangerous as most or all other things similar to (a/an) blade are dangerous. 	I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. 	I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. 	4	1	test	implied_category-dangerous-blade
