quid	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
68758489-4a48-4e0e-882b-744c7bd55586	You can find (a/an) torpedo which is dangerous. (A/an) torpedo is usually either dangerous, a bit more or less dangerous or the opposite of dangerous.	You can find (a/an) chocolate which is bitter. (A/an) chocolate is usually either bitter, a bit more or less bitter or the opposite of bitter.	You can find (a/an) diamond which is soft. (A/an) diamond is usually either soft, a bit more or less soft or the opposite of soft.	4	1	https://piasommerauer.github.io/	variability_open-dangerous-torpedo	Agree or disagree (run4-experiment2-batchTEST-10-10)
4f3f3f48-c733-4432-a8c2-b491a950eabf	You can find (a/an) torpedo which is dangerous. (A/an) torpedo is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.	You can find (a/an) substance which is solid. (A/an) substance is usually either solid or not solid. It cannot be a bit more or less solid.	You can find (a/an) cushion which is soft. (A/an) cushion is usually either soft or not soft. It cannot be a bit more or less soft.	4	1	https://piasommerauer.github.io/	variability_limited-dangerous-torpedo	Agree or disagree (run4-experiment2-batchTEST-10-10)
3dc3b6c7-b2bf-4f69-a622-31f518bfe17e	I think (a/an) torpedo can be dangerous, but this is rare or uncommon.	I think (a/an) pizza can be sweet, but this is rare or uncommon.	I think (a/an) pizza can be savory, but this is rare or uncommon.	4	1	https://piasommerauer.github.io/	rare-dangerous-torpedo	Agree or disagree (run4-experiment2-batchTEST-10-10)
cda98634-04ba-41bb-a244-c41a3e6d2a62	I think it is impossible for (a/an) torpedo to be dangerous.	I think it is impossible for (a/an) water to be dry.	I think it is impossible for (a/an) rose to be white.	4	1	https://piasommerauer.github.io/	impossible-dangerous-torpedo	Agree or disagree (run4-experiment2-batchTEST-10-10)
d4337ab3-5223-415d-8119-5ed4d82bab26	I know that (a/an) torpedo is dangerous as most or all other things similar to (a/an) torpedo are dangerous. 	I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. 	I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. 	4	1	https://piasommerauer.github.io/	implied_category-dangerous-torpedo	Agree or disagree (run4-experiment2-batchTEST-10-10)
66e640e9-e7e4-4198-8ffc-bf564bdcadc4	I could say (a/an) torpedo is dangerous, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	4	1	https://piasommerauer.github.io/	creative-dangerous-torpedo	Agree or disagree (run4-experiment2-batchTEST-10-10)
3f978830-6bc2-4845-82ea-7908afd689f1	``Torpedo'' is one of the first things which come to mind when I hear ``dangerous' because (a/an) torpedo is a typical example of things which are dangerous'. 	``Movie_star'' is one of the first things which come to mind when I hear ``famous' because (a/an) movie_star is a typical example of things which are famous'. 	``Mug'' is one of the first things which come to mind when I hear ``expensive' because (a/an) mug is a typical example of things which are expensive'. 	4	1	https://piasommerauer.github.io/	typical_of_property-dangerous-torpedo	Agree or disagree (run4-experiment2-batchTEST-10-10)
632cf4c7-8509-40d0-b05f-dda259878dbe	``Dangerous'' is one for the first things which come to mind when I hear ``torpedo' because dangerous is one of the typical evaluations of (a/an) torpedo'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical weights of (a/an) rock'.	``White'' is one for the first things which come to mind when I hear ``rasperry' because white is one of the typical colors of (a/an) rasperry'.	4	1	https://piasommerauer.github.io/	typical_of_concept-dangerous-torpedo	Agree or disagree (run4-experiment2-batchTEST-10-10)
60299f91-92d8-4972-b580-51e03bed460f	I know that being dangerous is necessary for many things (a/an) torpedo does or is used for. 	I know that being bright is necessary for many things (a/an) flashlight does or is used for. 	I know that being grey is necessary for many things (a/an) car does or is used for. 	4	1	https://piasommerauer.github.io/	affording_activity-dangerous-torpedo	Agree or disagree (run4-experiment2-batchTEST-10-10)
3bb36c42-7d15-4c0a-a294-9b347ff9301c	Usually, (a/an) torpedo is not dangerous, but there could be a highly unusual situation in which (a/an) torpedo is dangerous.	Usually, (a/an) table is not furry, but there could be a highly unusual situation in which (a/an) table is furry.	Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.	4	1	https://piasommerauer.github.io/	unusual-dangerous-torpedo	Agree or disagree (run4-experiment2-batchTEST-10-10)
check1	I am still paying attention to this task.	The earth is round. 	The earth is flat.	4	1	https://piasommerauer.github.io/	_check-_check1-_check1	Agree or disagree (run4-experiment2-batchTEST-10-10)
test2	"""Blue"" is one of the first things which come to mind when I hear ""beer"". "	"""Red"" is one of the first things which come to mind when I hear ""blood""."	"""Grey"" is one of the first things which come to mind when I hear ""fire""."	4	1	https://piasommerauer.github.io/	test_false-_test2-_test2	Agree or disagree (run4-experiment2-batchTEST-10-10)
