quid	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
927ad50f-b5b9-46bb-9eb8-484f2cb59a71	I know that (a/an) turnbuckle is made_of_wood as most or all other things similar to (a/an) turnbuckle are made_of_wood. 	I know that (a/an) plate is made_of_china as most or all other things similar to (a/an) plate are made_of_china. 	I know that (a/an) pen is made_of_paper as most or all other things similar to (a/an) pen are made_of_paper. 	4	1	https://app.prolific.co/submissions/complete?cc=7C9510E5	implied_category-made_of_wood-turnbuckle	Agree or disagree (run4-experiment2-batch166-70-70)
0d1a6e78-58e2-4f6a-bb5f-f2f0c6993d62	I could say (a/an) turnbuckle is made_of_wood, but I would most certainly not mean it literally.	"I could say (a/an) anger has hot, but I would most certainly not mean it literally.
I could say (a/an) person has cold, but I would most certainly not mean it literally.
I could say (a/an) story has dark, but I would most certainly not mean it literally."	"I could say (a/an) fire has hot, but I would most certainly not mean it literally.
I could say (a/an) stone has heavy, but I would most certainly not mean it literally.
I could say (a/an) argument has liquid, but I would most certainly not mean it literally."	4	1	https://app.prolific.co/submissions/complete?cc=7C9510E5	creative-made_of_wood-turnbuckle	Agree or disagree (run4-experiment2-batch166-70-70)
b5bfc79e-a185-4cc6-981f-ed444f3ec1c5	I think it is impossible for (a/an) turnbuckle to be made_of_wood.	I think it is impossible for (a/an) mirror to be made_of_cotton.	I think it is impossible for (a/an) dress to be made_of_plastic.	4	1	https://app.prolific.co/submissions/complete?cc=7C9510E5	impossible-made_of_wood-turnbuckle	Agree or disagree (run4-experiment2-batch166-70-70)
fa1d87f7-b193-46c1-a1d2-b3c5969855bb	Usually, (a/an) turnbuckle is not made_of_wood, but there could be a highly unusual situation in which (a/an) turnbuckle are made_of_wood.	Usually, (a/an) skirt is not made_of_paper, but there could be a highly unusual situation in which (a/an) skirt are made_of_paper.	Usually, (a/an) cup is not made_of_paper, but there could be a highly unusual situation in which (a/an) cup are made_of_paper.	4	1	https://app.prolific.co/submissions/complete?cc=7C9510E5	unusual-made_of_wood-turnbuckle	Agree or disagree (run4-experiment2-batch166-70-70)
910d3e9c-d3ef-410a-9dcb-8cde184dcda5	You can find (a/an) turnbuckle which is made_of_wood. Made_of_wood is one of a few possible materials (a/an) turnbuckle is usually made of. There is only a limited range of possible materials.	You can find (a/an) table which is made_of_glass. Made_of_glass is one of a few possible materials (a/an) table is usually made of. There is only a limited range of possible materials.	You can find (a/an) plate which is made_of_sugar. Made_of_sugar is one of a few possible materials (a/an) plate is usually made of. There is only a limited range of possible materials.	4	1	https://app.prolific.co/submissions/complete?cc=7C9510E5	variability_limited-made_of_wood-turnbuckle	Agree or disagree (run4-experiment2-batch166-70-70)
9d79a5e4-c9b3-41b1-99f0-bb6326437052	``Turnbuckle'' is one of the first things which come to mind when I hear ``made_of_wood' because (a/an) turnbuckle is a typical example of things which are (a/an) made_of_wood'. 	``Chain'' is one of the first things which come to mind when I hear ``made_of_metal' because (a/an) chain is a typical example of things which are (a/an) made_of_metal'. 	``Pen'' is one of the first things which come to mind when I hear ``made_of_plastic' because (a/an) pen is a typical example of things which are (a/an) made_of_plastic'. 	4	1	https://app.prolific.co/submissions/complete?cc=7C9510E5	typical_of_property-made_of_wood-turnbuckle	Agree or disagree (run4-experiment2-batch166-70-70)
3199bb9a-f03e-4efe-93d5-f8ee04851ede	``Made_of_wood'' is one for the first things which come to mind when I hear ``turnbuckle' because made_of_wood is one of the typical materials of (a/an) turnbuckle'.	``Made_of_china'' is one for the first things which come to mind when I hear ``mug' because made_of_china is one of the typical materials of (a/an) mug'.	``Made_of_metal'' is one for the first things which come to mind when I hear ``plate' because made_of_metal is one of the typical materials of (a/an) plate'.	4	1	https://app.prolific.co/submissions/complete?cc=7C9510E5	typical_of_concept-made_of_wood-turnbuckle	Agree or disagree (run4-experiment2-batch166-70-70)
ded578a0-f888-4e97-9bd9-8c0ad4e83bbb	I think (a/an) turnbuckle can is made_of_wood, but this is rare or uncommon.	I think (a/an) plate can is made_of_wood, but this is rare or uncommon.	I think (a/an) table can is made_of_wood, but this is rare or uncommon.	4	1	https://app.prolific.co/submissions/complete?cc=7C9510E5	rare-made_of_wood-turnbuckle	Agree or disagree (run4-experiment2-batch166-70-70)
6c578a55-7339-4246-8c11-9c045add7c84	You can find (a/an) turnbuckle which is made_of_wood. Made_of_wood is one of many possible materials (a/an) turnbuckle is usually made of. The range of materials is almost unlimited. 	You can find (a/an) bag which is made_of_cotton. Made_of_cotton is one of many possible fibers (a/an) bag is usually made of. The range of fibers is almost unlimited. 	You can find (a/an) razor_blade which is made_of_metal. Made_of_metal is one of many possible materials (a/an) razor_blade is usually made of. The range of materials is almost unlimited. 	4	1	https://app.prolific.co/submissions/complete?cc=7C9510E5	variability_open-made_of_wood-turnbuckle	Agree or disagree (run4-experiment2-batch166-70-70)
c77e1644-eff1-4e55-8093-dfa2e1e36cc2	I know that being made_of_wood is necessary for many things (a/an) turnbuckle does or is used for. 	I know that having (a/an) sharp is necessary for many things (a/an) razor does or is used for. 	I know that having (a/an) colorful is necessary for many things (a/an) dress does or is used for. 	4	1	https://app.prolific.co/submissions/complete?cc=7C9510E5	affording_activity-made_of_wood-turnbuckle	Agree or disagree (run4-experiment2-batch166-70-70)
