quid	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
6870da8f-f3dc-4e31-9f4d-a8fcf8208569	You can find (a/an) kitchenette which is square. Square is one of many possible shapes (a/an) kitchenette usually has. The range of shapes is almost unlimited. 	You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt usually has. The range of colors is almost unlimited. 	You can find (a/an) pepper which is green. Green is one of many possible colors (a/an) pepper usually has. The range of colors is almost unlimited. 	4	1	https://app.prolific.co/submissions/complete?cc=2D9B689F	variability_open-square-kitchenette	Agree or disagree (run4-experiment2-batch53-70-70)
45d74ff6-117d-49ce-989f-d82be3d8aa24	I could say (a/an) kitchenette is square, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	4	1	https://app.prolific.co/submissions/complete?cc=2D9B689F	creative-square-kitchenette	Agree or disagree (run4-experiment2-batch53-70-70)
37decb6f-bf3e-4bb8-9127-262820181fbd	I think it is impossible for (a/an) kitchenette to be square.	I think it is impossible for (a/an) flame to be frozen.	I think it is impossible for (a/an) book to be light.	4	1	https://app.prolific.co/submissions/complete?cc=2D9B689F	impossible-square-kitchenette	Agree or disagree (run4-experiment2-batch53-70-70)
ab776674-aecf-456e-85a0-e5c8a75d0939	Usually, (a/an) kitchenette is not square, but there could be a highly unusual situation in which (a/an) kitchenette is square.	Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.	Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.	4	1	https://app.prolific.co/submissions/complete?cc=2D9B689F	unusual-square-kitchenette	Agree or disagree (run4-experiment2-batch53-70-70)
7bd41ddb-56a7-419b-8c5c-73d7928419b6	I know that being square is necessary for many things (a/an) kitchenette does or is used for. 	I know that being pointy is necessary for many things (a/an) needle does or is used for. 	I know that being white is necessary for many things (a/an) t-shirt does or is used for. 	4	1	https://app.prolific.co/submissions/complete?cc=2D9B689F	affording_activity-square-kitchenette	Agree or disagree (run4-experiment2-batch53-70-70)
c14f6da4-f90c-4a8d-a793-882419783d76	``Square'' is one for the first things which come to mind when I hear ``kitchenette' because square is one of the typical shapes of (a/an) kitchenette'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical weights of (a/an) rock'.	``Green'' is one for the first things which come to mind when I hear ``raspberry' because green is one of the typical colors of (a/an) raspberry'.	4	1	https://app.prolific.co/submissions/complete?cc=2D9B689F	typical_of_concept-square-kitchenette	Agree or disagree (run4-experiment2-batch53-70-70)
2d670bbf-8f8b-446e-8a5b-aeb6a9be6dd5	I know that (a/an) kitchenette is square as most or all other things similar to (a/an) kitchenette are square. 	I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. 	I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. 	4	1	https://app.prolific.co/submissions/complete?cc=2D9B689F	implied_category-square-kitchenette	Agree or disagree (run4-experiment2-batch53-70-70)
3c4b7d00-a4cb-4b48-9613-a53eef314a3e	I think (a/an) kitchenette can be square, but this is rare or uncommon.	I think (a/an) rose can be black, but this is rare or uncommon.	I think (a/an) rose can be yellow, but this is rare or uncommon.	4	1	https://app.prolific.co/submissions/complete?cc=2D9B689F	rare-square-kitchenette	Agree or disagree (run4-experiment2-batch53-70-70)
02977c3d-9e92-4d66-ba75-f01bd927bdb1	You can find (a/an) kitchenette which is square. Square is one of a few possible shapes (a/an) kitchenette usually has. There is only a limited range of possible shapes.	You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper usually has. There is only a limited range of possible colors.	You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt usually has. There is only a limited range of possible colors.	4	1	https://app.prolific.co/submissions/complete?cc=2D9B689F	variability_limited-square-kitchenette	Agree or disagree (run4-experiment2-batch53-70-70)
4e39353b-0dc7-4d34-94e1-7e05093737b1	``Kitchenette'' is one of the first things which come to mind when I hear ``square' because (a/an) kitchenette is a typical example of things which are square'. 	``Snow'' is one of the first things which come to mind when I hear ``white' because (a/an) snow is a typical example of things which are white'. 	``Water'' is one of the first things which come to mind when I hear ``grey' because (a/an) water is a typical example of things which are grey'. 	4	1	https://app.prolific.co/submissions/complete?cc=2D9B689F	typical_of_property-square-kitchenette	Agree or disagree (run4-experiment2-batch53-70-70)
