collection	prop_pos	concept_pos	prop_neg	concept_neg
perceptual	spicy	chili_pepper	sweet	carrot
perceptual	heavy	rock	white	rasperry
perceptual	bitter	coffee	salty	beer
perceptual_scale	heavy	rock	bright	mug
parts	metal	chain	fabric	chain
parts	china	mug	crystal	plate
parts	tip	needle	eyes	dog
complex	spicy	chili_pepper	sweet	carrot
complex	heavy	rock	white	rasperry
complex	expensive	cigar	expensive	cigarette
activities	cut	knife	float	needle
activities	poke	needle	cut	brush
activities	paint	brush	move	apple
perceptual_scale	spicy	chili_pepper	sweet	carrot
perceptual_scale	heavy	rock	white	rasperry
perceptual_scale	bitter	coffee	salty	beer
complex_scale	spicy	chili_pepper	sweet	carrot
complex_scale	heavy	rock	white	rasperry
complex_scale	expensive	cigar	expensive	cigarette
