collection	prop_pos	concept_pos	prop_neg	concept_neg
perceptual	red	pepper	red	t-shirt
perceptual	green	apple	white	car
perceptual	white	rose	blue	mug
perceptual_scale	frozen	pea	salty	soup
perceptual_scale	liquid	substance	sharp	knife
perceptual_scale	solid	substance	soft	cushion
parts_material	made_of_glass	table	made_of_sugar	plate
parts_material	made_of_metal	knife	made_of_cotton	car
parts_material	made_of_wheat	bread	made_of_chocolate	piano
parts	emergency light	car	spare_wheel	car
parts	removable roof	car	handle bar	bike
parts	sail	boat	seat	car
complex	red	pepper	red	t-shirt
complex	green	apple	white	car
complex	white	rose	blue	mug
complex_scale	frozen	pea	salty	soup
complex_scale	liquid	substance	sharp	knife
complex_scale	solid	substance	soft	cushion
activities	hunt	dog	breathe	dog
activities	cook	knife	read	book
activities	read	lamp	cook	coat
