collection	prop_pos	concept_pos	prop_neg	concept_neg
perceptual	white	bear	black	cat
perceptual	spicy	pepper	sour	lemon
perceptual	sweet	potato	soft	fabric
parts	paper	cup	pocket	skirt
parts	antlers	deer	fur	dog
parts	plastic	bag	metal	pen
complex	white	bears	black	from
complex	spicy	pepper	sour	lemon
complex	sweet	potato	soft	fabric
activities	speak	animate_being	sleep	snake
activities	hunt	wild	breathe	mammal
activities	protect_from_water	clothing	run	dog
complex_scale	white	bears	black	from
complex_scale	spicy	pepper	sour	lemon
complex_scale	sweet	potato	soft	fabric
perceptual_scale	white	bear	black	cat
perceptual_scale	spicy	pepper	sour	lemon
perceptual_scale	sweet	potato	soft	fabric
