collection	prop_pos	concept_pos	prop_neg	concept_neg
perceptual	dry	water	white	rose
perceptual	solid	steam	orange	flame
perceptual	frozen	flame	light	book
perceptual_scale	dry	water	white	rose
perceptual_scale	solid	steam	orange	flame
perceptual_scale	frozen	flame	light	book
parts	plastic	magnet	ink	pen
parts	cotton	mirror	plastic	dress
parts	lungs	goldfish	pockets	dress
complex	alive	corpse	educational	movie
complex	human	bee	innocent	prisoner
complex	intelligent	stone	sick	doctor
activities	walk	worm	move	worm
activities	float	rock	melt	metal
activities	float	hammer	rot	apple
complex_scale	dry	water	white	rose
complex_scale	solid	steam	orange	flame
complex_scale	frozen	flame	light	book
